# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\o_0zhei5.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120716_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0667162
# Diagonal elements of inverse mass matrix:
# 13224.6, 0.000149273, 0.000529561, 0.000693642, 0.00201571, 0.00217243, 0.0038623, 0.00260593
-1170.66,0.982317,0.0667162,6,63,0,1174.93,5024.48,0.32003,0.0423835,0.143663,0.262364,0.186409,0.0887578,210.344
-1169.75,0.990583,0.0667162,5,63,0,1174.31,4994.77,0.315431,0.0258732,0.14917,0.254939,0.187084,0.229752,203.532
-1171.72,0.949911,0.0667162,5,31,0,1172.76,4961.55,0.3034,0.0258027,0.161695,0.258389,0.189501,0.247339,198.139
-1171.46,0.999691,0.0667162,6,63,0,1174.84,5022.14,0.319454,0.0134138,0.143073,0.242377,0.212491,0.168891,215.915
-1174.12,0.997871,0.0667162,6,63,0,1176.01,4941.09,0.350264,0.0462289,0.164041,0.27201,0.0794347,0.169174,200.808
-1170.91,0.999907,0.0667162,5,31,0,1175.13,4942.6,0.340219,0.0372273,0.163486,0.266055,0.113629,0.198163,204.552
-1170.36,0.968401,0.0667162,6,63,0,1172.04,5006,0.311895,0.0491831,0.175809,0.241344,0.179382,0.137322,200.563
-1172.58,0.99758,0.0667162,5,31,0,1173.56,5069.59,0.307006,0.056766,0.176789,0.231661,0.0835345,0.159475,201.437
-1172.11,0.995471,0.0667162,6,63,0,1175.19,5076.95,0.332771,0.0140241,0.109909,0.273234,0.185831,0.116359,210.26
-1171.72,0.992905,0.0667162,6,63,0,1174.84,5023.36,0.332794,-0.00978636,0.13937,0.279737,0.177509,0.155514,210.007
