# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\o_0zhei5.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120716_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0768464
# Diagonal elements of inverse mass matrix:
# 12788.6, 0.000200473, 0.000597748, 0.00064967, 0.00160009, 0.00196408, 0.00389113, 0.00265555
-1173.25,0.981152,0.0768464,6,63,0,1179.94,4865.74,0.346404,0.0283327,0.190053,0.244806,0.204683,0.150576,215.715
-1171.71,0.972895,0.0768464,5,31,0,1175.32,4893.24,0.316503,0.0301997,0.144246,0.315643,0.222052,0.16481,215.621
-1172.92,0.994173,0.0768464,6,63,0,1176.51,4920.36,0.309666,0.0171936,0.143085,0.309431,0.208082,0.273944,200.066
-1173.04,0.997165,0.0768464,6,63,0,1175.88,5006.47,0.333198,0.0783262,0.162071,0.206315,0.15619,0.119582,208.891
-1172.04,0.993611,0.0768464,5,31,0,1175.96,4998.09,0.328445,0.0719877,0.155914,0.216517,0.152938,0.128742,211.32
-1170.54,0.986149,0.0768464,5,63,0,1173.12,4937.9,0.330639,0.0535796,0.163666,0.252916,0.168996,0.141661,216.707
-1170.31,0.998706,0.0768464,5,63,0,1173.12,5042.05,0.307153,0.0412388,0.149909,0.280351,0.130435,0.166285,211.763
-1171.58,0.939961,0.0768464,6,63,0,1174.22,4879.34,0.319566,0.0491891,0.14057,0.28194,0.196413,0.268751,192.744
-1172.48,0.975097,0.0768464,5,31,0,1175.15,4929.29,0.322515,0.0698468,0.112546,0.296507,0.155908,0.237659,205.515
-1170.02,0.951732,0.0768464,5,31,0,1174,5006.46,0.312974,0.0367963,0.170615,0.234411,0.160009,0.175928,206.002
-1172.57,0.980134,0.0768464,5,31,0,1174.18,4963.37,0.317419,0.0460476,0.162868,0.233259,0.182335,0.22726,181.237
-1176.73,0.752691,0.0768464,5,31,0,1179.26,4956.24,0.31995,0.0607917,0.168566,0.2314,0.157605,0.2542,179.644
-1176.47,0.999565,0.0768464,6,63,0,1187.33,5148.78,0.342314,0.00984635,0.143853,0.242723,0.103086,0.0279683,223.424
-1176.97,0.945882,0.0768464,4,15,0,1178.1,5175.85,0.343007,0.00690835,0.145502,0.245715,0.105611,0.0186013,222.758
-1173.07,0.973511,0.0768464,6,63,0,1180.48,4916.49,0.298547,0.0409072,0.171485,0.269305,0.185814,0.297234,195.153
-1175.76,0.90918,0.0768464,6,63,0,1178.16,5045.89,0.327771,0.00898684,0.121367,0.314742,0.164272,0.0780845,231.892
-1173.34,0.985125,0.0768464,6,63,0,1178.64,5095.49,0.310951,0.0410741,0.183749,0.164544,0.126929,0.218329,197.565
-1174.01,0.851991,0.0768464,6,63,0,1178.1,5145.45,0.306175,0.024937,0.156573,0.168261,0.190808,0.167419,190.612
-1171.65,0.956731,0.0768464,5,31,0,1178.81,5016.49,0.323382,0.0345892,0.158605,0.236437,0.114028,0.268199,194.065
-1170.83,0.99234,0.0768464,6,63,0,1175.1,4894.06,0.315173,0.023628,0.178802,0.285132,0.222741,0.14735,207.791
-1171.72,0.999711,0.0768464,5,63,0,1174.58,4966.72,0.322991,0.00424729,0.170292,0.283622,0.11131,0.272687,207.107
-1176.7,0.810926,0.0768464,6,63,0,1179.78,4713.29,0.33884,0.0908094,0.15193,0.277913,0.288954,0.140614,211.624
-1175.9,0.998458,0.0768464,5,31,0,1180.56,4730.39,0.322396,0.0295057,0.179467,0.321846,0.299916,0.135772,209.165
-1178.16,0.867211,0.0768464,5,63,0,1184.27,4666.86,0.328911,0.0962129,0.154726,0.32879,0.179564,0.26576,217.167
-1178.15,0.993949,0.0768464,6,63,0,1181.26,5260.92,0.303136,0.0415407,0.118439,0.182292,0.158222,0.183749,198.78
-1180.05,0.99579,0.0768464,5,31,0,1187.32,5245.76,0.295309,0.00512541,0.124136,0.21835,0.187854,0.187224,189.433
-1172.36,0.92514,0.0768464,5,31,0,1183.09,5079.69,0.31463,0.0153117,0.141023,0.202834,0.180955,0.239626,194.499
-1173.1,0.843321,0.0768464,6,63,0,1176.83,5098.95,0.301736,0.0320327,0.172318,0.217141,0.135147,0.233651,198.164
-1170.65,0.9867,0.0768464,5,63,0,1176.8,4818.47,0.322973,0.0392559,0.179072,0.291412,0.173645,0.251325,202.839
-1171.03,0.9665,0.0768464,6,63,0,1172.34,5055.18,0.320232,0.0450034,0.136524,0.245,0.175611,0.0998739,203.972
-1171.09,0.984495,0.0768464,6,63,0,1174.33,4808.67,0.327348,0.0312879,0.179821,0.29635,0.175355,0.273512,198.724
-1172.6,0.988281,0.0768464,6,63,0,1174.34,5103.41,0.301521,0.0628172,0.123203,0.243917,0.179175,0.128842,201.542
-1172.17,0.979164,0.0768464,6,63,0,1179.16,4805.05,0.334386,0.0208388,0.200804,0.288816,0.185247,0.222421,208.026
-1174.13,0.995387,0.0768464,6,63,0,1177.18,4889.86,0.298563,0.0641741,0.181512,0.314945,0.0978508,0.245187,208.836
-1170.98,0.998431,0.0768464,5,31,0,1175.66,4892.95,0.305379,0.0453159,0.186472,0.311367,0.162968,0.155557,206.179
-1171.03,0.959286,0.0768464,5,63,0,1173.66,4828.41,0.337225,0.0488791,0.151201,0.28053,0.221342,0.220906,198.882
-1174.05,0.994492,0.0768464,5,31,0,1175.91,4898.86,0.354805,0.0254812,0.130895,0.295645,0.174167,0.169825,225.545
-1174.49,0.826684,0.0768464,5,63,0,1178.32,4868.73,0.303104,0.0633811,0.182829,0.3002,0.183066,0.214887,186.431
-1174.17,0.998131,0.0768464,6,63,0,1177.24,5029.52,0.336549,0.00864186,0.149376,0.202599,0.166257,0.215822,224.834
-1173.5,0.975571,0.0768464,6,63,0,1179.33,4960.74,0.321202,0.0287917,0.177132,0.310925,0.140058,0.0966634,184.538
-1176.67,0.897677,0.0768464,6,63,0,1180.3,4996.85,0.312309,0.0264339,0.133989,0.249289,0.225178,0.263287,239.669
-1172.01,0.972226,0.0768464,5,63,0,1180.01,4960.66,0.306653,0.0631944,0.17849,0.227569,0.13426,0.264148,201.728
-1173.08,0.798126,0.0768464,6,63,0,1178.64,5072.55,0.325021,-0.015343,0.139528,0.228731,0.159885,0.263604,196.159
-1176.17,0.974403,0.0768464,6,63,0,1180.84,4826.63,0.306973,0.0384425,0.143805,0.374867,0.236985,0.162367,230.026
-1175.67,0.918077,0.0768464,6,63,0,1181.44,4930.61,0.311558,0.0885797,0.203816,0.222273,0.141498,0.186466,195.843
-1174.28,0.97985,0.0768464,5,63,0,1177.43,4928.46,0.315406,0.0891842,0.192291,0.225674,0.123662,0.160536,203.885
-1175.55,0.869409,0.0768464,5,63,0,1179.72,4779,0.328269,0.0124736,0.16541,0.319124,0.238505,0.307995,212.559
-1173.32,0.999271,0.0768464,6,63,0,1178.54,4926.03,0.326476,0.0912405,0.154332,0.279143,0.164432,0.0574327,209.587
-1177.92,0.996181,0.0768464,6,63,0,1182.15,5053.5,0.294079,0.0291437,0.169952,0.313437,0.0201322,0.251727,220.224
-1173.15,0.983179,0.0768464,5,31,0,1180.79,5073.04,0.310744,0.0338769,0.182085,0.192759,0.140432,0.230238,220.888
-1172.5,0.975425,0.0768464,6,63,0,1177.03,5163.26,0.327548,0.0112101,0.110955,0.2574,0.141523,0.136091,197.176
-1172.43,0.998444,0.0768464,6,63,0,1176.63,4864.32,0.311809,0.0507234,0.204268,0.238602,0.175974,0.232445,215.426
-1171.86,0.984163,0.0768464,6,63,0,1175.56,4848.45,0.345326,0.0340807,0.149888,0.316381,0.173416,0.175902,194.774
-1175.96,0.996719,0.0768464,6,63,0,1177.98,5281.81,0.285184,0.0268206,0.158742,0.166057,0.1218,0.1665,218.206
-1174.08,0.893979,0.0768464,5,63,0,1182.14,5208.62,0.303121,0.0453405,0.134353,0.200119,0.167923,0.120089,218.036
-1170.79,0.99717,0.0768464,6,63,0,1178.27,4933.19,0.326912,0.0254306,0.19049,0.235153,0.199694,0.147451,206.434
-1174.98,0.818461,0.0768464,6,63,0,1177.72,4821.61,0.319593,0.0716033,0.132643,0.323514,0.233959,0.135539,202.979
-1175.7,0.99993,0.0768464,6,63,0,1181.81,5177.46,0.342285,0.00945271,0.130899,0.17479,0.141683,0.190966,217.456
-1174.12,0.891456,0.0768464,6,63,0,1179.68,4993.78,0.304956,0.0528556,0.144752,0.346587,0.132404,0.12209,199.435
-1174.77,0.950335,0.0768464,6,63,0,1181.19,4952.43,0.28426,0.0427562,0.208033,0.275578,0.170693,0.167182,220.015
-1170.79,0.826074,0.0768464,5,31,0,1180.59,4960.01,0.309091,0.0375183,0.192581,0.2394,0.179148,0.166321,196.427
-1171.24,0.973345,0.0768464,6,63,0,1174.24,5071.18,0.335687,0.0264028,0.119402,0.257908,0.133607,0.179495,213.29
-1173.12,0.973588,0.0768464,6,63,0,1175.96,5178.44,0.328628,0.0377206,0.118253,0.194369,0.139872,0.163477,194.158
-1171.45,0.999951,0.0768464,6,63,0,1174.78,4986.47,0.304775,0.0159167,0.189822,0.282701,0.145091,0.183082,214.705
-1172.39,0.977688,0.0768464,5,63,0,1174.49,4925.78,0.303375,0.0225039,0.19299,0.297163,0.143353,0.201398,218.297
-1175.07,0.884187,0.0768464,5,63,0,1180.28,5050.86,0.339112,0.00700303,0.0873505,0.31809,0.143446,0.161794,208.308
-1176.93,0.997658,0.0768464,5,63,0,1180.33,4940.83,0.355983,0.0140511,0.0910649,0.33556,0.14787,0.19463,200.426
-1172.11,0.99994,0.0768464,5,31,0,1182.18,4917.34,0.328739,0.0575831,0.183368,0.223814,0.223055,0.111363,197.842
-1172.23,0.982626,0.0768464,6,63,0,1175.63,5055.82,0.302662,0.0373946,0.165877,0.266749,0.0754278,0.227503,202.328
-1171.43,0.999975,0.0768464,6,63,0,1175.12,5124.19,0.308063,0.0425045,0.164584,0.209486,0.0965125,0.198871,201.695
-1171.46,0.994782,0.0768464,6,63,0,1175.26,5152.21,0.322119,-0.00388817,0.129132,0.243816,0.159162,0.137573,209.937
-1170.99,0.949432,0.0768464,6,63,0,1176.65,4814.16,0.339804,0.0371614,0.155349,0.326909,0.172503,0.194963,202.439
-1171.39,0.984888,0.0768464,6,63,0,1176.32,4992.6,0.307014,0.0351712,0.181138,0.207176,0.188017,0.236601,212.263
-1175.88,0.98248,0.0768464,5,31,0,1179.22,4855.93,0.348879,0.0426134,0.138796,0.296283,0.0956388,0.333079,202.629
-1174.4,0.981327,0.0768464,6,63,0,1180.82,5075.34,0.299458,0.0705662,0.138793,0.232903,0.199423,0.133825,226.013
-1169.95,0.95183,0.0768464,5,31,0,1175.98,4958.29,0.313245,0.046185,0.152327,0.29225,0.173183,0.180306,210.809
-1172.57,0.999358,0.0768464,6,63,0,1173.53,4777.35,0.337934,0.049209,0.193933,0.27144,0.217718,0.187711,194.934
-1171.94,0.992524,0.0768464,6,63,0,1177.07,5123.53,0.303099,0.0345385,0.130469,0.256233,0.135136,0.197804,217.564
-1171.61,0.995982,0.0768464,6,63,0,1175.07,4876.11,0.329007,0.0590272,0.187546,0.277292,0.151598,0.125878,194.567
-1173.6,0.949729,0.0768464,6,63,0,1175.81,4778.33,0.32174,0.0421794,0.153192,0.320518,0.249903,0.262519,221.66
-1174.41,0.94833,0.0768464,6,63,0,1177.87,4735.68,0.322074,0.0487343,0.153624,0.327774,0.252606,0.239686,227.246
-1173.81,0.988243,0.0768464,6,63,0,1177.77,4786.26,0.318129,0.0535765,0.225675,0.290438,0.138569,0.208752,200.088
-1171,0.904095,0.0768464,5,31,0,1178.42,4935.72,0.330877,0.066769,0.1616,0.273773,0.141357,0.136128,214.355
-1171.2,0.98617,0.0768464,6,63,0,1173.78,5083.59,0.322217,0.0257526,0.161117,0.19204,0.194439,0.148851,210.092
-1173.78,0.952595,0.0768464,5,31,0,1178.66,4999.75,0.309884,0.0438919,0.150356,0.330204,0.152885,0.0613015,190.447
-1172.06,0.863406,0.0768464,5,31,0,1177.96,4966.91,0.319068,0.0654924,0.170635,0.292472,0.111653,0.104367,194.471
-1172.11,0.91958,0.0768464,6,63,0,1174.87,4921.27,0.338906,0.0231092,0.132931,0.246963,0.201067,0.255301,210.118
-1171.53,0.989701,0.0768464,5,31,0,1173.8,4939.08,0.344034,0.0104022,0.141266,0.273089,0.192929,0.176835,212.794
-1171.16,0.963234,0.0768464,5,63,0,1173.68,5047.23,0.340359,0.0253124,0.127394,0.259787,0.150104,0.123351,208.634
-1174.28,0.998805,0.0768464,5,63,0,1176.54,4997.71,0.331227,-0.00951913,0.178419,0.29859,0.164395,0.0567457,203.569
-1173.54,0.999832,0.0768464,5,31,0,1176.36,4993.46,0.319199,-0.00532695,0.178552,0.299261,0.195302,0.0613416,209.158
-1172.85,0.967446,0.0768464,5,63,0,1175.57,5021.64,0.312916,-0.00479531,0.157568,0.313844,0.182431,0.105754,215.467
-1173.63,0.83912,0.0768464,6,63,0,1177.88,4914.76,0.332784,0.00884609,0.170195,0.314661,0.166291,0.180899,196.019
-1177.78,0.998934,0.0768464,5,31,0,1179.72,4986.72,0.316481,-0.0229587,0.168345,0.324153,0.200182,0.146514,189.298
-1171.76,0.997781,0.0768464,5,31,0,1180.21,4825.2,0.330102,0.0646974,0.147417,0.301003,0.170542,0.210661,204.827
-1169.83,0.99965,0.0768464,6,63,0,1176.23,4926.21,0.313929,0.0434055,0.17659,0.280275,0.169122,0.164625,213.243
-1173.35,0.981898,0.0768464,5,31,0,1174.78,5180.79,0.324051,0.0274584,0.125846,0.218005,0.12434,0.112551,186.216
-1172.63,0.99975,0.0768464,5,63,0,1176.41,5092.18,0.308207,0.0128037,0.133695,0.265782,0.189803,0.152036,186.746
-1170.76,0.973781,0.0768464,5,63,0,1175.44,4930.77,0.330878,0.0175715,0.151067,0.307026,0.202126,0.128293,202.63
-1173.31,0.865784,0.0768464,6,63,0,1176.97,5040.87,0.302637,0.0247467,0.196392,0.190484,0.1605,0.260764,202.433
-1173.56,0.941829,0.0768464,6,63,0,1179.38,4890.9,0.347802,0.0522303,0.108113,0.298727,0.187876,0.172165,214.267
-1171.65,0.984387,0.0768464,5,31,0,1174.89,4904.14,0.327926,0.0550362,0.122792,0.279229,0.184915,0.235539,206.521
