# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\or_f46bb.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120723_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0711096
# Diagonal elements of inverse mass matrix:
# 7162.99, 0.000102917, 0.000398079, 0.000466123, 0.00121931, 0.00126764, 0.00308548, 0.00163146
-1763.79,0.963675,0.0711096,6,63,0,1767.89,5157.67,0.293753,0.0476142,0.129078,0.267184,0.139368,0.0889756,206.283
-1761.86,1,0.0711096,5,31,0,1765.35,5124.97,0.288248,0.0427442,0.133696,0.281017,0.174321,0.0813707,203.602
-1762.41,0.996483,0.0711096,6,63,0,1763.58,4927.2,0.298666,0.00198322,0.211592,0.266905,0.273235,0.0969042,214.055
-1761.92,0.992455,0.0711096,6,63,0,1766.13,5087.98,0.297312,0.0431296,0.128929,0.297355,0.190773,0.0666681,210.261
-1765.04,0.903592,0.0711096,5,31,0,1769,5141.08,0.292579,0.0319392,0.140652,0.317551,0.121241,0.0664778,225.436
-1764.83,0.942898,0.0711096,6,63,0,1772.07,4987.57,0.265043,0.00555389,0.200324,0.301787,0.276232,0.088533,214.318
-1763.95,0.999159,0.0711096,5,63,0,1771.19,4988.33,0.318536,0.0282365,0.145524,0.256287,0.254342,0.10071,201.92
-1762.13,0.790244,0.0711096,6,63,0,1769.82,5078.36,0.268071,0.0239009,0.196656,0.259959,0.199858,0.100248,211.904
-1761.05,0.714788,0.0711096,6,63,0,1769.43,5009.94,0.307075,0.0346778,0.18007,0.244866,0.227909,0.0588431,221.788
