# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\or_f46bb.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120723_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.077821
# Diagonal elements of inverse mass matrix:
# 8231.73, 0.000129236, 0.00047012, 0.000472585, 0.00135834, 0.00133692, 0.00235021, 0.00187914
-1759.56,0.9967,0.077821,6,63,0,1764.46,5176.86,0.286209,0.0106573,0.169506,0.253411,0.188,0.0205438,211.804
-1761.54,0.985853,0.077821,5,63,0,1764.36,5125.77,0.28962,-0.0175365,0.192769,0.235023,0.217875,0.0670639,219.558
-1761.2,0.974105,0.077821,6,63,0,1762.94,5119.45,0.290907,-0.0142685,0.197919,0.237822,0.207954,0.0684466,217.129
-1761.46,0.883377,0.077821,5,63,0,1766.19,5126.01,0.291121,0.0291161,0.172972,0.251593,0.208055,0.0293089,200.296
-1763.72,0.98571,0.077821,5,31,0,1766.65,5147.18,0.286077,-0.00728692,0.17903,0.297191,0.142574,0.0323324,193.704
-1761.14,0.949796,0.077821,6,63,0,1767.91,4926.51,0.288149,0.0387142,0.179989,0.304758,0.259815,0.0677014,216.123
-1762.32,0.999042,0.077821,6,63,0,1764.13,4935.07,0.303043,0.0283501,0.155354,0.323719,0.262928,0.0505715,202.22
-1763.03,0.990157,0.077821,6,63,0,1767.11,5190.18,0.270974,0.0215374,0.187031,0.229172,0.148885,0.100616,217.099
-1765.36,0.975157,0.077821,5,31,0,1767.73,5166.55,0.280528,0.00429623,0.218097,0.192816,0.149845,0.102253,214.302
-1763.66,0.999389,0.077821,5,63,0,1769.42,5191.2,0.274268,0.00770406,0.1289,0.321575,0.170171,0.0571239,213.063
-1763.32,0.98112,0.077821,5,63,0,1766.35,5141.28,0.271952,0.0047029,0.143294,0.333609,0.197626,0.0464773,217.617
-1763.16,0.976167,0.077821,5,31,0,1765.59,5130.95,0.269534,0.00636392,0.156039,0.334074,0.196393,0.046814,213.171
-1761.08,0.975289,0.077821,5,63,0,1767.19,5107.81,0.28617,-0.00631421,0.161331,0.276237,0.228699,0.0631492,198.236
-1762.54,0.983452,0.077821,5,31,0,1768.38,5121.99,0.292248,-0.0141645,0.145585,0.292205,0.238249,0.0630141,197.466
-1762.12,0.889823,0.077821,5,63,0,1771.58,5186.72,0.290328,-0.0128507,0.172623,0.254229,0.221782,0.00291351,215.199
