# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\j5a9jjx9.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120730_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0897168
# Diagonal elements of inverse mass matrix:
# 5336.79, 8.73562e-005, 0.000291361, 0.000355664, 0.000827473, 0.000946586, 0.0019031, 0.00127575
-2323.31,0.986752,0.0897168,5,63,0,2324.63,5011.74,0.295377,0.0530952,0.22467,0.227688,0.125205,0.0659395,195.736
-2323.2,0.999816,0.0897168,5,31,0,2325.56,5050.68,0.301224,0.0422098,0.216034,0.207167,0.133793,0.0701492,201.961
-2325.45,0.996343,0.0897168,5,63,0,2331.23,4894.48,0.325075,0.0494697,0.232885,0.241516,0.113967,0.0922092,186.244
-2322.75,0.972688,0.0897168,5,31,0,2327.49,4918.24,0.29807,0.0499993,0.235198,0.250068,0.139957,0.129383,206.347
-2323.43,0.99861,0.0897168,5,63,0,2325.21,4956.11,0.318033,0.0441434,0.200046,0.227373,0.128457,0.156913,202.103
-2325.95,0.776743,0.0897168,5,63,0,2331.59,4900.87,0.309809,0.0710411,0.21168,0.246911,0.128589,0.177737,210.134
-2325.86,0.979376,0.0897168,5,31,0,2327.65,4884.79,0.301344,0.0817197,0.216484,0.235322,0.127187,0.162304,208.352
-2331.74,0.925043,0.0897168,5,31,0,2333.85,4810.73,0.308002,0.0566235,0.273058,0.274699,0.10829,0.137843,183.42
-2329.12,1,0.0897168,6,63,0,2333.12,4970.71,0.312712,0.0696196,0.193776,0.213026,0.162914,0.139267,216.317
