# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\j5a9jjx9.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120730_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.074384
# Diagonal elements of inverse mass matrix:
# 5275.1, 8.97161e-005, 0.000295029, 0.000279554, 0.000681271, 0.00103898, 0.00173155, 0.00112569
-2325.11,0.997525,0.074384,6,63,0,2328.88,5028.68,0.294729,0.071703,0.227958,0.213521,0.130714,0.0370182,193.773
-2327.69,0.973404,0.074384,5,31,0,2331.32,5009.34,0.321532,0.0672269,0.217979,0.229641,0.072516,0.0219268,190.61
-2324.56,0.998491,0.074384,5,63,0,2329.37,4999.41,0.293523,0.0450374,0.229002,0.212356,0.144219,0.117637,211.971
-2325.88,0.959338,0.074384,5,31,0,2327.56,4968.96,0.293878,0.0461922,0.227039,0.232578,0.152541,0.103199,216.519
-2321.68,0.913716,0.074384,5,31,0,2327.97,4939.03,0.301217,0.0710977,0.228528,0.229252,0.118484,0.131963,200.447
-2323.82,0.999444,0.074384,5,31,0,2324.29,4904.51,0.304376,0.0752813,0.239787,0.227233,0.0933061,0.170624,208.83
-2323.34,0.958931,0.074384,5,63,0,2326.01,4860.33,0.308555,0.0642762,0.240093,0.242598,0.102299,0.180587,207.542
-2323.15,0.998269,0.074384,5,63,0,2328.11,4895.58,0.314729,0.0609534,0.233168,0.233655,0.105063,0.145158,210.819
-2323.37,0.972502,0.074384,6,63,0,2325.36,5016.41,0.298981,0.0459637,0.215427,0.217637,0.138869,0.0973931,188.746
-2325.22,0.969369,0.074384,6,63,0,2328.87,4877.05,0.319253,0.0499996,0.254684,0.243955,0.134805,0.0585902,195.879
-2328.49,0.985431,0.074384,6,63,0,2334.82,4852.74,0.303943,0.0986011,0.232061,0.255928,0.146655,0.0878963,218.018
-2327.49,0.981201,0.074384,6,63,0,2333.94,4864.36,0.312141,0.0413817,0.269705,0.239879,0.144158,0.0774753,214.615
-2326.06,0.812082,0.074384,6,63,0,2335.55,4794.01,0.310571,0.065265,0.22675,0.276789,0.116927,0.206616,209.418
-2326.95,0.969592,0.074384,5,31,0,2330.53,4808.83,0.320658,0.0932278,0.210828,0.263889,0.107444,0.188022,205.49
-2325.97,0.977231,0.074384,6,63,0,2333.75,4783.06,0.307785,0.0354683,0.24973,0.282173,0.18563,0.132266,201.761
-2328.48,0.738772,0.074384,6,63,0,2332.69,5007.51,0.312914,0.0847447,0.209632,0.207701,0.0909568,0.123363,196.46
-2330.32,0.96578,0.074384,5,63,0,2336.79,4953.57,0.311364,0.100697,0.21526,0.236119,0.11013,0.0687397,203.378
-2329.15,0.985584,0.074384,6,63,0,2335.73,4934.32,0.314792,0.0795477,0.214076,0.262415,0.111951,0.075651,196.172
-2323.58,0.998546,0.074384,6,63,0,2330.19,4930.04,0.304668,0.081331,0.231969,0.25425,0.0913397,0.0824493,199.251
-2323.17,0.999856,0.074384,6,63,0,2325.9,4929.89,0.297478,0.0745148,0.23559,0.239971,0.0896043,0.13297,193.856
-2323.37,0.998471,0.074384,5,63,0,2328.9,4880.76,0.311574,0.0508411,0.229576,0.233382,0.178168,0.104887,207.192
-2322.8,0.997025,0.074384,6,63,0,2325.42,4954.92,0.30181,0.0591611,0.235857,0.246753,0.0796833,0.117133,191.893
-2324.13,0.987568,0.074384,5,63,0,2326.5,4935.59,0.310982,0.073639,0.212608,0.248347,0.0937909,0.126536,186.797
-2327.15,0.910595,0.074384,5,63,0,2331.68,4780.68,0.311022,0.0543626,0.228119,0.297377,0.165725,0.165169,188.506
-2327.35,1,0.074384,6,63,0,2333.7,5142.01,0.29892,0.0287178,0.234789,0.176244,0.0926855,0.043014,203.46
-2323.3,0.999642,0.074384,6,63,0,2330.2,4883.12,0.310482,0.0825999,0.207547,0.250366,0.124511,0.146963,200.408
-2324.55,0.930617,0.074384,6,63,0,2328.47,4845.65,0.318355,0.065563,0.222818,0.278292,0.13014,0.112382,206.643
-2325.01,0.990371,0.074384,6,63,0,2328.68,5012.67,0.304861,0.0472371,0.219859,0.170993,0.149974,0.146528,189.454
-2323.95,0.990599,0.074384,5,31,0,2330.86,4971.4,0.290509,0.0542823,0.226576,0.234197,0.143002,0.134423,191.984
-2324.07,0.778364,0.074384,5,63,0,2328.3,4941.44,0.300523,0.0424909,0.235915,0.230162,0.141433,0.0964476,198.404
-2323.52,0.999329,0.074384,6,63,0,2329.54,5047.44,0.31106,0.0625528,0.206975,0.19581,0.0880896,0.123267,201.819
-2323.53,0.78479,0.074384,5,63,0,2332.65,4998.51,0.298835,0.058402,0.231997,0.210729,0.100291,0.10868,208.407
-2324.64,0.998017,0.074384,6,63,0,2327.8,4864.83,0.311406,0.0466649,0.227398,0.281894,0.101129,0.148362,190.065
-2325.04,0.954024,0.074384,6,63,0,2327.83,5019.58,0.299131,0.0578491,0.232835,0.183221,0.144804,0.0600244,201.219
-2326.44,0.98559,0.074384,6,63,0,2329.81,4958.6,0.303824,0.0455085,0.227054,0.215619,0.10251,0.22954,206.39
-2322.87,0.943923,0.074384,5,31,0,2328.33,4914.8,0.306433,0.0605129,0.21845,0.217554,0.139334,0.178007,205.676
-2322.32,0.999012,0.074384,6,63,0,2330.38,4922.66,0.314352,0.0600892,0.227592,0.232073,0.146336,0.0682453,198.251
-2323.69,0.94335,0.074384,5,63,0,2326.67,4954.45,0.295256,0.0760756,0.228122,0.221862,0.134664,0.127866,192.709
-2324.21,0.999996,0.074384,6,63,0,2327.03,4981.1,0.320097,0.0339943,0.224658,0.222454,0.120955,0.0935664,205.07
-2328.1,0.837988,0.074384,3,15,0,2329.7,4990.42,0.324476,0.0255697,0.229291,0.220512,0.113117,0.100089,206.636
-2325.54,0.998689,0.074384,6,63,0,2331.64,4977.91,0.28892,0.0824896,0.212744,0.22742,0.113746,0.159244,194.347
-2327.71,0.951826,0.074384,6,63,0,2329.93,4821.26,0.330852,0.0318629,0.24459,0.249819,0.148161,0.102873,206.531
-2326.28,0.996971,0.074384,5,63,0,2330.72,4933.41,0.296922,0.101089,0.217334,0.204863,0.118026,0.16658,194.682
-2327.01,0.802818,0.074384,6,63,0,2335.62,5055.49,0.312693,0.0157955,0.215643,0.216962,0.096602,0.110559,214.289
-2323.86,0.99956,0.074384,6,63,0,2330.9,4887.39,0.302274,0.0854728,0.226707,0.228136,0.142319,0.134375,188.002
-2323.55,0.996489,0.074384,6,63,0,2326.75,4773.48,0.31933,0.0663878,0.24302,0.264606,0.151006,0.134678,198.492
-2324.92,0.891772,0.074384,6,63,0,2329.54,4848.84,0.318605,0.0488364,0.234359,0.286189,0.131935,0.0639124,198.67
-2322.44,0.940433,0.074384,5,63,0,2329.14,4967.56,0.30163,0.0440934,0.215388,0.226503,0.161178,0.115585,197.903
-2322.71,0.973817,0.074384,6,63,0,2324.26,4919.9,0.317094,0.0518157,0.211275,0.243968,0.109318,0.153631,202.746
-2322.76,0.974529,0.074384,5,63,0,2324.97,4984.1,0.29737,0.045806,0.23875,0.222299,0.114411,0.106999,191.919
-2323.37,0.981356,0.074384,6,63,0,2325.79,4875.72,0.317983,0.0759262,0.226402,0.210722,0.135319,0.15178,207.237
-2326.82,0.946838,0.074384,4,31,0,2329.48,4853.42,0.324124,0.0827324,0.221724,0.206539,0.132673,0.155499,213.498
-2327.22,0.99677,0.074384,6,63,0,2333.4,5041.05,0.307006,0.040554,0.1981,0.266298,0.0608506,0.10866,211.141
-2325.14,0.886959,0.074384,6,63,0,2333.04,4974.28,0.304732,0.0599187,0.24194,0.175334,0.163231,0.0965613,190.292
-2325.77,0.832677,0.074384,6,63,0,2330.76,4936.98,0.306028,0.0652492,0.216836,0.209141,0.142533,0.201875,200.664
-2326.55,0.999397,0.074384,5,31,0,2330.4,4960.02,0.325799,0.0652185,0.202313,0.193604,0.114294,0.169664,191.192
-2324.4,0.989404,0.074384,6,63,0,2328.54,4872.06,0.300405,0.0515769,0.23375,0.261317,0.171307,0.0941014,207.32
-2326.18,0.997511,0.074384,6,63,0,2328.52,4974.7,0.318647,0.0673468,0.213093,0.198397,0.0988265,0.155704,184.578
-2322.78,0.998882,0.074384,5,31,0,2327.17,4930.65,0.314006,0.0659563,0.211667,0.218237,0.112059,0.171263,193.554
-2324.13,0.921154,0.074384,5,31,0,2325.93,4922.27,0.314295,0.0579241,0.206431,0.234416,0.10216,0.19222,193.205
-2322.27,1,0.074384,5,63,0,2326.67,4925.97,0.301649,0.0540217,0.238213,0.208548,0.152026,0.136523,200.299
-2323.64,0.991435,0.074384,5,63,0,2326.35,4950.63,0.302792,0.0357424,0.224365,0.254488,0.159928,0.0879828,201.591
-2324.03,0.998212,0.074384,6,63,0,2326.78,5063.58,0.300231,0.0612129,0.21919,0.213582,0.0659682,0.0848799,195.181
-2328.22,0.985839,0.074384,5,31,0,2330.68,5043.09,0.326064,0.0469232,0.232146,0.162155,0.102256,0.0507879,199.799
-2327.96,0.999631,0.074384,5,31,0,2332.41,5028.54,0.316439,0.0635901,0.228903,0.161786,0.15241,0.0146648,200.492
-2327.91,0.928691,0.074384,6,63,0,2331.67,4823.97,0.297999,0.0658179,0.237566,0.296071,0.0788661,0.215985,197.453
-2327.95,0.995164,0.074384,6,63,0,2331.82,5001.22,0.317691,0.0481594,0.227681,0.171698,0.182597,0.0295744,200.654
-2327.91,0.856021,0.074384,6,63,0,2332.82,4919.15,0.301217,0.0881503,0.215831,0.240993,0.0856101,0.210235,206.707
-2324.97,0.981736,0.074384,6,63,0,2331.45,4989.02,0.306403,0.041318,0.233868,0.220807,0.152313,0.0584791,189.311
-2325.99,0.973248,0.074384,6,63,0,2331.61,4882.7,0.305363,0.0778474,0.21854,0.235617,0.100739,0.206173,211.863
-2323.81,0.999837,0.074384,6,63,0,2328.09,4922.16,0.299185,0.0712798,0.233088,0.266669,0.0855655,0.123193,203.689
-2322.63,0.966959,0.074384,5,63,0,2326.72,4916.48,0.309155,0.0440617,0.225313,0.237972,0.130786,0.147777,208.435
-2324.18,0.991693,0.074384,5,63,0,2329.95,4918.04,0.31282,0.0755769,0.230828,0.219674,0.145254,0.0571244,209.37
-2324.35,0.998256,0.074384,6,63,0,2327.54,4910.78,0.304922,0.035532,0.222325,0.24567,0.126134,0.206499,191.539
-2324.77,0.999972,0.074384,6,63,0,2326.79,4958.44,0.312238,0.0794349,0.235111,0.21182,0.120144,0.0341445,207.046
-2324.99,0.995903,0.074384,6,63,0,2326.74,4939.47,0.31132,0.0704968,0.232844,0.220034,0.134449,0.0531207,214.404
-2322.6,0.960108,0.074384,6,63,0,2327.54,4926.63,0.316377,0.0607723,0.214584,0.221141,0.119034,0.170445,197.199
-2322.89,0.999022,0.074384,5,63,0,2325.77,4912.12,0.319779,0.0585194,0.216492,0.216087,0.120299,0.161063,200.648
-2325.47,0.99652,0.074384,5,31,0,2326.28,4868.83,0.331981,0.0618689,0.222559,0.221655,0.110115,0.150263,197.401
-2322.36,0.999677,0.074384,5,63,0,2327.4,4878.5,0.310484,0.0524924,0.250073,0.253733,0.112234,0.103194,197.168
-2326.33,0.992069,0.074384,5,31,0,2327.38,4903.71,0.31398,0.0162244,0.242049,0.276365,0.127665,0.0783744,198.609
-2327.85,0.913451,0.074384,6,63,0,2331.38,4888.91,0.322196,0.0120485,0.242965,0.26707,0.0988495,0.130206,199.55
-2325.4,0.999475,0.074384,6,63,0,2331.24,4864.91,0.313728,0.0346896,0.267373,0.252407,0.103288,0.119112,201.022
-2327.37,0.831519,0.074384,6,63,0,2333.01,5012.55,0.30238,0.0506647,0.185393,0.208005,0.15949,0.194846,205.062
-2326.08,0.999497,0.074384,5,63,0,2332.15,4906.29,0.31128,0.0653599,0.188854,0.24775,0.142234,0.194774,209.034
