# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\mcah39dq.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120739_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0826609
# Diagonal elements of inverse mass matrix:
# 5093.45, 6.72551e-005, 0.000291135, 0.000293565, 0.000789315, 0.0010493, 0.00155557, 0.00102635
-2932.11,0.858961,0.0826609,5,31,0,2938.56,4901.88,0.305892,0.0398602,0.220914,0.295382,0.148882,0.109204,202.026
-2929.98,0.967691,0.0826609,5,31,0,2933.84,4910.2,0.296023,0.0508279,0.23162,0.249517,0.169353,0.141788,217.72
-2935.67,0.925974,0.0826609,5,31,0,2937.69,4704.29,0.318531,0.0585197,0.217881,0.300137,0.226959,0.213325,216.575
-2936.57,0.951374,0.0826609,5,31,0,2937.41,4722.34,0.31797,0.052689,0.211896,0.303678,0.227592,0.219904,218.31
-2938.73,0.797277,0.0826609,5,63,0,2943.56,5097.79,0.279445,0.0346641,0.219636,0.227257,0.146651,0.130377,202.516
-2937.52,0.907668,0.0826609,5,31,0,2942.99,5122.35,0.282471,0.0260362,0.22131,0.215735,0.139772,0.118165,203.176
-2936.96,1,0.0826609,5,31,0,2941.29,5161.73,0.283497,0.0278308,0.202202,0.236428,0.0966957,0.106911,207.176
-2934.3,0.962451,0.0826609,6,63,0,2941.66,4711.32,0.313381,0.0513868,0.240425,0.289464,0.229873,0.18341,218.854
-2935.24,0.992791,0.0826609,6,63,0,2938.96,5071.87,0.289956,0.0200412,0.22727,0.226198,0.150874,0.0684343,224.582
-2940.35,0.971585,0.0826609,5,31,0,2941.72,5088.24,0.291366,0.0312413,0.239765,0.219648,0.13913,-0.0050966,222.238
-2940.55,0.999708,0.0826609,5,31,0,2943.98,5084.75,0.291487,0.0338713,0.243137,0.225356,0.137143,-0.00481773,224.388
-2933.1,0.961655,0.0826609,5,31,0,2942.56,5062.45,0.292544,0.0317194,0.207166,0.265077,0.14066,0.0614057,212.51
-2931.44,0.956473,0.0826609,5,63,0,2937.39,4919.19,0.29026,0.0412482,0.22105,0.245383,0.242803,0.12623,209.598
-2933.9,0.647342,0.0826609,2,3,0,2935.82,4928.55,0.290578,0.0390425,0.22083,0.24619,0.24706,0.128399,209.72
-2934.03,0.994816,0.0826609,6,63,0,2937.28,4886.06,0.296235,0.0224733,0.229983,0.257674,0.251326,0.141171,218.129
-2932.68,0.995301,0.0826609,6,63,0,2940.09,5020.51,0.294721,0.0526512,0.197342,0.257532,0.103071,0.164185,206.126
-2933.65,0.998434,0.0826609,6,63,0,2936.29,4831.66,0.304065,0.0279325,0.230908,0.243197,0.266628,0.158892,217.534
-2933.84,0.99997,0.0826609,6,63,0,2937.48,4824.78,0.303853,0.0311113,0.22799,0.247301,0.269241,0.155736,219.704
-2931.91,0.912569,0.0826609,5,63,0,2937.48,4924.4,0.309499,0.0386823,0.21103,0.230941,0.202459,0.150151,223.189
-2929.08,0.999904,0.0826609,5,31,0,2932.67,4920.28,0.292269,0.0410347,0.208702,0.283065,0.16399,0.173458,209.741
-2930.2,0.98975,0.0826609,5,31,0,2933.18,4914.73,0.306479,0.05177,0.196235,0.272852,0.156988,0.172911,209.447
-2931.09,0.837799,0.0826609,6,63,0,2935.28,4897.94,0.291537,0.0498285,0.230299,0.245795,0.225735,0.130673,208.551
-2930.16,0.829425,0.0826609,5,63,0,2935.86,4905.65,0.287494,0.0548355,0.222372,0.246868,0.205348,0.156779,211.959
-2933.59,0.886422,0.0826609,5,31,0,2935.55,4954.24,0.277068,0.0575907,0.206399,0.254177,0.172267,0.192817,217.438
-2935.86,0.941625,0.0826609,6,63,0,2940.7,4892.39,0.310757,0.0155432,0.20763,0.30775,0.157245,0.11774,213.688
-2935.16,1,0.0826609,2,7,0,2936.1,4913.46,0.310628,0.018092,0.211876,0.307527,0.162129,0.12072,213.592
-2934.59,0.987274,0.0826609,5,31,0,2940.49,4863.73,0.297335,0.0743822,0.208994,0.227601,0.186073,0.2349,205.529
-2933.63,0.998325,0.0826609,6,63,0,2939.69,4870.01,0.304352,0.0788753,0.219694,0.244756,0.137434,0.207365,204.291
-2935.35,0.99684,0.0826609,6,63,0,2940.04,4749.94,0.303334,0.0431729,0.205929,0.290815,0.279544,0.213363,209.987
-2932.11,0.949762,0.0826609,5,63,0,2942.32,4882.74,0.290665,0.0288238,0.235086,0.293745,0.199348,0.111507,201.33
-2932.96,0.958985,0.0826609,5,31,0,2933.66,4872.99,0.290985,0.027135,0.233543,0.297989,0.214008,0.107196,200.89
-2932.66,0.896212,0.0826609,5,31,0,2938.49,4894.42,0.288311,0.0269708,0.231088,0.287498,0.190107,0.126126,200.847
-2933.13,1,0.0826609,6,63,0,2937.01,4931.26,0.314643,0.0427478,0.211221,0.217455,0.197123,0.158819,218.307
-2931.96,0.995438,0.0826609,5,63,0,2936.43,5006.2,0.280735,0.0243935,0.206967,0.273261,0.201096,0.11563,206.915
-2932,0.98663,0.0826609,6,63,0,2936.77,4796.33,0.314301,0.0678209,0.223619,0.268641,0.173119,0.184315,213.883
-2930.83,0.999975,0.0826609,6,63,0,2934.06,4994.58,0.284637,0.0239865,0.202221,0.259328,0.21673,0.1252,207.927
-2931.59,0.998791,0.0826609,6,63,0,2934.12,4881.53,0.30858,0.0749928,0.210974,0.237818,0.171879,0.165462,213.152
-2934.5,0.73916,0.0826609,2,7,0,2935.12,4871.06,0.309195,0.0752835,0.209913,0.23409,0.168028,0.160548,212.78
