# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\mcah39dq.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120739_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0796891
# Diagonal elements of inverse mass matrix:
# 5192.63, 8.39331e-005, 0.000295892, 0.000293206, 0.000597448, 0.000755725, 0.00185959, 0.0010462
-2938.81,0.828127,0.0796891,5,31,0,2942.93,4897.45,0.321953,0.0260352,0.190394,0.266247,0.250231,0.0936675,216.941
-2941.03,0.998542,0.0796891,5,31,0,2945.53,4870.86,0.324321,0.0294492,0.185271,0.265608,0.258052,0.077715,214.241
-2934.39,0.983712,0.0796891,5,31,0,2943.46,4880.02,0.31042,0.0294864,0.21766,0.265498,0.245985,0.0920328,215.376
-2933.43,0.959157,0.0796891,5,31,0,2937,4899.16,0.309998,0.0460633,0.201624,0.250314,0.229689,0.139977,219.012
-2933.33,0.97817,0.0796891,6,63,0,2938.57,4922.3,0.290184,0.0501063,0.202974,0.265932,0.170487,0.210168,193.577
-2935.58,0.825732,0.0796891,5,63,0,2940.24,5055.84,0.295673,0.0537178,0.19901,0.229159,0.143291,0.0756322,226.962
-2936.11,0.98253,0.0796891,6,63,0,2944.39,4860,0.295234,0.0212535,0.205068,0.34044,0.231302,0.104638,211.09
-2933.72,1,0.0796891,6,63,0,2939.11,4860.38,0.301584,0.0770162,0.222863,0.237253,0.16112,0.227928,211.826
-2933.38,0.99727,0.0796891,6,63,0,2936.41,4903.77,0.296398,0.0204329,0.204203,0.315043,0.221254,0.102467,211.687
-2930.61,0.931982,0.0796891,6,63,0,2935.6,4856.07,0.293782,0.0675936,0.224696,0.271984,0.163007,0.178989,205.565
-2933.22,0.938378,0.0796891,6,63,0,2936.97,5035.81,0.297004,0.00300409,0.194868,0.231474,0.206499,0.134819,214.643
-2933.41,0.999087,0.0796891,5,31,0,2939.39,5000.89,0.280589,0.0431519,0.218466,0.218857,0.16532,0.191947,203.691
-2931.65,0.985451,0.0796891,5,31,0,2935.03,5029.43,0.292282,0.0275252,0.204948,0.214719,0.160917,0.184948,209.165
-2932.13,0.992232,0.0796891,6,63,0,2936.2,5012.28,0.301528,0.0219105,0.203771,0.214577,0.213269,0.14666,209.822
-2932.57,0.976182,0.0796891,5,31,0,2934.52,5006.95,0.30119,0.0190732,0.218329,0.229275,0.206945,0.0921868,207.113
-2933.77,0.999929,0.0796891,6,63,0,2937.7,4814.65,0.299221,0.0857861,0.204156,0.308793,0.154747,0.190975,213.683
-2930.25,0.979639,0.0796891,5,31,0,2934.95,4878.65,0.301894,0.0607646,0.203017,0.290521,0.158635,0.163795,215.357
-2930.5,0.865312,0.0796891,5,63,0,2933.57,4922.72,0.302389,0.0336402,0.221893,0.233602,0.198673,0.140943,203.208
-2937.75,0.977183,0.0796891,5,31,0,2944.59,4892.05,0.310182,0.0226755,0.214178,0.276838,0.180482,0.148106,187.5
-2932.27,0.910425,0.0796891,5,31,0,2940.83,4822.46,0.297916,0.0672481,0.235809,0.284856,0.166869,0.168655,219.28
-2930.11,0.991743,0.0796891,5,31,0,2933.31,4845.02,0.301876,0.0339718,0.229892,0.296986,0.181068,0.150399,208.246
-2929.39,0.954338,0.0796891,5,31,0,2931.07,4897.82,0.299006,0.0509292,0.211613,0.273241,0.180925,0.158889,215.885
-2930.39,0.999531,0.0796891,5,31,0,2931.44,4944.29,0.298963,0.0610036,0.197094,0.267806,0.180364,0.108896,205.082
-2932.27,0.933388,0.0796891,6,63,0,2936.04,4970.45,0.296119,0.0194418,0.229064,0.213535,0.20098,0.183884,212.594
-2931.26,0.999169,0.0796891,6,63,0,2934.77,4983.82,0.297325,0.0161969,0.219548,0.220771,0.213934,0.148254,206.407
-2930.62,0.994549,0.0796891,5,63,0,2933.39,4919.59,0.287506,0.053116,0.223839,0.252171,0.209043,0.129526,216.681
-2929.25,0.981047,0.0796891,5,31,0,2935.28,4906.49,0.299086,0.0513102,0.200775,0.273902,0.188201,0.148304,203.419
-2929.84,0.994187,0.0796891,5,31,0,2930.6,4884.13,0.305278,0.0526619,0.20068,0.274698,0.191903,0.145197,203.613
-2929.87,0.862502,0.0796891,5,31,0,2931.82,4906.66,0.289309,0.0391105,0.218059,0.275823,0.175239,0.166322,208.435
-2932.09,0.999325,0.0796891,5,31,0,2933.71,4990.43,0.296685,0.0367909,0.181554,0.281535,0.171637,0.129434,199.633
-2930.03,0.98998,0.0796891,5,31,0,2939.26,4968.53,0.294165,0.0327959,0.228834,0.23899,0.178191,0.121227,203.089
-2931.91,0.956874,0.0796891,5,63,0,2934.39,4923.98,0.293799,0.0526541,0.200892,0.304073,0.12274,0.166069,210.396
-2930.04,0.997103,0.0796891,6,63,0,2933.7,4874.27,0.304061,0.0377977,0.206219,0.276591,0.221369,0.147508,213.799
-2931.87,0.999563,0.0796891,5,63,0,2934.82,4949.53,0.28884,0.0522982,0.234545,0.229036,0.203809,0.106513,214.682
-2932.31,0.970315,0.0796891,6,63,0,2935.79,4895.8,0.305185,0.0600989,0.190919,0.273309,0.156435,0.189513,200.577
-2933.76,0.713296,0.0796891,5,63,0,2937.21,4937.01,0.291921,0.0277917,0.236987,0.258446,0.176407,0.094272,219.987
-2933.68,0.857118,0.0796891,6,63,0,2943.28,4814.78,0.300925,0.0498182,0.192332,0.324753,0.172058,0.237241,211.36
-2929.31,0.999949,0.0796891,5,63,0,2935.35,4901.07,0.297971,0.0391944,0.230991,0.254816,0.183236,0.143965,215.511
-2930.12,0.903005,0.0796891,6,63,0,2932.05,4973.55,0.294571,0.043045,0.191829,0.250392,0.18816,0.147842,204.403
-2930.76,0.999839,0.0796891,6,63,0,2932.34,4956.28,0.286327,0.0411424,0.21419,0.246727,0.167252,0.200138,202.935
-2931.89,0.993673,0.0796891,5,63,0,2936.51,4898.57,0.302919,0.0262667,0.208374,0.252448,0.243381,0.137237,219.765
-2930.84,0.997218,0.0796891,6,63,0,2933.94,4931.2,0.291266,0.05341,0.218446,0.277512,0.137762,0.157739,201.635
-2932.66,0.986212,0.0796891,5,31,0,2934.53,4922.45,0.299602,0.0611824,0.196716,0.287211,0.13596,0.161881,198.302
-2930.56,0.995913,0.0796891,5,31,0,2935.78,4890.63,0.296655,0.0577984,0.203875,0.293588,0.146417,0.179364,204.843
-2930.3,0.991146,0.0796891,5,63,0,2937.69,4827.86,0.298692,0.031777,0.224405,0.295545,0.196133,0.184695,205.98
-2932.37,0.999075,0.0796891,5,63,0,2935.08,4851.81,0.297024,0.0329604,0.215524,0.289005,0.164229,0.25342,209.547
-2934.43,0.994749,0.0796891,6,63,0,2936.83,4831.84,0.30904,0.0800528,0.204608,0.305776,0.180205,0.088043,212.531
-2935.77,0.870208,0.0796891,6,63,0,2939.63,4979.49,0.290532,0.0157466,0.238398,0.223648,0.159481,0.224972,209.179
-2931.6,0.999674,0.0796891,6,63,0,2939.28,4891.26,0.285882,0.0631903,0.208107,0.282233,0.198848,0.135798,218.161
-2930.03,0.981121,0.0796891,5,31,0,2933.91,4884.74,0.294448,0.0428662,0.209801,0.271998,0.215404,0.145461,216.774
-2931.19,0.999107,0.0796891,5,31,0,2932.53,4915.99,0.293425,0.0161209,0.218068,0.271063,0.205807,0.160549,201.06
-2929.92,0.946574,0.0796891,5,31,0,2932.12,4922.61,0.293535,0.0249375,0.219502,0.265905,0.212729,0.139588,203.993
-2939.28,0.619861,0.0796891,5,31,0,2943.6,4920,0.302367,0.0332054,0.258985,0.240237,0.133065,0.0836541,210.005
-2935.67,0.996772,0.0796891,5,31,0,2942.44,4978.88,0.303226,0.0449024,0.245486,0.232698,0.122269,0.0762373,201.626
-2931.98,0.999994,0.0796891,6,63,0,2938.48,4839.82,0.304219,0.0693069,0.214311,0.260502,0.229231,0.115884,205.894
-2931.51,0.986549,0.0796891,5,63,0,2938,4962.12,0.297964,0.0556717,0.223978,0.207002,0.202048,0.118622,208.12
-2930.58,0.838973,0.0796891,6,63,0,2934.71,5006.27,0.300055,0.024281,0.189439,0.240531,0.183894,0.157409,213.045
-2933.65,0.818422,0.0796891,5,63,0,2939.94,5000.58,0.298484,0.0275585,0.174015,0.264342,0.194806,0.176354,201.767
