# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\6l_a8sxz.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120749_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0729038
# Diagonal elements of inverse mass matrix:
# 3991.11, 6.26625e-005, 0.000206214, 0.000244386, 0.000657937, 0.000753151, 0.00116902, 0.000823658
-3510.54,0.997937,0.0729038,6,63,0,3515.11,4980.72,0.31985,0.0264294,0.220487,0.237668,0.138184,0.0673181,208.109
-3509.49,0.939286,0.0729038,6,63,0,3516.02,4981.17,0.319881,0.0360789,0.213499,0.226884,0.143737,0.07277,208.737
-3511.1,0.940489,0.0729038,6,63,0,3514.63,4974.11,0.302238,0.0683548,0.167067,0.301938,0.138038,0.0684319,211.597
-3510.56,0.999987,0.0729038,5,31,0,3513.18,5004.07,0.30486,0.0690523,0.158991,0.287064,0.165278,0.0516457,210.793
-3510.59,0.983386,0.0729038,6,63,0,3515.55,4955.65,0.321021,0.0391925,0.226168,0.243462,0.124757,0.0665067,206.579
-3512.71,0.998074,0.0729038,6,63,0,3516.99,4917.29,0.336299,0.0466764,0.20619,0.253292,0.117918,0.068866,203.867
-3507.96,0.984769,0.0729038,5,31,0,3515.18,5070.98,0.2993,0.0400478,0.179696,0.261157,0.134464,0.0583607,204.524
-3508.05,0.999428,0.0729038,6,63,0,3510.55,5012.33,0.323711,0.049073,0.194497,0.24787,0.110834,0.0463748,214.732
-3510.55,0.862468,0.0729038,6,63,0,3512.99,5037.55,0.319086,0.0277462,0.191061,0.273212,0.134274,0.0188853,214.681
