# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\6l_a8sxz.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120749_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0823068
# Diagonal elements of inverse mass matrix:
# 4126.76, 5.94545e-005, 0.00019204, 0.000197944, 0.000572162, 0.000710057, 0.00137216, 0.000737565
-3508.61,0.988434,0.0823068,5,31,0,3512.05,4945.59,0.310134,0.0436199,0.204301,0.255881,0.184099,0.0599251,205.098
-3508.87,0.915991,0.0823068,6,63,0,3512.36,5111.2,0.304748,0.0348085,0.178215,0.259692,0.0996594,0.0329518,211.333
-3512.83,0.989871,0.0823068,5,31,0,3515.31,5092.18,0.310423,0.0852103,0.169173,0.207083,0.129669,0.0290908,197.372
-3507.79,0.952423,0.0823068,5,31,0,3516.22,4971.78,0.323429,0.0426892,0.180332,0.274775,0.13578,0.0710434,207.828
-3508.96,0.972449,0.0823068,5,63,0,3513.34,4966.41,0.325505,0.0416026,0.186249,0.270002,0.130869,0.0805692,214.218
-3508.44,0.985968,0.0823068,6,63,0,3511.42,5056.55,0.299825,0.063312,0.192362,0.245611,0.139082,0.0144121,201.843
-3509.72,0.971596,0.0823068,5,63,0,3512.39,5088.72,0.301952,0.0566189,0.196937,0.204448,0.14897,0.0308829,212.094
-3510.42,0.99261,0.0823068,6,63,0,3514.97,5105.89,0.319714,0.0428579,0.160765,0.265736,0.0754796,0.0375875,206.072
-3507.99,0.965908,0.0823068,5,63,0,3515.86,5059.62,0.313501,0.0669376,0.185817,0.229927,0.125096,0.0227523,215.49
-3510.08,0.98329,0.0823068,5,63,0,3512.25,5002.19,0.323084,0.049798,0.21687,0.227218,0.111145,0.042019,212.714
-3506.98,0.975397,0.0823068,5,31,0,3511.57,5032.97,0.307722,0.0390212,0.189809,0.255646,0.124127,0.075646,204.54
-3508.15,0.996923,0.0823068,5,31,0,3511.06,5035.62,0.318675,0.0334909,0.198848,0.256136,0.108949,0.0229469,204.137
-3509.89,0.989296,0.0823068,5,63,0,3512.5,5113.14,0.313012,0.0202245,0.18723,0.23985,0.0903332,0.0646843,203.226
-3510.57,0.995049,0.0823068,6,63,0,3514.62,4919.07,0.316668,0.0658605,0.203955,0.274867,0.171925,-0.0120869,213.499
