# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\tq1gvn9d.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120758_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0592815
# Diagonal elements of inverse mass matrix:
# 3140.82, 4.92362e-005, 0.000210141, 0.000199119, 0.000553885, 0.000592117, 0.000987099, 0.00077615
-4080.13,0.999757,0.0592815,5,31,0,4086.45,4932.43,0.306538,0.0705229,0.193484,0.258005,0.17426,0.0967356,206.675
-4079.17,0.997478,0.0592815,6,63,0,4081.89,4933.69,0.309995,0.0549363,0.205647,0.251188,0.177467,0.0930202,208.808
-4077.58,0.999829,0.0592815,6,63,0,4081.95,4930.77,0.309073,0.0524673,0.206658,0.23475,0.150707,0.178734,198.216
-4079,0.98591,0.0592815,6,63,0,4081.94,5019.42,0.305859,0.0473488,0.188925,0.226498,0.165413,0.111958,210.089
-4079.7,0.999524,0.0592815,6,63,0,4082.72,4961.45,0.313886,0.0351549,0.191778,0.21936,0.182703,0.177619,194.923
-4077.84,0.992523,0.0592815,6,63,0,4083.01,4936.77,0.302012,0.0623275,0.20887,0.231838,0.173114,0.13952,202.097
-4078.25,0.999154,0.0592815,6,63,0,4080.32,4910.82,0.31832,0.0428632,0.196987,0.253045,0.157519,0.165941,206.569
-4078.63,0.997149,0.0592815,6,63,0,4080.02,4932.13,0.316503,0.0382232,0.197614,0.238006,0.158334,0.180809,209.62
-4077.77,0.998372,0.0592815,6,63,0,4079.82,4966.4,0.304627,0.0595514,0.195344,0.237516,0.165116,0.139076,197.667
