# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\tq1gvn9d.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120758_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0770598
# Diagonal elements of inverse mass matrix:
# 3597.86, 6.10918e-005, 0.000189425, 0.000202726, 0.000468043, 0.000641951, 0.0010531, 0.000664939
-4079.98,0.990798,0.0770598,6,63,0,4082.2,5007.14,0.315972,0.0563377,0.204618,0.19391,0.145417,0.128186,205.876
-4081.1,0.974968,0.0770598,5,63,0,4082.83,4998.9,0.309784,0.0561979,0.215988,0.184218,0.161665,0.114339,206.236
-4080.25,0.923058,0.0770598,6,63,0,4085.46,4910.5,0.308168,0.0610638,0.204461,0.275796,0.162447,0.103701,207.666
-4080.19,0.997811,0.0770598,6,63,0,4082.54,4954.25,0.308215,0.0423431,0.196708,0.202652,0.178979,0.222933,201.467
-4082.03,0.998228,0.0770598,6,63,0,4085.62,4968.28,0.297587,0.067592,0.205245,0.256613,0.162698,0.0851222,207.17
-4085.67,0.999611,0.0770598,5,63,0,4091.08,4833.7,0.307379,0.102801,0.218762,0.241516,0.180589,0.116571,201.697
-4080.78,0.985511,0.0770598,5,31,0,4089.13,4896.16,0.2993,0.0657905,0.219333,0.260935,0.165796,0.127706,211.391
-4079.19,0.990949,0.0770598,6,63,0,4086.69,5003.98,0.317215,0.037899,0.195462,0.203926,0.160385,0.153416,199.192
-4082.24,0.985357,0.0770598,5,63,0,4083.59,4955.44,0.292584,0.0727564,0.185113,0.250085,0.155501,0.195495,203.977
