# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:08:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\qr05zmcs.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120811_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0601483
# Diagonal elements of inverse mass matrix:
# 2815.02, 4.63963e-005, 0.00017716, 0.000171241, 0.000510125, 0.000486133, 0.000970823, 0.000648763
-4667.08,0.915826,0.0601483,6,63,0,4668.92,4928.79,0.300685,0.0657723,0.201749,0.251977,0.14536,0.174842,209.033
-4671.53,0.999622,0.0601483,5,31,0,4673.67,4918.95,0.304418,0.0774237,0.209059,0.262767,0.155234,0.0743697,208.942
-4670.16,0.942074,0.0601483,6,63,0,4675.34,4915.95,0.303685,0.0748027,0.209742,0.262028,0.152658,0.0748381,206.209
-4672.75,0.988324,0.0601483,5,31,0,4674.97,4886.39,0.297116,0.0800753,0.20565,0.290131,0.168455,0.0764015,205.839
-4671.98,0.971848,0.0601483,5,31,0,4675.53,4891.35,0.297429,0.0776548,0.208749,0.284955,0.16796,0.0778358,205.173
-4671.74,0.999994,0.0601483,6,63,0,4679.04,4774.49,0.308728,0.0538966,0.237195,0.245721,0.167243,0.25157,209.755
-4667.28,0.9698,0.0601483,6,63,0,4674.39,4889.6,0.298915,0.0735713,0.2144,0.261362,0.135013,0.148761,200.55
-4667.05,0.999819,0.0601483,6,63,0,4669.14,4889.01,0.307165,0.0510247,0.220378,0.253617,0.125487,0.203899,203.908
-4668.92,0.965681,0.0601483,6,63,0,4672.28,4922.26,0.294795,0.0669457,0.206094,0.280105,0.146474,0.101803,204.641
-4667.22,0.999921,0.0601483,6,63,0,4670.35,4950.12,0.305126,0.0527978,0.221867,0.218447,0.132173,0.17092,208.883
-4666.89,0.998892,0.0601483,6,63,0,4670.39,4942.9,0.299938,0.0489645,0.197541,0.278485,0.139749,0.149609,203.679
-4669.03,0.999956,0.0601483,6,63,0,4670.58,4979.82,0.295794,0.0658469,0.22675,0.21457,0.130693,0.131703,207.933
-4670.13,0.9527,0.0601483,6,63,0,4675.24,4899.56,0.308117,0.0385266,0.194894,0.29112,0.159453,0.164572,206.235
-4668.82,0.997352,0.0601483,6,63,0,4674.3,4841.7,0.306658,0.0721473,0.221657,0.254368,0.11618,0.2218,203.296
-4668.75,0.979294,0.0601483,6,63,0,4673.51,4963.05,0.294713,0.046397,0.191742,0.267602,0.138853,0.195081,211.013
-4669.5,0.999932,0.0601483,6,63,0,4671.68,4927.77,0.298815,0.0480745,0.196263,0.253801,0.1371,0.233726,212.141
-4667.71,0.99999,0.0601483,6,63,0,4671.82,4852.85,0.30025,0.0606274,0.234403,0.273673,0.13672,0.154186,198.833
-4667.68,0.999803,0.0601483,6,63,0,4671.71,4877.94,0.308065,0.0577704,0.202258,0.250736,0.169733,0.187886,212.956
-4668.95,0.940327,0.0601483,6,63,0,4671.87,4859.01,0.30371,0.0638568,0.22302,0.25971,0.144787,0.188797,217.287
-4668.91,0.998668,0.0601483,6,63,0,4673.23,4947.98,0.29195,0.0687192,0.220496,0.238712,0.142619,0.118315,204.568
-4667.16,0.999761,0.0601483,6,63,0,4670.93,4985.76,0.29951,0.0592321,0.210456,0.238426,0.101679,0.151263,208.457
-4667.23,0.927115,0.0601483,6,63,0,4673.92,4910.01,0.29355,0.0623571,0.216109,0.25548,0.132958,0.192155,212.346
-4665.64,0.999996,0.0601483,6,63,0,4668.22,4939.31,0.301644,0.0567115,0.201255,0.251222,0.138749,0.172818,202.036
-4667.25,0.986267,0.0601483,5,31,0,4667.93,4959.4,0.300483,0.061044,0.201365,0.225516,0.140941,0.194912,202.988
-4665.92,0.987846,0.0601483,6,63,0,4668.82,4879.34,0.30544,0.0500981,0.219262,0.267776,0.140339,0.154459,201.583
-4667.5,0.938447,0.0601483,6,63,0,4672.61,4837.1,0.301606,0.0756601,0.214113,0.270227,0.163274,0.159671,211.856
-4668.54,0.999876,0.0601483,6,63,0,4670.2,4860.16,0.309462,0.0673132,0.219171,0.25809,0.147245,0.1402,216.666
-4668.41,0.964503,0.0601483,6,63,0,4672.49,4936.49,0.295941,0.0429378,0.212696,0.258694,0.136407,0.193399,195.908
-4669.69,0.999589,0.0601483,6,63,0,4671.56,4890.58,0.306167,0.0688724,0.211623,0.242395,0.161908,0.140064,218.97
-4668.93,0.999942,0.0601483,6,63,0,4673.32,4883.81,0.306204,0.0342123,0.229307,0.242772,0.159655,0.180394,214.026
-4670.38,0.968997,0.0601483,6,63,0,4673.04,4889.56,0.301566,0.071764,0.197665,0.25345,0.15022,0.189937,194.617
-4674.88,0.999349,0.0601483,6,63,0,4679.71,4900.64,0.294312,0.0923173,0.194145,0.266644,0.114611,0.222262,201.633
-4665.9,0.949155,0.0601483,5,31,0,4676.8,4894.46,0.306509,0.0667461,0.212169,0.255485,0.127577,0.170693,203.632
-4665.98,0.994828,0.0601483,5,63,0,4669.17,4920.97,0.303389,0.0559311,0.21504,0.268401,0.1268,0.133426,203.801
-4668.71,0.999376,0.0601483,5,31,0,4670.78,4903.11,0.301624,0.0510769,0.227901,0.282386,0.120849,0.11478,200.616
-4667.81,0.992792,0.0601483,6,63,0,4673.08,4928.64,0.313362,0.0435382,0.211338,0.24663,0.138262,0.131146,204.916
-4667.56,0.949108,0.0601483,6,63,0,4671.97,4873.88,0.300252,0.0637351,0.214478,0.260869,0.124691,0.208081,209.984
-4669.11,0.996207,0.0601483,6,63,0,4670.83,5003.55,0.301331,0.0383955,0.205166,0.23848,0.153145,0.122465,199.957
-4668.62,1,0.0601483,6,63,0,4671.42,4853.43,0.303107,0.0768441,0.209377,0.275793,0.1463,0.174027,213.179
-4670.38,0.989686,0.0601483,6,63,0,4672.72,4930.03,0.297557,0.0432212,0.228063,0.222859,0.175827,0.17571,199.922
-4670.55,0.993659,0.0601483,6,63,0,4673.7,4921.98,0.301247,0.0580273,0.197584,0.294834,0.110309,0.1421,215.178
-4667.02,0.99355,0.0601483,6,63,0,4673.92,4875.41,0.299187,0.049087,0.226619,0.273071,0.141576,0.153309,200.46
-4667.41,0.999989,0.0601483,6,127,0,4671.47,4978.1,0.295561,0.0376877,0.209547,0.244638,0.153898,0.138451,206.631
-4669.5,0.96619,0.0601483,6,63,0,4672.1,4911.23,0.30267,0.0869383,0.217673,0.23999,0.112194,0.146146,204.08
-4670.28,0.990761,0.0601483,6,63,0,4676.47,4857.68,0.303752,0.0258154,0.216969,0.274833,0.189949,0.184183,209.009
-4670.21,0.974045,0.0601483,5,31,0,4671.33,4861.41,0.304421,0.0254799,0.214746,0.273478,0.183214,0.182709,207.455
-4671.33,0.973152,0.0601483,6,63,0,4674.5,4874.59,0.298102,0.0261153,0.217149,0.265181,0.170892,0.215609,206.026
-4666.84,0.999671,0.0601483,6,63,0,4673.26,4897.67,0.310826,0.0514164,0.218324,0.256434,0.138596,0.129368,202.111
-4667.04,0.998727,0.0601483,6,63,0,4668.94,4852.62,0.295424,0.063306,0.215009,0.266749,0.161557,0.206716,207.217
-4665.99,0.996383,0.0601483,6,63,0,4670.47,4915.31,0.308467,0.0559697,0.210549,0.261603,0.123583,0.151372,205.383
-4666.2,0.990554,0.0601483,6,63,0,4668.23,4854.72,0.298018,0.0577818,0.223384,0.280673,0.153812,0.163458,206.467
-4666.64,0.949085,0.0601483,6,63,0,4669.91,4914.68,0.302887,0.0544739,0.2321,0.228686,0.143814,0.151945,206.951
-4670.93,0.881252,0.0601483,6,63,0,4673.22,4854.14,0.309108,0.0647779,0.218913,0.288065,0.157018,0.104362,207.183
-4668.99,0.989781,0.0601483,6,63,0,4672.97,4894.48,0.308551,0.0592106,0.216594,0.262225,0.146253,0.0950903,207.409
-4665.82,0.999959,0.0601483,6,63,0,4669.85,4887.16,0.301641,0.0526517,0.217829,0.251221,0.164629,0.175701,209.825
-4665.55,0.997992,0.0601483,5,63,0,4669.99,4885.27,0.301851,0.0534637,0.223063,0.244918,0.161027,0.167172,206.307
-4667.66,0.999596,0.0601483,6,63,0,4671.4,4795.53,0.312285,0.0558863,0.222919,0.28969,0.157923,0.166573,206.263
-4669.08,0.890877,0.0601483,6,63,0,4672.84,4834.8,0.309238,0.0531599,0.197134,0.286511,0.184117,0.182508,207.562
-4666.48,0.997322,0.0601483,6,63,0,4670.13,4893.9,0.302525,0.0493822,0.205755,0.258091,0.172224,0.186205,205.256
-4667.01,0.995446,0.0601483,6,63,0,4668.83,4889.63,0.302552,0.0549309,0.204647,0.293581,0.142169,0.137035,203.618
-4667.71,0.977169,0.0601483,6,63,0,4669.76,4928.07,0.299362,0.04843,0.219713,0.224433,0.145293,0.200549,210.87
-4666.26,0.996194,0.0601483,6,63,0,4669.2,4844.56,0.309933,0.0579044,0.217659,0.268745,0.139986,0.17689,202.248
-4666.55,0.943668,0.0601483,6,63,0,4668.95,4887.69,0.305654,0.0560305,0.207647,0.25442,0.160776,0.162295,211.825
-4670.47,0.978674,0.0601483,5,63,0,4672.05,4936.34,0.292934,0.0317382,0.22205,0.265506,0.130892,0.204201,212.084
-4667.04,0.979766,0.0601483,6,63,0,4672.97,4847.61,0.30916,0.0607991,0.220283,0.250331,0.14915,0.182473,199.886
-4668.64,0.926983,0.0601483,6,63,0,4672.88,4849.58,0.307617,0.0465467,0.228725,0.270161,0.180002,0.118143,208.441
-4667.12,0.987925,0.0601483,6,63,0,4670.46,4805.67,0.308502,0.0566899,0.226998,0.26696,0.168011,0.192327,209.148
-4667.36,0.990871,0.0601483,5,63,0,4673.2,4787.82,0.30741,0.0562522,0.232757,0.273586,0.159776,0.193694,205.418
-4671.78,0.917285,0.0601483,5,63,0,4675.35,4908.28,0.293943,0.0539308,0.237539,0.257915,0.170546,0.0978187,207.462
-4668.95,0.995428,0.0601483,6,63,0,4675.71,4896.04,0.309508,0.0557687,0.228526,0.231866,0.116305,0.17165,203.521
-4667.1,0.996063,0.0601483,6,63,0,4670.7,4880.7,0.303082,0.0615787,0.229187,0.228077,0.149533,0.179339,208.416
-4670.13,0.999219,0.0601483,5,31,0,4670.9,4851.53,0.31032,0.0678856,0.230939,0.219511,0.149626,0.21081,209.904
-4666.25,0.967514,0.0601483,6,63,0,4671.87,4843.73,0.306457,0.0622358,0.228657,0.251327,0.159584,0.172174,205.897
-4667.25,0.984705,0.0601483,6,63,0,4669.8,4868.33,0.310769,0.059645,0.220617,0.259461,0.118878,0.173015,210.738
-4667.13,0.999441,0.0601483,6,63,0,4669.11,4951.97,0.294038,0.0504135,0.206875,0.249993,0.165042,0.15463,200.313
-4666.95,0.992371,0.0601483,6,63,0,4668.66,4883.6,0.310322,0.060371,0.223512,0.247712,0.114733,0.18112,205.68
-4667.4,0.935775,0.0601483,6,63,0,4670.73,4976.47,0.301126,0.0511716,0.204546,0.237716,0.114338,0.167206,204.357
-4667.51,0.999149,0.0601483,6,63,0,4668.67,4956.75,0.300755,0.0489745,0.221789,0.230783,0.121187,0.153166,208.374
