# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:08:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\qr05zmcs.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120811_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0749241
# Diagonal elements of inverse mass matrix:
# 3172.65, 5.23652e-005, 0.000173719, 0.000178025, 0.000487795, 0.000620993, 0.00106537, 0.00067636
-4674.61,0.991196,0.0749241,6,63,0,4679.73,4853.58,0.30363,0.091419,0.234639,0.266014,0.134764,0.0747093,210.076
-4669.54,0.977543,0.0749241,5,31,0,4679.21,4889.59,0.309861,0.0490662,0.225786,0.284665,0.0991902,0.140193,205.194
-4667.76,0.999951,0.0749241,6,63,0,4671.9,4843.64,0.303322,0.0641936,0.222087,0.29452,0.135095,0.143745,201.581
-4667.02,0.816173,0.0749241,6,63,0,4673.41,4916.38,0.303828,0.0494033,0.210843,0.230889,0.162207,0.191096,211.237
-4669.16,0.999703,0.0749241,6,63,0,4671.02,4845.95,0.297344,0.0468411,0.219146,0.26311,0.181615,0.212761,213.822
-4670.26,0.980538,0.0749241,5,31,0,4674.84,4837.34,0.295801,0.0477709,0.22289,0.260442,0.181917,0.219099,214.639
-4666.41,0.876875,0.0749241,5,31,0,4672.77,4856.18,0.303755,0.0572124,0.233318,0.244062,0.153497,0.175863,208.16
-4666.38,0.971389,0.0749241,5,63,0,4669.46,4850.91,0.300995,0.0671143,0.223771,0.274426,0.140367,0.170367,208.077
-4668.8,0.966007,0.0749241,5,63,0,4670.74,4918.41,0.307336,0.0668395,0.190484,0.266388,0.117491,0.174861,206.862
-4665.38,0.995904,0.0749241,5,47,0,4670.56,4918.19,0.302091,0.0473973,0.214725,0.250971,0.145582,0.16127,203.478
-4665.63,0.975579,0.0749241,6,63,0,4666.79,4920.22,0.299112,0.0520064,0.215929,0.251018,0.144128,0.159422,209.468
-4666.6,0.983309,0.0749241,4,31,0,4672.79,4908.91,0.306269,0.0700128,0.210465,0.249234,0.134841,0.136977,208.367
-4669.22,0.992733,0.0749241,5,31,0,4671.11,4870.28,0.310755,0.0562276,0.221457,0.29116,0.11403,0.117257,206.331
