# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:08:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\sw_9sjfz.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120824_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0850259
# Diagonal elements of inverse mass matrix:
# 2347.46, 4.38826e-005, 0.000133835, 0.000152176, 0.000389283, 0.000394082, 0.000738261, 0.000540404
-5197.28,0.999142,0.0850259,6,63,0,5200.03,4971.18,0.28471,0.0677464,0.222223,0.242956,0.197169,0.0537062,197.839
-5198.17,0.981134,0.0850259,5,31,0,5201.11,4962.25,0.279157,0.062904,0.220751,0.274941,0.185464,0.0531356,191.585
-5197.79,0.96616,0.0850259,5,63,0,5203.87,5024.07,0.292806,0.0795663,0.214067,0.221086,0.144889,0.069378,191.984
-5198.18,0.99924,0.0850259,6,63,0,5201.28,4981.47,0.292512,0.0389771,0.195487,0.290007,0.188574,0.0710889,195.215
-5198.33,0.999486,0.0850259,6,63,0,5200.33,4978.65,0.292442,0.083343,0.220034,0.224599,0.152715,0.0934922,193.721
-5201.22,0.999677,0.0850259,5,31,0,5202.23,4944.34,0.290391,0.0901895,0.228047,0.224078,0.159253,0.0973635,191.324
-5195.4,1,0.0850259,5,31,0,5203.96,5015.82,0.297134,0.0599988,0.199388,0.258887,0.161631,0.0346102,190.291
-5196.14,0.920367,0.0850259,6,63,0,5201.66,5030.84,0.295682,0.0397317,0.208457,0.242024,0.164489,0.069007,199.498
-5196.99,0.983958,0.0850259,5,31,0,5198.69,5015.74,0.294461,0.032088,0.213704,0.263203,0.160124,0.0582431,195.336
-5200.01,0.750846,0.0850259,6,63,0,5204.03,5063.97,0.290613,0.0333412,0.207371,0.230799,0.187861,0.0757895,195.651
-5199.66,0.996745,0.0850259,5,63,0,5202.5,5030.22,0.291876,0.0341082,0.209127,0.228017,0.192319,0.0685441,196.434
-5199.25,0.9918,0.0850259,6,63,0,5203.87,5009.19,0.284471,0.036664,0.205124,0.273425,0.193599,0.0454218,196.405
-5196.8,0.962801,0.0850259,5,31,0,5201.35,5019.7,0.286513,0.0398482,0.211862,0.266521,0.173443,0.0420727,197.041
-5196.15,0.998866,0.0850259,6,63,0,5199.39,5040.7,0.291276,0.0710326,0.196565,0.226554,0.14825,0.0987463,191.14
-5195.52,0.999604,0.0850259,6,63,0,5199.58,4958.97,0.294783,0.0453681,0.208136,0.276907,0.170413,0.0907424,193.688
-5196.2,0.999344,0.0850259,6,63,0,5198.25,4979.1,0.292656,0.0714196,0.209889,0.238614,0.151797,0.1182,196.15
-5197.29,0.837272,0.0850259,6,63,0,5200.52,4962.12,0.291578,0.0504452,0.208938,0.28061,0.191224,0.0405595,187.404
