# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:08:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\sw_9sjfz.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120824_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0778983
# Diagonal elements of inverse mass matrix:
# 2212.47, 4.59757e-005, 0.000155394, 0.000150841, 0.000359263, 0.000447901, 0.000640007, 0.000587169
-5197.45,0.987495,0.0778983,5,31,0,5200.25,5059.77,0.286441,0.0341454,0.191072,0.260494,0.176819,0.0820555,194.691
-5198.47,0.965937,0.0778983,6,63,0,5201.1,4972.89,0.296767,0.0751091,0.229374,0.23566,0.145513,0.060556,193.643
-5199.5,0.986009,0.0778983,5,31,0,5200.7,4974.36,0.295463,0.075901,0.23023,0.230031,0.141733,0.0562566,193.245
-5196.91,1,0.0778983,5,31,0,5201.2,4977.29,0.295563,0.0762325,0.217393,0.241598,0.139812,0.0717744,195.2
-5196.18,0.937335,0.0778983,5,63,0,5199.23,5009,0.296566,0.0676965,0.207612,0.242758,0.130862,0.0805079,192.634
-5198.13,0.99968,0.0778983,5,31,0,5200.89,5014.61,0.293516,0.0738603,0.182058,0.263985,0.138551,0.0976334,195.056
-5202.62,0.966368,0.0778983,6,63,0,5207.71,4892.99,0.296423,0.0508769,0.217852,0.268827,0.165932,0.173171,190.588
-5198.64,0.999289,0.0778983,6,63,0,5205.18,5040.78,0.292288,0.0655574,0.20278,0.251798,0.17401,-0.0123821,197.336
-5194.58,0.973606,0.0778983,5,31,0,5200.01,5026.76,0.291239,0.0516508,0.198995,0.25468,0.178506,0.0512496,197.259
-5197.15,0.777991,0.0778983,5,63,0,5200.62,5050.67,0.287365,0.057933,0.191129,0.260769,0.152439,0.0870672,197.784
-5196.88,0.998816,0.0778983,6,63,0,5199.14,5027.34,0.293209,0.0448444,0.215606,0.238655,0.176424,0.0616607,190.151
-5196.69,0.993823,0.0778983,5,31,0,5199.28,5032.29,0.292071,0.0364441,0.213402,0.239326,0.189484,0.0515767,193.461
-5198.73,0.906166,0.0778983,5,31,0,5201.36,5022.21,0.29029,0.081383,0.212918,0.253589,0.136077,0.0230786,192.495
-5196.85,0.985759,0.0778983,6,63,0,5201.11,4954.52,0.291647,0.0449827,0.204773,0.280109,0.195498,0.0698399,196.06
-5196,0.99986,0.0778983,6,63,0,5199.27,5064.41,0.290278,0.0673978,0.2065,0.236831,0.130302,0.0517151,195.213
-5197.08,0.947151,0.0778983,6,63,0,5199.82,4969.2,0.294569,0.0406312,0.21674,0.255198,0.191139,0.0895447,192.097
-5197.59,0.981688,0.0778983,6,63,0,5202.31,5068.94,0.286541,0.0722576,0.191278,0.240479,0.136839,0.0616544,195.158
-5199.13,0.995268,0.0778983,5,31,0,5200.82,5069.45,0.286139,0.0777263,0.188094,0.22661,0.141471,0.0840585,195.499
-5198.05,0.971868,0.0778983,6,63,0,5201.93,4931.77,0.296533,0.0408697,0.220805,0.273543,0.188134,0.0897318,194.221
-5198.56,0.999291,0.0778983,6,63,0,5204.52,5044.62,0.28506,0.0776724,0.197176,0.258677,0.125832,0.0583337,190.112
-5198.6,0.973576,0.0778983,5,63,0,5202.37,5105.1,0.285389,0.0647032,0.192369,0.243225,0.118972,0.072875,191.843
-5195.85,0.999382,0.0778983,6,63,0,5200.25,4952.45,0.295558,0.0523441,0.214976,0.250791,0.198671,0.0673636,192.453
-5197.2,0.969685,0.0778983,6,63,0,5199.92,5074.6,0.284427,0.0696207,0.19357,0.250005,0.133638,0.0720669,194.943
-5195.92,0.970878,0.0778983,6,63,0,5200.14,4958.63,0.284849,0.0523165,0.21557,0.268599,0.185081,0.0967325,195.13
-5196.46,0.836489,0.0778983,5,31,0,5203.12,4917.15,0.297038,0.0670044,0.215813,0.26072,0.17457,0.110176,197.531
-5201.65,0.950571,0.0778983,5,31,0,5204.95,4959.96,0.295489,0.0405226,0.189231,0.27308,0.187181,0.128054,202.525
-5198.48,0.943237,0.0778983,5,63,0,5206.46,5000.78,0.287039,0.0466583,0.216713,0.250295,0.14953,0.103298,199.274
-5198.26,0.947481,0.0778983,5,31,0,5201.81,5011.23,0.293871,0.0442397,0.201894,0.265982,0.162363,0.0977185,193.804
-5199.73,0.936309,0.0778983,6,63,0,5203.31,4885.06,0.292243,0.079268,0.222467,0.257262,0.192692,0.0846639,195.559
-5202.6,0.999641,0.0778983,5,31,0,5205.67,4883.08,0.302362,0.0874629,0.209835,0.24834,0.213677,0.0613623,193.107
-5198.96,0.95563,0.0778983,6,63,0,5206.26,5100.6,0.284256,0.0294501,0.204385,0.252083,0.139173,0.0699829,197.601
-5195.44,0.968395,0.0778983,5,31,0,5200.12,5059.64,0.290087,0.0482676,0.199331,0.255172,0.145907,0.0499187,196.689
-5196.23,0.972745,0.0778983,5,63,0,5199.48,4951.44,0.296075,0.0714109,0.202508,0.252668,0.16104,0.120046,190.996
-5197.26,0.97528,0.0778983,6,63,0,5200.1,4965.9,0.293964,0.0505787,0.206803,0.29714,0.147736,0.07086,191.97
-5195.4,0.999918,0.0778983,5,31,0,5198.66,4973.96,0.299509,0.0525807,0.209308,0.268745,0.161973,0.0532683,195.142
-5196,0.96663,0.0778983,6,63,0,5197.69,4965.31,0.284254,0.0620636,0.220063,0.275185,0.159034,0.0678767,191.621
-5196.18,0.899216,0.0778983,6,63,0,5200.33,5029.87,0.298113,0.0503413,0.201478,0.230771,0.179435,0.0625682,199.492
-5196.19,0.957241,0.0778983,6,63,0,5198.52,5000.75,0.284486,0.0644156,0.209437,0.271987,0.152144,0.0727177,187.985
-5195.82,0.948504,0.0778983,6,63,0,5199.05,5046.19,0.294882,0.0508216,0.20026,0.227248,0.178111,0.0593038,199.281
-5196.01,0.898977,0.0778983,6,63,0,5200.01,5011.45,0.285722,0.06404,0.208843,0.257189,0.139328,0.0842328,189.774
-5196.96,0.957535,0.0778983,6,63,0,5200.63,5112.27,0.285227,0.0505411,0.203093,0.209374,0.157218,0.0621285,195.708
