# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:13:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\2md60w0q.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121359_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0539556
# Diagonal elements of inverse mass matrix:
# 41263.2, 0.000287833, 0.0011521, 0.00127773, 0.00416337, 0.00342666, 0.00848962, 0.0042229
-581.123,0.99726,0.0539556,5,31,0,582.251,4296.06,0.308301,0.193876,0.237443,0.43729,0.141427,0.31285,174.729
-582.524,0.989423,0.0539556,6,127,0,587.762,4725.27,0.323485,0.0912409,0.194811,0.277252,0.185047,0.240299,192.961
-580.904,0.991601,0.0539556,6,63,0,587.77,4603.85,0.298674,0.185502,0.208994,0.326059,0.170155,0.182144,185.343
-584.733,0.999834,0.0539556,6,63,0,588.17,4153.18,0.347499,0.115264,0.257059,0.514398,0.0661063,0.392347,227.996
-580.513,0.998682,0.0539556,6,63,0,587.157,4155.08,0.349342,0.214854,0.261525,0.419019,0.158634,0.198049,185.692
-580.568,0.930692,0.0539556,5,31,0,582.666,4166.34,0.345833,0.207503,0.272277,0.408926,0.161388,0.229379,186.241
-581.289,0.998035,0.0539556,6,63,0,585.418,4371.28,0.292504,0.15844,0.216529,0.340753,0.248371,0.411028,195.807
-581.15,0.9864,0.0539556,6,63,0,585.422,4516.87,0.314224,0.167241,0.178941,0.433307,0.115973,0.207232,210.118
-580.332,0.964959,0.0539556,6,127,0,585.673,4205.76,0.330323,0.16187,0.267181,0.453064,0.195638,0.170016,210.272
-581.404,0.9992,0.0539556,6,63,0,583.68,4146.04,0.369973,0.172438,0.263482,0.403123,0.175186,0.214531,195.831
-580.269,0.945002,0.0539556,6,63,0,584.984,4326.59,0.301734,0.201863,0.253761,0.359241,0.13079,0.349314,197.807
-577.979,0.999968,0.0539556,6,63,0,580.698,4330.91,0.320161,0.187205,0.249807,0.358672,0.15274,0.300813,190.476
-579.131,0.961563,0.0539556,6,63,0,582.319,4301.56,0.340454,0.134045,0.238533,0.45912,0.14542,0.201219,185.383
-578.823,0.978837,0.0539556,6,63,0,581.758,4297.26,0.33143,0.170844,0.262429,0.404543,0.135394,0.205752,175.436
-581.637,0.997034,0.0539556,6,63,0,584.61,4504.47,0.291984,0.1427,0.246198,0.404098,0.0725462,0.287113,191.675
-579.106,0.990681,0.0539556,6,63,0,583.212,4441.15,0.337272,0.126067,0.228323,0.36952,0.152881,0.211065,207.811
-578.939,0.970239,0.0539556,6,63,0,580.933,4278.88,0.318261,0.189922,0.22148,0.407014,0.151789,0.325851,186.262
-578.558,0.98856,0.0539556,6,63,0,579.743,4311.68,0.322908,0.180114,0.235497,0.393297,0.190222,0.279609,198.278
-578.621,0.995288,0.0539556,5,63,0,581.216,4297.85,0.320029,0.201171,0.237493,0.40519,0.152846,0.273154,198.853
-581.234,0.999581,0.0539556,6,63,0,582.762,4225.1,0.295883,0.172792,0.241081,0.424236,0.279238,0.296362,195.42
-580.067,0.960614,0.0539556,5,31,0,582.592,4249.33,0.30742,0.157914,0.23574,0.387587,0.261563,0.327908,189.282
-580,0.978516,0.0539556,6,63,0,582.071,4336.56,0.341825,0.179528,0.245848,0.325696,0.189872,0.276112,190.282
-581.702,0.950268,0.0539556,6,63,0,585.44,4562.03,0.296714,0.127417,0.203663,0.392503,0.15678,0.18425,199.78
-582.496,0.998862,0.0539556,6,63,0,586.481,4499.15,0.329873,0.189618,0.265939,0.240445,0.148259,0.207522,203.519
-581.423,0.987752,0.0539556,6,63,0,584.313,4496.41,0.299973,0.129156,0.196066,0.439115,0.170886,0.195993,201.15
-583.178,0.956066,0.0539556,6,63,0,586.013,4385.05,0.303652,0.188661,0.281549,0.272594,0.208413,0.332922,202.021
-583.324,0.996659,0.0539556,6,63,0,589.802,4591.44,0.325971,0.0957418,0.176249,0.426967,0.197314,0.129977,190.321
-579.608,0.967246,0.0539556,6,63,0,587.255,4339.55,0.305195,0.165338,0.262903,0.38883,0.129966,0.2881,195.714
-582.327,0.99919,0.0539556,6,63,0,583.624,4072.18,0.361698,0.218412,0.232511,0.416968,0.233216,0.267833,203.704
-579.334,0.999583,0.0539556,6,63,0,584.884,4112.05,0.341445,0.175925,0.278787,0.432109,0.172732,0.295131,179.672
-580.865,0.998538,0.0539556,6,63,0,584.234,4469.97,0.298761,0.167278,0.192808,0.341971,0.226853,0.335985,214.046
-583.808,0.959228,0.0539556,6,63,0,586.475,4292.69,0.36086,0.154493,0.268785,0.437715,0.0280238,0.155135,188.859
-580.472,0.958825,0.0539556,6,63,0,587.772,4135.55,0.340607,0.191055,0.230396,0.479761,0.106915,0.377086,183.166
-583.094,0.844118,0.0539556,6,127,0,588.064,4271.79,0.342357,0.126233,0.222769,0.348299,0.286337,0.283333,186.653
-581.616,0.982032,0.0539556,6,63,0,587.183,4250.3,0.303123,0.231574,0.241269,0.400669,0.18531,0.322131,186.503
-581.28,0.999953,0.0539556,6,127,0,584.088,4306.21,0.304664,0.229539,0.229259,0.3573,0.20297,0.340421,191.587
-579.239,0.9938,0.0539556,6,63,0,582.894,4351.82,0.320744,0.178418,0.242004,0.35172,0.214079,0.265404,178.324
-579.166,0.998915,0.0539556,6,63,0,580.793,4304.45,0.309103,0.159491,0.265705,0.403437,0.206241,0.239011,183.777
-579.308,0.9993,0.0539556,6,63,0,584.451,4298.25,0.311039,0.142703,0.273122,0.405971,0.183964,0.238737,186.484
