# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:13:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\2md60w0q.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121359_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.061173
# Diagonal elements of inverse mass matrix:
# 33004.8, 0.000282301, 0.00158852, 0.00119641, 0.00360555, 0.00358971, 0.00732709, 0.00472417
-582.44,0.867262,0.061173,6,63,0,586.318,4704.44,0.317406,0.114459,0.174776,0.299492,0.150063,0.216382,219.526
-582.017,0.995302,0.061173,6,63,0,585.063,4729.13,0.311064,0.117587,0.180519,0.311916,0.178479,0.193301,218.625
-581.052,0.852751,0.061173,6,63,0,589.622,4243.38,0.299144,0.200782,0.236118,0.344195,0.287817,0.37324,197.872
-585.022,0.970328,0.061173,6,63,0,586.693,4308.93,0.286176,0.157446,0.276725,0.29669,0.340019,0.309852,194.492
-579.383,0.999846,0.061173,6,63,0,588.611,4620.04,0.329457,0.127176,0.203343,0.36488,0.0724569,0.198917,182.611
-579.442,0.995183,0.061173,6,127,0,585.765,4097.24,0.331176,0.203154,0.240548,0.442469,0.205312,0.32842,178.849
-579.683,0.999931,0.061173,6,63,0,581.939,4072.17,0.334911,0.181087,0.245226,0.492575,0.202892,0.297156,190.503
-579.683,0.959598,0.061173,6,63,0,582.833,4476.24,0.318529,0.166125,0.248555,0.292516,0.1364,0.281804,202.567
-581.23,0.984361,0.061173,6,63,0,582.604,4251.93,0.335559,0.141515,0.230362,0.463073,0.201384,0.229308,169.379
-581.701,0.967304,0.061173,6,63,0,586.212,4530.05,0.305426,0.169174,0.255644,0.322926,0.0930813,0.267904,214.214
-581.954,0.979405,0.061173,6,63,0,585.325,4310.59,0.320457,0.162688,0.204699,0.393528,0.278182,0.291576,172.286
-586.683,0.998044,0.061173,6,63,0,591.104,4807.29,0.303078,0.181706,0.208554,0.301654,0.0364401,0.0952202,229.804
-582.94,0.806345,0.061173,6,63,0,592.159,4292.5,0.327683,0.125181,0.221748,0.374791,0.275995,0.346615,169.336
-582.624,0.999834,0.061173,6,63,0,587.015,4663.74,0.320043,0.165366,0.223384,0.365474,0.0238318,0.100563,205.947
-581.369,0.977614,0.061173,6,63,0,586.036,4232.02,0.336256,0.166423,0.224392,0.329217,0.252721,0.406809,182.344
-581.814,1,0.061173,6,63,0,586.475,4091.53,0.32875,0.18271,0.307056,0.485509,0.116801,0.238817,216.093
-579.763,0.998817,0.061173,6,63,0,583.083,4460.24,0.31978,0.150284,0.182034,0.358386,0.197935,0.338137,175.258
-584.417,0.865572,0.061173,6,63,0,587.545,4623.22,0.314236,0.134286,0.260758,0.323302,0.105716,0.137721,163.117
-582.19,0.99601,0.061173,5,31,0,586.305,4596.04,0.31818,0.130477,0.23224,0.337175,0.100593,0.24609,165.9
-581.186,0.997251,0.061173,6,63,0,586.635,4176.28,0.308027,0.196016,0.213002,0.450441,0.243659,0.351877,210.991
-581.734,0.990878,0.061173,6,63,0,583.581,4173.2,0.308834,0.168607,0.231089,0.460629,0.279633,0.295404,208.183
-582.24,0.986978,0.061173,5,31,0,583.698,4113.64,0.315742,0.183554,0.233616,0.444168,0.30979,0.265625,203.719
-580.102,0.999897,0.061173,6,63,0,583.796,4444.44,0.339639,0.145161,0.245911,0.384467,0.0500217,0.253038,184.66
-578.838,0.997449,0.061173,6,63,0,583.445,4482.81,0.316323,0.161466,0.202981,0.36557,0.217716,0.18341,194.707
-580.487,0.862319,0.061173,5,63,0,583.591,4423.75,0.330561,0.133503,0.23349,0.357616,0.181844,0.300124,188.044
-579.098,0.933818,0.061173,6,71,0,584.008,4181.71,0.331546,0.16902,0.273664,0.418217,0.167441,0.324468,185.526
-578.174,0.999957,0.061173,6,127,0,580.628,4462.01,0.331033,0.17033,0.200245,0.374309,0.123045,0.241044,182.409
-579.609,0.878993,0.061173,5,31,0,580.954,4442.37,0.336137,0.18467,0.193852,0.357323,0.145159,0.215636,177.541
-581.536,0.996317,0.061173,5,31,0,584.222,4441.18,0.348954,0.167383,0.197666,0.358155,0.165123,0.153018,171.353
-580.341,0.942813,0.061173,6,63,0,584.808,4597.27,0.314381,0.10965,0.251743,0.302551,0.160191,0.172276,202.301
