# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ovsx1cz0.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121524_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0729319
# Diagonal elements of inverse mass matrix:
# 2445.28, 3.80379e-005, 0.000130574, 0.000150671, 0.000361067, 0.000470785, 0.000849642, 0.000508928
-5822.36,0.998794,0.0729319,5,31,0,5824.12,4983.93,0.308557,0.0468905,0.190602,0.233741,0.187749,0.0967352,195.607
-5822.28,0.999731,0.0729319,6,63,0,5828.03,5104.68,0.304809,0.0362189,0.176049,0.247218,0.0857784,0.125636,206.588
-5820.9,0.98956,0.0729319,6,63,0,5824.6,4956.4,0.314298,0.0545684,0.181175,0.240242,0.183517,0.128744,202.467
-5819.61,0.996986,0.0729319,5,31,0,5822.71,4945.32,0.311174,0.0509479,0.195875,0.25244,0.158903,0.136693,198.753
-5820.58,0.97262,0.0729319,6,63,0,5822.78,5127.67,0.30322,0.0393392,0.171585,0.232975,0.120359,0.0794126,207.77
-5819.64,0.996921,0.0729319,6,63,0,5822.9,5087.84,0.302778,0.0316639,0.175104,0.245346,0.132969,0.125103,199.211
-5820.23,0.987095,0.0729319,6,63,0,5822.18,5094.57,0.307858,0.0474726,0.164102,0.236729,0.122989,0.124598,201.529
-5820.62,0.995797,0.0729319,6,63,0,5822.59,4976.16,0.303816,0.0384246,0.199107,0.273941,0.159996,0.0942798,206.13
-5818.24,0.894669,0.0729319,5,31,0,5822.46,4978.01,0.306994,0.0458997,0.189302,0.263143,0.148608,0.129699,204.702
-5821.68,0.994976,0.0729319,5,47,0,5823.31,5070.3,0.305369,0.0630229,0.193852,0.208484,0.120021,0.10175,207.293
-5821.19,0.999435,0.0729319,6,63,0,5824.12,4995.75,0.30605,0.0249104,0.183306,0.277989,0.149858,0.133396,200.57
