# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ovsx1cz0.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121524_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.072928
# Diagonal elements of inverse mass matrix:
# 2012.08, 3.84139e-005, 0.000100611, 0.000137044, 0.000327015, 0.000400529, 0.00076354, 0.000447112
-5819.19,0.969019,0.072928,5,63,0,5827,4963.38,0.305936,0.04699,0.186867,0.259705,0.158509,0.147219,201.398
-5818.62,0.957548,0.072928,6,63,0,5822.5,5007.13,0.313537,0.054209,0.180584,0.252593,0.136277,0.096985,205.894
-5822.42,0.9927,0.072928,5,63,0,5825.18,5099.16,0.304783,0.0583053,0.165283,0.249193,0.0917682,0.110949,202.866
-5819.67,0.993178,0.072928,5,31,0,5823.54,5071.76,0.302057,0.0495808,0.176565,0.256047,0.106183,0.113786,202.966
-5820.34,0.933767,0.072928,6,63,0,5822.69,5035.81,0.309016,0.0585902,0.190481,0.215534,0.155832,0.0971381,202.36
-5820.01,0.977597,0.072928,6,63,0,5822.25,5054.26,0.305239,0.0333976,0.178919,0.273027,0.127241,0.0935968,203.829
-5822.91,0.995651,0.072928,6,63,0,5829.14,5084.35,0.305114,0.0289887,0.194463,0.20204,0.132837,0.155446,199.257
-5822.71,0.912029,0.072928,6,63,0,5827.22,5095.22,0.305454,0.042122,0.165543,0.256278,0.136677,0.0481546,204.371
-5822.08,0.795107,0.072928,3,7,0,5826.81,5101.4,0.305481,0.0423535,0.166611,0.258687,0.138804,0.0495413,204.528
-5822.44,0.972399,0.072928,6,63,0,5826.37,4976.54,0.307647,0.0484073,0.172763,0.259649,0.139764,0.18794,201.582
-5823.92,0.999836,0.072928,5,63,0,5825.87,5001.78,0.301938,0.0436788,0.174953,0.268819,0.126371,0.195935,204.634
-5825.45,0.978655,0.072928,6,63,0,5830.38,4956.52,0.316028,0.0542072,0.204748,0.236033,0.18514,0.0532238,199.252
-5822.5,0.995083,0.072928,5,31,0,5828.38,4969.89,0.30928,0.0502083,0.215692,0.22988,0.163822,0.0878233,204.116
-5819.26,0.999239,0.072928,5,63,0,5824.08,5008.52,0.307655,0.0491523,0.203469,0.225434,0.14594,0.105116,202.582
-5818.83,0.997764,0.072928,6,63,0,5821.43,5031.83,0.309063,0.0494358,0.171611,0.258975,0.125865,0.128895,202.012
-5819.82,0.937274,0.072928,6,63,0,5825.52,5036.22,0.306828,0.0472093,0.171533,0.258431,0.120384,0.128435,201.591
-5819.28,0.998836,0.072928,6,63,0,5821.45,5002.35,0.315448,0.0518152,0.179253,0.2399,0.1475,0.105769,202.657
-5819.94,0.99936,0.072928,6,63,0,5822.71,5054.27,0.304511,0.0421628,0.181149,0.216439,0.160199,0.129061,207.129
-5819.8,0.999793,0.072928,6,63,0,5822.73,5104.24,0.309364,0.0396649,0.1761,0.234859,0.106903,0.0890041,202.504
-5820.4,0.990433,0.072928,6,63,0,5822.37,4964.71,0.303541,0.0490532,0.184738,0.262388,0.1697,0.150468,205.184
-5821.84,0.981869,0.072928,5,31,0,5823.19,4939.26,0.301908,0.0519943,0.18522,0.269715,0.169764,0.155281,204.971
-5819.02,0.887876,0.072928,6,63,0,5827.5,5063.37,0.310764,0.0424532,0.188943,0.215383,0.138572,0.095218,204.111
-5820.49,0.999783,0.072928,6,63,0,5821.87,5007.07,0.300179,0.0604025,0.17694,0.255391,0.154412,0.131844,197.66
-5820.84,0.852093,0.072928,6,63,0,5824.8,5106.17,0.309734,0.0320414,0.18653,0.2087,0.131855,0.0856482,205.256
-5819.8,0.999415,0.072928,5,63,0,5827.48,5047.25,0.313796,0.0274115,0.189229,0.232736,0.135913,0.103315,202.982
-5819.22,0.999692,0.072928,6,63,0,5820.99,5063.22,0.299124,0.0513187,0.187225,0.247978,0.132263,0.0889643,202.219
-5819.65,0.999535,0.072928,6,63,0,5821.62,5065.61,0.313806,0.0324427,0.174256,0.226651,0.147779,0.108452,201.631
-5820.71,0.982429,0.072928,6,63,0,5823.32,4984.48,0.307475,0.0539738,0.185125,0.278517,0.135553,0.0796294,203.415
-5820.02,0.99996,0.072928,6,63,0,5823.63,5052.54,0.309769,0.0430093,0.170428,0.220817,0.158753,0.130814,200.792
-5820.26,0.994895,0.072928,6,63,0,5821.92,5064.75,0.300711,0.0451046,0.185468,0.258222,0.119088,0.0759369,202.072
-5821.93,0.980099,0.072928,5,31,0,5822.53,5081.32,0.300316,0.0406881,0.188471,0.255457,0.109391,0.0690623,201.467
-5821.08,0.99868,0.072928,5,63,0,5825.61,5056.02,0.306027,0.0451305,0.162237,0.22908,0.169058,0.141255,206.114
-5818.39,0.958405,0.072928,5,31,0,5822.36,5069,0.309942,0.0446427,0.180269,0.232301,0.140943,0.0895413,201.962
-5819.73,0.986684,0.072928,5,31,0,5820.64,5054.65,0.306963,0.0389628,0.20013,0.220388,0.133017,0.0939835,203.99
-5821.56,0.999774,0.072928,6,63,0,5823.69,5047.27,0.306969,0.0320664,0.18868,0.224651,0.137156,0.163349,210.258
-5820.5,0.896531,0.072928,6,63,0,5825.24,4992.41,0.315279,0.0459631,0.183706,0.262571,0.151566,0.0672405,200.176
-5818.9,0.983729,0.072928,6,63,0,5825.68,5070.93,0.30646,0.0428341,0.176782,0.228658,0.123779,0.139256,205.55
-5820.78,0.989963,0.072928,6,63,0,5824.42,5089.41,0.301587,0.0515606,0.169466,0.239322,0.158027,0.0668865,199.777
-5822.39,0.989611,0.072928,6,63,0,5825.51,5059.89,0.315069,0.0489917,0.172232,0.22612,0.12837,0.111793,214.238
-5823.33,0.999297,0.072928,6,63,0,5825.59,4970.66,0.301807,0.0391339,0.205007,0.277559,0.14371,0.110249,194.322
-5824.96,0.93954,0.072928,6,63,0,5830.26,4905.67,0.317518,0.0641424,0.198092,0.273248,0.162409,0.0884483,210.122
-5821.2,0.968425,0.072928,6,63,0,5829.92,5042.03,0.302195,0.0560967,0.169116,0.273363,0.114476,0.115489,201.892
-5822.22,0.983434,0.072928,6,63,0,5824.76,4958.66,0.313289,0.0359477,0.20646,0.230866,0.177054,0.116003,204.278
-5821.13,0.932966,0.072928,5,31,0,5824.26,4957.49,0.313882,0.0344635,0.205193,0.240007,0.158502,0.130242,204.601
-5821.1,0.930546,0.072928,6,63,0,5825.94,5016.81,0.310476,0.0376044,0.169942,0.258079,0.15584,0.140321,195.978
-5822.88,0.924061,0.072928,5,63,0,5826.01,5033.1,0.3078,0.0390551,0.164412,0.251301,0.154337,0.130592,194.631
-5818.44,0.999452,0.072928,5,31,0,5823.86,5033.05,0.305473,0.0360486,0.188206,0.252593,0.142868,0.116842,205.16
-5819.94,0.986373,0.072928,5,31,0,5820.83,5064.32,0.308119,0.0323678,0.174411,0.257154,0.150432,0.0859267,203.867
-5819.52,0.983934,0.072928,6,63,0,5822.31,5006.49,0.308943,0.0603211,0.193458,0.227522,0.131215,0.135133,201.925
-5818.19,0.988437,0.072928,5,63,0,5821.36,4984.16,0.312652,0.0504834,0.186255,0.251112,0.150244,0.110226,199.429
-5820.88,0.998887,0.072928,6,63,0,5823.25,5104,0.303053,0.0401299,0.192636,0.229114,0.124368,0.0605113,197.415
-5822.31,0.998191,0.072928,5,63,0,5824.85,5039.07,0.308078,0.0542121,0.153944,0.242341,0.156635,0.153184,203.594
-5822.39,0.970644,0.072928,5,63,0,5825.66,5007.25,0.309633,0.0446683,0.163154,0.241901,0.168139,0.172506,201.439
-5823.32,0.941503,0.072928,6,63,0,5828.91,5013.66,0.303041,0.0227557,0.177188,0.280177,0.155741,0.120824,199.168
-5821.18,1,0.072928,6,63,0,5826.02,4974.9,0.31278,0.0569057,0.204712,0.225948,0.151488,0.098875,199.969
-5821.24,1,0.072928,6,63,0,5824.1,5109.78,0.301622,0.0421495,0.162231,0.25601,0.112796,0.1057,201.134
-5821.32,0.869769,0.072928,5,31,0,5823.53,5111.32,0.301138,0.0432548,0.161964,0.25636,0.116176,0.104232,200.37
-5818.55,0.999836,0.072928,6,63,0,5823.64,5062.49,0.301612,0.0464406,0.180934,0.232382,0.143262,0.11709,207.726
-5819.41,0.836564,0.072928,6,63,0,5824.37,5017.78,0.315294,0.0461896,0.172207,0.243528,0.144912,0.134237,200.597
-5823.78,0.991313,0.072928,5,31,0,5826.72,5017.89,0.300768,0.0567203,0.179498,0.24136,0.145857,0.162322,191.937
-5819.12,0.999668,0.072928,5,31,0,5826.32,4974.72,0.306992,0.0403941,0.196038,0.248573,0.156324,0.147731,201.081
-5818.89,0.997044,0.072928,6,63,0,5822.92,5043.48,0.309643,0.0540115,0.17865,0.249496,0.131609,0.078359,206.752
-5819.83,0.995111,0.072928,6,63,0,5822.09,5039.78,0.317642,0.0387932,0.176019,0.233496,0.14064,0.110732,207.056
