# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\jkxkdcs5.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121404_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0651538
# Diagonal elements of inverse mass matrix:
# 11898, 0.000195575, 0.0006287, 0.000564365, 0.00182532, 0.00239633, 0.00383419, 0.00312332
-1174.05,0.999344,0.0651538,6,63,0,1179.19,4733.07,0.336413,0.0913878,0.160573,0.288232,0.213692,0.182961,207.035
-1171.52,0.999239,0.0651538,6,63,0,1175.05,4807.96,0.330322,0.076229,0.15211,0.294039,0.230615,0.168082,200.941
-1173.14,0.976809,0.0651538,5,31,0,1174.12,4814.66,0.329137,0.0708517,0.148161,0.283262,0.270745,0.159559,197.507
-1174.62,0.999352,0.0651538,6,63,0,1177.44,5229.78,0.311529,-0.0120532,0.177533,0.206745,0.0770157,0.156333,214.504
-1173.12,0.999186,0.0651538,6,63,0,1178.83,4750.28,0.333726,0.0644075,0.139439,0.312121,0.235054,0.237566,196.867
-1172.2,0.999964,0.0651538,6,63,0,1177.4,4796,0.326127,0.0270752,0.166556,0.292908,0.231368,0.284027,197.316
-1175.48,0.866438,0.0651538,6,63,0,1178.01,5003.96,0.327989,0.0858767,0.146727,0.27319,0.0943911,0.150301,220.134
-1177,0.932462,0.0651538,6,63,0,1182.99,5162.23,0.317311,0.036878,0.158264,0.230736,0.0678818,0.186563,193.522
-1176.03,0.999374,0.0651538,6,63,0,1179.24,5135.05,0.314043,0.0290913,0.15543,0.213046,0.0832694,0.16341,190.631
-1176.26,0.997872,0.0651538,6,63,0,1179.49,4837.67,0.331178,0.0298354,0.175967,0.314896,0.200492,0.210224,229.489
-1177.63,0.942188,0.0651538,5,63,0,1180.37,4866.12,0.333428,0.0144958,0.182675,0.313065,0.176667,0.211424,234.092
-1173.17,0.988567,0.0651538,6,63,0,1180.14,5020.92,0.313542,0.0644157,0.125564,0.276333,0.162299,0.13923,185.236
-1175.72,0.924818,0.0651538,6,63,0,1178.95,5121.48,0.314523,0.0386226,0.177309,0.176903,0.126839,0.203003,231.977
-1173.99,0.936119,0.0651538,5,63,0,1181.47,4916.08,0.332657,0.0791112,0.183526,0.199746,0.177346,0.142234,218.609
-1175.03,0.997728,0.0651538,6,63,0,1179.74,4663.74,0.313286,0.0977073,0.174738,0.356142,0.221373,0.226592,207.28
-1170.89,0.999975,0.0651538,6,63,0,1177.53,5022.91,0.32527,0.00814452,0.182413,0.258532,0.135025,0.136462,207.48
-1170.93,0.99942,0.0651538,5,63,0,1173.84,5002.99,0.312871,0.0431407,0.139734,0.27078,0.221744,0.119015,211.603
-1169.89,0.999996,0.0651538,6,63,0,1171.82,4980.08,0.315353,0.0452726,0.172016,0.275167,0.121276,0.168156,198.642
-1173.65,0.831647,0.0651538,6,63,0,1175.25,4873.55,0.301787,0.036174,0.169452,0.307281,0.171723,0.238518,212.095
-1171.76,0.964228,0.0651538,6,63,0,1176.55,4972.87,0.343132,0.0419801,0.157302,0.240223,0.164791,0.106214,212.075
-1171.22,0.996331,0.0651538,6,63,0,1174.9,5060.49,0.303218,0.0446991,0.156189,0.271892,0.147372,0.109854,194.324
-1171.11,0.977734,0.0651538,6,63,0,1173.41,4877.8,0.332301,0.0276984,0.171893,0.247149,0.192635,0.240236,215.935
-1172.9,0.997848,0.0651538,5,63,0,1174.39,4846.33,0.320331,0.0172615,0.187084,0.251219,0.223281,0.269882,221.45
-1171.86,0.999761,0.0651538,6,63,0,1175.92,4926.27,0.33181,0.0335255,0.120115,0.329642,0.196728,0.151283,200.729
-1171.68,0.998671,0.0651538,6,63,0,1173.62,4884.61,0.330568,0.0389938,0.131502,0.303239,0.241094,0.166171,213.861
-1171.2,0.967022,0.0651538,6,63,0,1174.04,4922.87,0.310775,0.0493928,0.190116,0.262448,0.153421,0.220557,194.444
-1170.32,0.806351,0.0651538,6,63,0,1177.23,5053.33,0.300048,0.0400141,0.163056,0.258602,0.141953,0.172694,203.408
-1170.81,0.996487,0.0651538,6,63,0,1172.62,4980.61,0.310932,0.0525999,0.134361,0.303659,0.188921,0.137483,206.644
-1171.28,0.929638,0.0651538,6,63,0,1174.29,4904.82,0.31909,0.0345987,0.209063,0.25587,0.169272,0.146489,207.57
-1171.53,0.945452,0.0651538,6,63,0,1174.65,5054.82,0.32563,0.0414249,0.101353,0.274144,0.16394,0.179754,202.335
-1170.12,0.984292,0.0651538,5,63,0,1173.8,4877.5,0.326899,0.0544164,0.151194,0.281707,0.181033,0.206329,195.093
-1174.37,0.994854,0.0651538,6,63,0,1175.92,4677.13,0.324264,0.0683672,0.167934,0.394092,0.188563,0.187481,213.834
-1172.54,0.89391,0.0651538,6,63,0,1178.64,4917.46,0.310436,0.0327795,0.16467,0.298565,0.149253,0.211229,220.042
-1171.35,0.998264,0.0651538,6,63,0,1176.57,5039.17,0.315833,0.0530433,0.181802,0.194497,0.153128,0.153855,199.967
-1171.3,0.991939,0.0651538,6,63,0,1173.74,5013.41,0.324873,0.0123955,0.119345,0.306301,0.148392,0.203427,208.555
-1172.34,0.996497,0.0651538,6,63,0,1174.63,4871.63,0.327861,0.0415994,0.211817,0.248078,0.19497,0.11767,208.617
-1175.7,0.984209,0.0651538,5,31,0,1180.5,4823.85,0.327705,0.00953782,0.217192,0.294645,0.186901,0.147769,188.563
-1176.59,0.964254,0.0651538,6,63,0,1182.18,4981.88,0.313102,0.0800901,0.121435,0.338181,0.0875091,0.162478,229.923
-1170.67,0.947189,0.0651538,6,63,0,1179.46,5005.9,0.310629,0.0279489,0.140629,0.247161,0.185898,0.250676,205.719
-1173.93,0.984961,0.0651538,5,31,0,1176.38,4926.02,0.340955,0.0358338,0.186336,0.242555,0.202664,0.0871958,194.037
-1173.32,1,0.0651538,6,63,0,1177.01,4871.41,0.329543,0.0389078,0.20497,0.28631,0.181182,0.0587065,204.507
-1171.04,0.982943,0.0651538,5,31,0,1174.69,4903.1,0.326026,0.0369173,0.180043,0.27706,0.218444,0.10947,208.419
-1169.53,0.986647,0.0651538,5,63,0,1172.02,5018.8,0.319519,0.0314125,0.152918,0.260869,0.159549,0.145566,209.991
-1173.86,0.951448,0.0651538,5,31,0,1175.56,4823.52,0.308623,0.045355,0.181845,0.316599,0.203747,0.226438,185.028
-1175.69,0.953436,0.0651538,6,63,0,1179.25,4870.23,0.349029,0.0661649,0.156977,0.284442,0.171578,0.0775551,232.827
-1174.93,0.992878,0.0651538,5,63,0,1181.83,5146.81,0.32972,0.0535459,0.145818,0.188536,0.124501,0.0859235,228.258
-1173.74,0.986576,0.0651538,6,63,0,1177.43,4928.86,0.306519,0.00930871,0.14958,0.318279,0.192698,0.248942,189.193
-1173.62,0.999576,0.0651538,6,63,0,1175.79,4914.54,0.30798,0.00794751,0.153803,0.318754,0.211098,0.233562,189.872
-1171.42,0.965669,0.0651538,5,31,0,1175.31,4915.46,0.310818,0.028843,0.14947,0.279635,0.227399,0.226194,195.554
-1173.71,0.989914,0.0651538,6,63,0,1176.21,4899.65,0.290486,0.0570021,0.165802,0.279074,0.202226,0.261344,212.37
-1173.06,0.988735,0.0651538,6,63,0,1176.75,5008.82,0.342339,0.0324033,0.161865,0.280852,0.0776626,0.118333,205.826
-1171.71,0.997547,0.0651538,6,63,0,1174.48,4961.82,0.316987,0.0343944,0.123659,0.28218,0.238186,0.182442,212.555
-1173.1,0.899368,0.0651538,6,63,0,1175.28,4978.51,0.31376,0.0373832,0.181474,0.267768,0.133562,0.214868,188.67
-1175.01,0.924858,0.0651538,5,31,0,1178.43,5018.24,0.323395,0.03451,0.148289,0.26311,0.174478,0.182294,183.441
-1173.63,0.997225,0.0651538,6,63,0,1179.34,4955.18,0.316447,0.026134,0.163775,0.308188,0.154665,0.211236,222.806
