# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\jkxkdcs5.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121404_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0680526
# Diagonal elements of inverse mass matrix:
# 13372.7, 0.000168405, 0.000519509, 0.000681529, 0.00159573, 0.00233857, 0.00379098, 0.00262761
-1174.33,0.974509,0.0680526,5,31,0,1177.03,4820.73,0.312593,0.0603366,0.173351,0.346901,0.123303,0.259778,194.548
-1173.79,0.999831,0.0680526,6,63,0,1176.83,4985.22,0.334408,0.0272831,0.143615,0.218594,0.250864,0.11492,219.454
-1175.07,0.86901,0.0680526,6,63,0,1178.55,5080.14,0.301692,0.0419606,0.166786,0.276872,0.0778341,0.208618,191.554
-1179.39,0.939414,0.0680526,6,63,0,1184.21,5083.69,0.310836,-0.00931568,0.185238,0.141614,0.243535,0.25253,233.185
-1172.82,0.999996,0.0680526,6,63,0,1182.86,4987.67,0.297102,0.00210323,0.197364,0.283097,0.154993,0.205242,207.886
-1172.51,0.996848,0.0680526,6,63,0,1174.92,4928.79,0.34722,0.0655522,0.151688,0.267792,0.134835,0.118453,208.907
-1173.49,0.821541,0.0680526,6,63,0,1178.97,4959.5,0.303394,0.0122991,0.157582,0.282243,0.188456,0.220198,207.485
-1173.37,0.999896,0.0680526,6,63,0,1177.04,5112.97,0.338097,0.0422978,0.147182,0.21106,0.110781,0.141146,205.544
-1173.36,0.992861,0.0680526,5,63,0,1176.89,5026.43,0.321466,-0.0143569,0.138699,0.262792,0.224222,0.16486,206.111
-1170.91,0.898351,0.0680526,6,63,0,1177.67,4871.66,0.320949,0.0186536,0.161857,0.304812,0.172292,0.263518,198.051
-1170.27,0.991671,0.0680526,6,63,0,1172.21,5088.3,0.326377,0.0269337,0.148812,0.233514,0.151245,0.105691,205.434
-1171.81,0.87912,0.0680526,5,63,0,1177.11,5111.86,0.315034,0.0486856,0.146735,0.20172,0.129368,0.160678,211.778
-1172.51,0.999432,0.0680526,6,63,0,1178.29,4743.45,0.342164,0.0488607,0.145334,0.349089,0.202029,0.205692,202.386
-1171.43,0.998664,0.0680526,6,63,0,1175.98,5122.78,0.301832,0.0242406,0.172135,0.199095,0.145548,0.204033,208.097
-1171.74,0.950576,0.0680526,6,63,0,1175.86,5008.08,0.321127,0.0185883,0.181757,0.279601,0.140436,0.10296,191.947
-1174.09,0.987784,0.0680526,6,63,0,1176.12,4784.07,0.32242,0.0761719,0.172117,0.242804,0.243619,0.283746,219.753
-1174.05,0.999184,0.0680526,6,63,0,1178.3,4784.79,0.319084,0.0239608,0.177591,0.379712,0.208093,0.148304,202.032
-1174.88,0.955038,0.0680526,6,63,0,1178.05,5153.98,0.313168,0.0620678,0.152233,0.142698,0.140185,0.176537,202.002
-1172.08,0.929283,0.0680526,6,63,0,1180.13,5105.5,0.332786,0.0481541,0.131686,0.216727,0.114179,0.182372,199.836
-1173.42,0.926752,0.0680526,6,63,0,1176.32,5037.59,0.343533,0.0134074,0.11921,0.272388,0.146818,0.207771,208.101
-1171.41,1,0.0680526,6,63,0,1175.71,5098.49,0.329888,0.0311371,0.148555,0.209257,0.157676,0.0981126,202.071
-1178.03,0.797806,0.0680526,5,31,0,1183.62,4994.49,0.323951,0.0563651,0.119051,0.254507,0.205829,0.123552,178.459
-1178.34,0.952575,0.0680526,6,63,0,1181.72,5024.11,0.312269,0.0565983,0.123946,0.249151,0.186026,0.147848,179.591
-1173.86,0.992559,0.0680526,5,31,0,1182.69,4884.08,0.334831,0.0534358,0.162092,0.283197,0.171343,0.119705,183.5
-1171.48,1,0.0680526,6,63,0,1175.82,4920.52,0.312347,0.0714837,0.146918,0.285966,0.205397,0.130312,214.902
-1173.18,0.949491,0.0680526,6,63,0,1175.53,5039.96,0.330266,2.62835e-005,0.176261,0.230808,0.0960599,0.212264,200.461
-1173.21,0.999667,0.0680526,6,63,0,1178.87,4764.32,0.329932,0.0420755,0.163089,0.35891,0.234438,0.147069,200.01
-1171.53,0.996797,0.0680526,6,63,0,1179.96,5000.92,0.312863,0.0444399,0.175916,0.215371,0.130162,0.262643,196.184
-1173.6,0.979228,0.0680526,5,31,0,1176.98,5079.76,0.326517,0.0284939,0.119733,0.219947,0.123035,0.305672,195.12
-1174.8,0.912318,0.0680526,6,63,0,1177.73,5022.47,0.313369,-0.00269883,0.183321,0.287558,0.184105,0.0650913,226.975
-1174.77,0.990703,0.0680526,6,63,0,1181.58,4976.78,0.334122,0.0199638,0.146639,0.281656,0.1676,0.134214,176.459
-1171.24,0.727277,0.0680526,6,63,0,1180.7,4924.38,0.310405,0.0182945,0.188729,0.284972,0.159346,0.232355,195.332
-1171.87,0.997347,0.0680526,5,31,0,1173.44,4900.39,0.308071,0.0123478,0.19244,0.278292,0.189243,0.235412,194.949
-1171.77,0.999817,0.0680526,6,63,0,1175.13,5149.31,0.314178,0.051349,0.135028,0.223626,0.147415,0.0951241,214.605
-1173.4,0.903585,0.0680526,6,63,0,1177.14,5022.45,0.305245,0.0895837,0.156116,0.214682,0.145718,0.173374,208.485
-1173.41,0.983759,0.0680526,6,63,0,1177.37,4831.77,0.338334,-0.00753353,0.166278,0.325538,0.204137,0.204197,199.807
-1172.87,0.934252,0.0680526,6,63,0,1176.38,5151.84,0.308265,0.0629466,0.134957,0.204479,0.103224,0.179837,210.797
-1175.17,0.86534,0.0680526,6,63,0,1178.68,5074.45,0.322244,-0.0185332,0.161047,0.233022,0.178211,0.136673,198.095
-1173.39,0.994451,0.0680526,6,63,0,1179.37,4977.05,0.328054,0.039214,0.150014,0.263297,0.164913,0.110171,222.912
-1173.34,0.96935,0.0680526,6,63,0,1181.33,4929.58,0.316055,0.0347327,0.150776,0.225882,0.186973,0.346849,209.884
-1172.44,0.986323,0.0680526,6,63,0,1176.04,4977.34,0.306674,0.0491166,0.200213,0.252645,0.192202,0.0814639,206.626
-1170.59,0.939796,0.0680526,5,63,0,1175.17,5029.54,0.318261,0.0195181,0.153725,0.257057,0.187839,0.179251,202.828
-1169.9,0.993973,0.0680526,5,47,0,1173.32,5007.11,0.318459,0.0243501,0.143016,0.268752,0.187802,0.158547,196.133
-1172.07,0.877433,0.0680526,5,47,0,1174.72,4933.98,0.306517,0.0401121,0.162811,0.283023,0.203574,0.208525,187.031
-1171.37,0.984917,0.0680526,6,63,0,1175.58,4863.22,0.318488,0.0254946,0.171291,0.322414,0.160008,0.207128,194.737
-1173.69,0.94819,0.0680526,5,63,0,1178.16,4985.75,0.345845,0.0706134,0.118232,0.250371,0.183041,0.110675,212.411
-1174.98,0.976535,0.0680526,5,63,0,1177.29,5022.86,0.326765,0.0770978,0.126157,0.242971,0.212042,0.0819369,226.094
-1173.31,0.996011,0.0680526,6,63,0,1177.29,4849.36,0.317803,0.0200182,0.198222,0.298908,0.143016,0.265578,189.749
-1174.71,0.946385,0.0680526,6,63,0,1177.72,4835.44,0.317715,0.0377067,0.227185,0.2512,0.153008,0.264992,197.754
-1172.64,0.917119,0.0680526,6,63,0,1177.42,5038.08,0.329808,0.0360599,0.129947,0.265103,0.134265,0.127929,218.171
-1170.91,0.996031,0.0680526,6,63,0,1176.68,4858.23,0.312868,0.0499199,0.186571,0.251906,0.212453,0.226832,197.921
-1171.34,0.988883,0.0680526,6,63,0,1174.32,4992.63,0.336202,0.0402358,0.144933,0.295001,0.123166,0.119337,213.208
-1171.01,0.979893,0.0680526,6,63,0,1173.44,4923.08,0.322846,0.0188575,0.148057,0.267503,0.224443,0.216361,195.267
-1172.11,0.925934,0.0680526,6,63,0,1177.01,5030.29,0.312961,0.0650978,0.155131,0.274705,0.101123,0.171922,213.568
-1175.53,0.960135,0.0680526,6,63,0,1177.67,5103.86,0.289899,0.0113566,0.171269,0.245943,0.100748,0.235162,217.354
-1173.25,0.996061,0.0680526,6,63,0,1178.74,5104.85,0.311353,-0.00105481,0.128792,0.280352,0.188266,0.102043,209.661
-1175.34,0.998733,0.0680526,6,63,0,1180.75,4863.94,0.345006,0.0608035,0.113469,0.279598,0.213082,0.244068,228.236
-1172.77,0.999178,0.0680526,6,63,0,1176.68,4822.31,0.309854,0.040649,0.208142,0.322529,0.181524,0.166377,197.666
-1171.89,0.999839,0.0680526,6,63,0,1174.46,4973.13,0.334695,0.037279,0.126522,0.276639,0.143313,0.244924,218.688
-1170.81,0.999006,0.0680526,5,31,0,1172.95,4953.94,0.324881,0.0508424,0.132393,0.260242,0.149179,0.26064,205.014
-1173.97,0.995687,0.0680526,6,63,0,1175.78,5089.93,0.343825,0.0329992,0.100732,0.243475,0.106185,0.206334,217.404
-1172.58,0.999855,0.0680526,4,15,0,1174.51,5090.19,0.341052,0.0275293,0.111678,0.24153,0.11626,0.198834,215.795
-1173.24,0.998226,0.0680526,6,63,0,1175.62,5067.32,0.294554,0.0380638,0.171355,0.252429,0.169473,0.1244,186.48
-1175.56,0.961502,0.0680526,5,31,0,1178.57,5077.76,0.284537,0.0536813,0.16405,0.214155,0.182769,0.214261,189.461
-1172.54,0.964102,0.0680526,5,31,0,1179.64,5112.05,0.293647,0.0493453,0.179009,0.223229,0.113534,0.174905,205.424
-1173.03,0.999638,0.0680526,6,63,0,1174.99,5038.43,0.294263,0.0581792,0.176229,0.231791,0.118688,0.22684,196.66
-1177.75,0.932713,0.0680526,6,63,0,1180.85,4924.28,0.335535,0.0119915,0.180016,0.301577,0.250359,-0.00765556,218.139
-1173.82,0.999128,0.0680526,6,63,0,1180.17,5059.24,0.317515,0.0613071,0.122608,0.220954,0.121543,0.264809,192.391
-1175.2,0.999333,0.0680526,5,31,0,1178.91,5096.91,0.316858,0.0550292,0.107957,0.228769,0.135334,0.259357,186.515
-1173.21,0.830465,0.0680526,6,63,0,1180.14,5160.67,0.317848,0.0341451,0.146405,0.204355,0.0835694,0.198386,187.273
-1172.35,0.978288,0.0680526,6,63,0,1176.37,5056.55,0.321334,0.0274647,0.108162,0.285841,0.204153,0.121215,214.193
-1176,0.998279,0.0680526,6,63,0,1179,4898.46,0.353733,0.0494858,0.157702,0.299419,0.183637,0.00685886,208.469
-1175.48,0.998083,0.0680526,6,63,0,1179.87,5068.35,0.292068,0.023779,0.151865,0.218195,0.148383,0.346152,206.228
-1175.08,0.999613,0.0680526,6,63,0,1181,4871.89,0.338722,0.0151535,0.168512,0.233439,0.173064,0.344342,225.483
-1174.94,0.999813,0.0680526,6,63,0,1178,5034.84,0.307532,0.0435355,0.172195,0.324058,0.117017,0.0220257,198.79
-1172.28,0.914679,0.0680526,5,63,0,1178.49,4874.78,0.325119,0.0381324,0.171386,0.336017,0.172733,0.0777193,200.829
-1171.42,0.999842,0.0680526,6,63,0,1176.95,4958.55,0.339411,0.0585046,0.160202,0.258045,0.148844,0.113128,203.32
-1172.17,0.984897,0.0680526,6,63,0,1174.73,5013.68,0.294052,0.032714,0.168454,0.253899,0.202557,0.212817,209.164
-1173.72,0.987011,0.0680526,6,63,0,1176.7,5011.37,0.312369,0.010262,0.149259,0.298637,0.135162,0.253645,227.232
-1174.07,0.867543,0.0680526,6,63,0,1178.85,5078.55,0.325054,0.0367066,0.157005,0.195034,0.158255,0.121462,188.668
-1171.79,1,0.0680526,6,63,0,1177.32,4963.66,0.318999,0.0482088,0.174344,0.267415,0.161046,0.123659,226.795
-1172.5,0.965809,0.0680526,6,63,0,1177.96,4799.44,0.313872,0.0577212,0.178833,0.290809,0.214338,0.246478,188.407
-1175.65,0.777906,0.0680526,6,63,0,1181.19,5084.87,0.33355,0.0255214,0.143704,0.25098,0.104527,0.0949092,232.063
-1173.15,0.999226,0.0680526,6,63,0,1178.41,5071.97,0.324349,0.0113807,0.13086,0.260402,0.161014,0.1771,231.755
-1169.65,1,0.0680526,5,31,0,1173.6,5012.84,0.317083,0.0277836,0.152291,0.240869,0.184387,0.204213,211.235
-1171.4,0.958254,0.0680526,6,63,0,1172.32,4850.23,0.316919,0.0513754,0.197028,0.285133,0.153081,0.233386,209.075
-1178.36,0.988833,0.0680526,5,31,0,1180.37,4591.08,0.326101,0.0259922,0.195667,0.375193,0.264297,0.281316,196.019
-1177.69,0.874227,0.0680526,5,31,0,1185.97,4623.15,0.321577,0.0717076,0.181421,0.408027,0.258305,0.142625,212.35
-1183.63,0.981139,0.0680526,5,31,0,1186.16,4583.61,0.312366,0.0504848,0.246818,0.430841,0.190763,0.149929,222.497
-1174.44,0.991756,0.0680526,6,63,0,1188.12,5143.03,0.33313,0.0396563,0.103127,0.17832,0.157851,0.205064,211.357
-1174.35,0.990886,0.0680526,6,63,0,1179.41,4768.11,0.307214,0.0517396,0.155813,0.336202,0.255055,0.266775,204.5
-1174.05,0.951073,0.0680526,6,63,0,1180.15,4750.38,0.319659,0.0847388,0.149924,0.299936,0.21793,0.292385,219.894
-1174.74,0.94502,0.0680526,6,63,0,1180.55,5164.85,0.308806,0.048669,0.182539,0.213213,0.0995549,0.0315222,202.41
-1173.9,0.952103,0.0680526,6,63,0,1178.07,4900.78,0.325069,0.0126754,0.128808,0.272883,0.210682,0.336113,203.147
-1172.98,0.99995,0.0680526,6,63,0,1177.82,4915.93,0.31468,0.0426659,0.200596,0.221839,0.179638,0.238086,225.186
-1172.35,0.996143,0.0680526,6,63,0,1174.03,4974.68,0.328953,0.0320429,0.127058,0.310652,0.157085,0.14503,186.744
-1174.28,0.938536,0.0680526,6,63,0,1179.36,5049.79,0.308477,0.039073,0.186463,0.182323,0.135331,0.220873,223.92
-1174.87,0.995468,0.0680526,6,63,0,1180.88,4859.83,0.315701,0.0822654,0.145022,0.325637,0.093052,0.290133,208.01
-1175.25,0.95883,0.0680526,6,63,0,1179.26,4908.03,0.327018,0.0112003,0.188321,0.26268,0.262155,0.0505727,211.412
-1172.7,0.999702,0.0680526,6,63,0,1179.66,4878.75,0.322544,0.0316107,0.140917,0.352422,0.21793,0.115363,215.192
-1169.95,0.951125,0.0680526,6,63,0,1174.15,4974.83,0.318959,0.0467994,0.142775,0.289965,0.186291,0.127184,210.051
-1170.73,0.999807,0.0680526,5,31,0,1171.26,5003.38,0.319919,0.0426647,0.156935,0.278687,0.168435,0.0832231,215.534
-1171.1,0.999932,0.0680526,6,63,0,1172.41,4944.55,0.32894,0.0478601,0.183646,0.237022,0.180927,0.111925,213.857
-1171.1,0.990972,0.0680526,5,31,0,1172.28,4987.31,0.323546,0.038617,0.177486,0.253025,0.168091,0.0912492,217.127
-1175.2,0.938756,0.0680526,5,63,0,1178.25,4928.2,0.312288,0.0971988,0.185176,0.258308,0.124607,0.16533,224.588
-1176.08,0.93366,0.0680526,6,63,0,1181.22,5135.5,0.295403,-0.0164255,0.159482,0.266838,0.14144,0.146393,210.293
-1174.5,0.976332,0.0680526,2,3,0,1176.88,5141.53,0.295522,-0.0144054,0.158912,0.269633,0.14025,0.148337,210.8
-1173.89,0.998514,0.0680526,5,31,0,1175.68,5158.27,0.296549,-0.0168849,0.158092,0.271086,0.136962,0.14785,211.117
-1171.85,0.944255,0.0680526,6,63,0,1177.35,4880.57,0.346702,0.062075,0.154789,0.261258,0.18107,0.15776,204.122
-1169.97,0.998987,0.0680526,5,63,0,1173.78,4985.04,0.307274,0.0250323,0.159468,0.273841,0.168938,0.210283,206.616
-1174.2,0.956367,0.0680526,5,63,0,1176.49,5108.4,0.338193,0.0214504,0.0976573,0.226233,0.142407,0.258187,199.624
-1175.49,0.910358,0.0680526,6,63,0,1180.57,5081.13,0.324969,0.0651706,0.12262,0.274188,0.113416,0.0427091,215.93
-1174.25,0.981596,0.0680526,6,63,0,1179.18,4995.58,0.345994,0.023715,0.14523,0.21873,0.132731,0.204095,203.063
-1172.83,0.999776,0.0680526,6,63,0,1179.6,4950.95,0.316126,0.0503758,0.176847,0.224444,0.194479,0.244105,209.168
-1172.97,0.996963,0.0680526,6,63,0,1175.08,5048.36,0.322296,0.0218034,0.134453,0.295087,0.183472,0.117377,214.566
-1173.8,0.995457,0.0680526,6,63,0,1175.36,5113.51,0.333238,0.040329,0.144578,0.194578,0.131746,0.192853,200.774
-1173.64,0.999844,0.0680526,6,63,0,1176.73,4975.53,0.322139,-0.00142361,0.188687,0.228751,0.188352,0.164301,208.133
-1171.55,0.984893,0.0680526,6,63,0,1175.87,5032.58,0.306999,0.0108971,0.187446,0.246945,0.184617,0.152775,198.041
-1173.44,0.994855,0.0680526,5,63,0,1175.05,4929.57,0.315162,0.000253043,0.206883,0.255391,0.208798,0.139425,202.956
-1171.31,0.918774,0.0680526,6,63,0,1176.68,5057.09,0.316722,0.0393613,0.142877,0.253045,0.0863011,0.25694,204.86
-1172.16,0.959508,0.0680526,6,63,0,1176.2,5046.62,0.335606,0.00163865,0.13403,0.248251,0.1965,0.122704,203.107
