# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\k53xgkjs.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121411_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0705949
# Diagonal elements of inverse mass matrix:
# 8582.82, 0.000124415, 0.000454042, 0.000464147, 0.00118959, 0.00142298, 0.00280358, 0.00163052
-1760.05,0.99976,0.0705949,5,31,0,1768.24,5010.93,0.304191,0.0024809,0.165675,0.301068,0.218371,0.0796365,215.177
-1761.08,0.997386,0.0705949,6,63,0,1764.21,5078.64,0.294164,-0.018206,0.154079,0.292104,0.214941,0.129426,206.989
-1760.48,0.973182,0.0705949,5,63,0,1764.59,5063.54,0.295092,-0.016153,0.175118,0.282754,0.237386,0.054968,208.527
-1761.11,0.980364,0.0705949,6,63,0,1763.63,5030.47,0.298794,0.048129,0.160338,0.27547,0.176699,0.120282,216.323
-1760.15,0.998834,0.0705949,6,63,0,1762.1,4976.7,0.292964,0.0291466,0.172278,0.298643,0.215831,0.130788,217.82
-1760.67,0.985061,0.0705949,5,63,0,1763.09,4914.44,0.292701,0.0390683,0.195995,0.314412,0.209522,0.0843798,204.015
-1762.93,0.908441,0.0705949,6,63,0,1765.56,4921.79,0.298532,0.0290123,0.209701,0.288253,0.238144,0.0384626,228.668
-1760.98,0.982007,0.0705949,6,63,0,1766.33,4976.87,0.282234,0.0325811,0.174456,0.283734,0.235698,0.139569,219.551
-1761.28,0.982068,0.0705949,6,63,0,1763.59,4988.82,0.287328,0.0183245,0.164029,0.294187,0.238772,0.143601,224.5
-1763.69,0.999252,0.0705949,6,63,0,1767.07,4912.73,0.319869,0.040516,0.172482,0.262018,0.265135,0.0593312,204.207
-1759.67,0.993841,0.0705949,5,63,0,1765.26,5011.34,0.298624,0.00925594,0.189809,0.279206,0.203423,0.0912112,217.549
-1760.06,0.96197,0.0705949,6,63,0,1761.42,5006.53,0.290886,0.0328462,0.152256,0.3107,0.212654,0.119017,209.335
-1762.41,0.748254,0.0705949,5,31,0,1765.87,5004.85,0.28976,0.0450166,0.14769,0.31406,0.202321,0.074653,207.819
-1763.06,0.9687,0.0705949,6,63,0,1766.5,5137.81,0.291557,0.00654238,0.169471,0.223498,0.264723,0.0512148,201.479
-1760.44,0.999047,0.0705949,5,31,0,1763.73,5108.86,0.292203,0.0153548,0.175931,0.228096,0.237722,0.0736175,204.624
-1761.41,0.999953,0.0705949,6,63,0,1764.68,5029.1,0.300416,0.0370412,0.142869,0.298726,0.183073,0.103188,217.934
-1764.88,0.99897,0.0705949,5,63,0,1767.6,4847.24,0.300682,0.0674006,0.157856,0.30492,0.235867,0.183722,223.5
-1765.15,0.922027,0.0705949,5,31,0,1768.52,4897.17,0.301588,0.0363429,0.167185,0.27274,0.277719,0.199675,221.954
-1764.24,0.981464,0.0705949,5,31,0,1766.64,4922.52,0.299799,0.0233553,0.164723,0.286737,0.272953,0.187748,213.911
-1764.39,0.988639,0.0705949,6,63,0,1769.22,5091.79,0.288197,0.0129633,0.206961,0.294613,0.172488,-0.00928865,211.339
-1761.37,0.997954,0.0705949,6,63,0,1765.93,5152.33,0.284248,0.000832573,0.149629,0.237865,0.229648,0.131962,201.845
-1760.15,0.999341,0.0705949,5,63,0,1765.52,4927.97,0.29802,0.048588,0.169804,0.289904,0.232347,0.119564,210.32
-1761.63,0.985372,0.0705949,6,63,0,1762.98,4945.99,0.305268,0.0174506,0.207909,0.243422,0.238682,0.0951911,203.367
-1763.83,0.866741,0.0705949,6,63,0,1767.97,4999.34,0.29466,-0.012148,0.188501,0.303669,0.238372,0.0369348,195.411
-1760.48,1,0.0705949,6,63,0,1765.42,5091.09,0.285974,0.0511174,0.158757,0.245071,0.211487,0.0710454,205.411
-1760.6,0.999576,0.0705949,6,63,0,1762.72,5070.23,0.292213,-0.0202778,0.17924,0.290907,0.214968,0.0706754,214.714
-1759.8,0.997728,0.0705949,6,63,0,1762.63,5078.19,0.298061,0.0410056,0.155298,0.251634,0.216468,0.051193,206.993
-1763.23,0.933047,0.0705949,5,63,0,1765.38,5061.12,0.302373,0.0411389,0.169885,0.298203,0.136342,0.0105967,215.354
-1760.59,0.999697,0.0705949,6,63,0,1765.55,5056.12,0.289729,0.0114827,0.179248,0.261526,0.18191,0.156206,218.693
-1761.93,0.976527,0.0705949,6,63,0,1764.16,5084,0.272801,0.0178044,0.162488,0.328835,0.190279,0.0614227,204.382
-1766.64,0.992483,0.0705949,5,31,0,1771.57,5105.86,0.308965,-0.00654991,0.152127,0.324783,0.194162,-0.0573969,204.325
-1761.49,0.982581,0.0705949,5,63,0,1769.51,5138.12,0.288794,0.00557934,0.186711,0.283447,0.15241,-0.00515829,212.793
-1760.92,0.979529,0.0705949,6,63,0,1763.45,5045.24,0.29299,0.0216771,0.151561,0.245479,0.251488,0.140888,205.516
-1761.77,0.964052,0.0705949,6,63,0,1764.02,5003.81,0.295641,0.0329078,0.197351,0.288158,0.185789,0.00647263,217.162
-1763.98,0.986823,0.0705949,5,63,0,1769.37,5005.74,0.286373,0.0262676,0.171248,0.243696,0.21486,0.238152,215.95
-1763.59,0.999574,0.0705949,6,63,0,1767.53,5045.88,0.297998,0.0160358,0.179909,0.318393,0.210383,-0.0618103,206.801
-1764.83,0.977358,0.0705949,6,63,0,1768.3,5148.28,0.28441,0.0212784,0.161707,0.197332,0.179646,0.202593,214.753
-1765.22,0.962129,0.0705949,6,63,0,1769.02,5154.24,0.291072,0.0338351,0.158766,0.178366,0.18116,0.166512,211.186
-1761.4,0.996021,0.0705949,6,63,0,1766.97,5082.91,0.284782,-0.0109399,0.170329,0.297667,0.235415,0.0313616,204.497
-1761.54,0.94516,0.0705949,6,63,0,1765.77,5169.29,0.293328,0.0377284,0.169309,0.207061,0.161,0.088121,209.726
-1762.38,0.860113,0.0705949,6,63,0,1767.19,5278.75,0.279583,0.00788134,0.173806,0.226173,0.156402,0.00912346,210.424
-1760.98,0.994192,0.0705949,6,63,0,1763.45,5229.93,0.292079,-0.000691064,0.157056,0.235502,0.18894,0.0317353,205.499
-1760.85,0.999916,0.0705949,6,63,0,1764.64,4995.1,0.285535,0.00702257,0.190835,0.295126,0.19487,0.13065,217.244
