# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\k53xgkjs.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121411_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0695239
# Diagonal elements of inverse mass matrix:
# 7967.43, 0.000132412, 0.00043607, 0.000450769, 0.00135458, 0.00130622, 0.00251066, 0.00158934
-1766.66,0.953063,0.0695239,6,63,0,1772.39,4949.96,0.291016,0.0194515,0.141869,0.277674,0.339929,0.125124,220.757
-1762.14,0.99805,0.0695239,6,63,0,1769.79,4878.8,0.313319,0.0125452,0.188478,0.310501,0.220321,0.123228,220.299
-1760.69,0.955219,0.0695239,6,63,0,1764.47,5077.01,0.283923,0.0328834,0.156322,0.271739,0.218498,0.117817,202.627
-1759.65,1,0.0695239,6,63,0,1761.69,5049.23,0.282786,0.0189329,0.180415,0.282856,0.234875,0.0647846,206.866
-1763.22,0.999506,0.0695239,5,63,0,1764.28,5115.45,0.305608,-0.00301989,0.127199,0.293682,0.231299,0.0491604,209.425
-1761.6,0.935052,0.0695239,6,63,0,1765.79,5125.52,0.303789,-0.010022,0.144099,0.273154,0.197347,0.077456,205.1
-1760.69,0.997582,0.0695239,6,63,0,1764.03,5159.5,0.284854,0.00773169,0.142894,0.281145,0.180558,0.102147,200.736
-1760.26,0.999504,0.0695239,6,63,0,1762.44,5071.68,0.293478,0.0150375,0.198,0.238775,0.223335,0.031358,217.01
-1761.14,0.881854,0.0695239,5,63,0,1765.69,5128.13,0.2869,0.0156745,0.145946,0.280184,0.211352,0.0622264,193.986
