# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\29js5x4r.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121419_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0745046
# Diagonal elements of inverse mass matrix:
# 5451.87, 8.19664e-005, 0.000354549, 0.000280869, 0.00073071, 0.00112942, 0.0021815, 0.00114669
-2324.7,0.994599,0.0745046,6,63,0,2326.85,4852.19,0.322443,0.0703279,0.209059,0.224559,0.154641,0.185517,195.605
-2323.76,0.935709,0.0745046,6,63,0,2328.9,5038.96,0.301739,0.0562464,0.198337,0.213126,0.107598,0.126073,195.805
-2325.97,0.987284,0.0745046,6,63,0,2327.75,4820.83,0.305576,0.0831926,0.25573,0.270699,0.0935258,0.142699,193.963
-2325.01,0.999755,0.0745046,6,63,0,2328.01,4801.68,0.308114,0.0614959,0.239105,0.285243,0.125507,0.18681,198.954
-2323.89,0.856777,0.0745046,6,63,0,2329.33,4955.2,0.313044,0.0593206,0.246319,0.187675,0.133752,0.0705776,202.195
-2323.8,0.843739,0.0745046,5,31,0,2328.71,4948.24,0.305824,0.0354646,0.249271,0.222341,0.145167,0.0987345,196.906
-2323.88,0.978929,0.0745046,6,63,0,2326.5,4919.59,0.310544,0.084865,0.207581,0.225219,0.109435,0.152621,194.806
-2324.21,0.999882,0.0745046,6,63,0,2328.74,4881.5,0.302167,0.0404294,0.255331,0.247338,0.161349,0.105409,203.066
-2324.04,0.995978,0.0745046,6,63,0,2326.53,4983.62,0.313224,0.0827204,0.20059,0.212686,0.10232,0.114201,194.736
-2322.64,0.988879,0.0745046,6,63,0,2325.97,4903.56,0.29734,0.0512471,0.24736,0.234635,0.136976,0.154475,198.202
-2323.56,0.999543,0.0745046,6,63,0,2325.21,4986.98,0.315424,0.0730321,0.208761,0.217652,0.0798988,0.11252,198.181
-2321.94,0.955186,0.0745046,5,31,0,2325.2,4901.56,0.306225,0.0556562,0.235537,0.241286,0.136627,0.137052,194.442
-2322.24,0.982757,0.0745046,5,31,0,2323.37,4864.1,0.305628,0.059974,0.239773,0.265115,0.120325,0.133224,192.878
-2323.23,0.980911,0.0745046,6,63,0,2324.51,4865.3,0.306422,0.0604358,0.247942,0.208887,0.159366,0.154301,193.266
-2322.12,0.999746,0.0745046,5,31,0,2326.2,4883.77,0.300974,0.0696334,0.246365,0.240769,0.137551,0.109172,198.789
-2322.63,0.999664,0.0745046,5,31,0,2324.74,4865.25,0.303442,0.0707156,0.24984,0.236927,0.147708,0.0933878,197.868
-2324.81,0.87797,0.0745046,6,63,0,2326.46,4944.42,0.291947,0.0585337,0.244744,0.252967,0.125899,0.0986805,199.441
-2324.87,0.996801,0.0745046,6,63,0,2326.17,4916.19,0.32432,0.0574418,0.213791,0.209817,0.126946,0.130873,200.02
-2322.14,0.988758,0.0745046,6,63,0,2328.17,4942.68,0.294355,0.0549179,0.23528,0.235363,0.133027,0.130025,198.976
