# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\29js5x4r.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121419_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0848979
# Diagonal elements of inverse mass matrix:
# 4606.54, 8.75107e-005, 0.00024394, 0.000279253, 0.000700526, 0.00105918, 0.00185591, 0.0011885
-2321.78,0.99896,0.0848979,6,63,0,2325.16,4937.72,0.30295,0.0642294,0.217452,0.220365,0.14366,0.145381,195.538
-2326.43,0.996782,0.0848979,5,31,0,2327.75,4820.9,0.31712,0.0740442,0.225589,0.249945,0.149884,0.148569,219.53
-2325.3,0.940466,0.0848979,5,31,0,2328.75,4811.05,0.317637,0.0709315,0.240838,0.228744,0.157329,0.135565,213.718
-2326.32,0.968154,0.0848979,5,31,0,2329.48,4901.99,0.307097,0.0843106,0.214545,0.210635,0.153264,0.179554,212.771
-2326.23,0.863148,0.0848979,6,63,0,2334.22,4740.48,0.321103,0.0548882,0.247429,0.276135,0.174973,0.152073,198.025
-2324.43,0.977377,0.0848979,6,63,0,2331.92,4963.63,0.29386,0.054364,0.247698,0.20842,0.147331,0.124565,201.227
-2324.35,0.990412,0.0848979,6,63,0,2327.4,4974.77,0.31384,0.0441466,0.247159,0.189509,0.108434,0.130548,205.371
-2327.62,0.968562,0.0848979,5,31,0,2330.26,5009.29,0.320277,0.0186626,0.235939,0.200479,0.123961,0.0983201,190.844
-2326.89,0.92127,0.0848979,5,31,0,2331.67,4977.39,0.314402,0.022761,0.231782,0.193189,0.113281,0.174091,190.211
-2326.17,0.868501,0.0848979,5,31,0,2331.48,5029.69,0.314086,0.0180981,0.221239,0.180398,0.131659,0.139131,201.266
-2323.64,0.978568,0.0848979,5,31,0,2327.87,4994.48,0.307445,0.0335387,0.233788,0.218763,0.126021,0.068831,202.023
-2324.73,0.98752,0.0848979,5,31,0,2326.89,4946.48,0.297186,0.0390031,0.240507,0.213228,0.17534,0.137572,196.07
-2323.17,0.902605,0.0848979,5,31,0,2326.61,4960.99,0.311152,0.0459717,0.232407,0.214099,0.137728,0.120145,202.392
-2324,0.949918,0.0848979,5,43,0,2327.56,4900.04,0.312823,0.0472089,0.235986,0.216329,0.140848,0.123994,201.66
-2322.67,0.994618,0.0848979,4,31,0,2325.62,5000.81,0.304174,0.0548177,0.215471,0.223416,0.114818,0.0853412,199.091
-2324.43,0.998743,0.0848979,3,15,0,2326.19,5030.95,0.299485,0.0532624,0.212188,0.218433,0.138263,0.0487929,196.944
-2324.16,0.906576,0.0848979,5,31,0,2330.68,5008.71,0.31224,0.0617694,0.217293,0.184369,0.113637,0.0982773,202.817
-2324.24,0.998224,0.0848979,6,63,0,2326.4,4960.93,0.314914,0.0402772,0.244339,0.21757,0.0985382,0.127058,202.281
-2325.12,0.998141,0.0848979,5,63,0,2328.4,5020.47,0.308185,0.0767055,0.230576,0.185568,0.118541,0.0518686,206.758
