# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\4xcouybd.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121428_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0677058
# Diagonal elements of inverse mass matrix:
# 5568.41, 6.94327e-005, 0.000296484, 0.000314497, 0.00100978, 0.000927126, 0.00212213, 0.000923694
-2930.93,0.987298,0.0677058,6,63,0,2934.43,4963.95,0.297489,0.0215787,0.214293,0.261884,0.20128,0.101846,219.464
-2936.16,0.996638,0.0677058,5,63,0,2940.98,4926.05,0.283247,0.0181584,0.252247,0.216699,0.21483,0.198691,216.664
-2936.88,0.969651,0.0677058,5,63,0,2940.89,4897.67,0.280106,0.0334668,0.250356,0.231649,0.234537,0.158497,224.789
-2934.34,0.99971,0.0677058,5,31,0,2938.65,4919.81,0.283696,0.0368095,0.246884,0.235391,0.213536,0.131672,223.109
-2930.22,0.978397,0.0677058,6,63,0,2936.37,4902.29,0.294763,0.0477431,0.196621,0.284728,0.204905,0.14426,218.534
-2931.42,0.922633,0.0677058,6,63,0,2933.19,4993.49,0.297315,0.0430008,0.222691,0.218603,0.168964,0.143728,202.563
-2930.89,0.983678,0.0677058,6,63,0,2933.23,4874.23,0.295334,0.0396621,0.201083,0.293631,0.201346,0.164748,218.979
-2931.75,0.986594,0.0677058,6,63,0,2934.04,4817.91,0.294065,0.0600069,0.214429,0.277791,0.206141,0.230426,205.759
-2930.53,1,0.0677058,6,63,0,2934.87,5042.6,0.299622,0.02929,0.200712,0.222877,0.171473,0.133873,209.069
-2933.06,0.999745,0.0677058,5,63,0,2935.69,5001.08,0.281588,0.0354609,0.219109,0.223489,0.165813,0.222076,210.371
