# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\4xcouybd.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121428_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.072894
# Diagonal elements of inverse mass matrix:
# 5750.92, 7.77153e-005, 0.000260284, 0.000298686, 0.000803947, 0.000991755, 0.00172865, 0.000976239
-2935,0.981619,0.072894,6,63,0,2940.96,4910.43,0.304184,0.0248514,0.205562,0.303635,0.163537,0.172384,223.074
-2931.96,0.956329,0.072894,6,63,0,2938.45,4915.31,0.290044,0.0280803,0.230652,0.245596,0.235087,0.118313,216.206
-2932.92,0.908189,0.072894,5,63,0,2936.58,4906.73,0.289919,0.0427165,0.189417,0.300537,0.161222,0.206092,213.022
-2938.5,0.746183,0.072894,5,31,0,2945.41,4778.73,0.286572,0.0351329,0.214703,0.306718,0.232185,0.233934,201.872
-2933.5,0.997065,0.072894,5,31,0,2941.19,4795.69,0.292327,0.0428008,0.207016,0.293896,0.244385,0.221644,204.666
-2933.77,0.92561,0.072894,6,63,0,2935.44,5010.76,0.303375,0.0493397,0.22413,0.237355,0.12805,0.0894294,216.431
-2935.84,0.997635,0.072894,6,63,0,2941.71,4814.83,0.316276,0.0577088,0.242686,0.274718,0.146805,0.151936,200.977
-2930.53,0.992592,0.072894,5,31,0,2939.48,4859.92,0.296222,0.0312182,0.21909,0.282051,0.230147,0.156568,205.41
-2933.23,0.973305,0.072894,6,63,0,2935,4857.72,0.301957,0.0664591,0.22403,0.2516,0.222321,0.12143,223.062
-2935.93,0.768744,0.072894,6,63,0,2941.99,4933.86,0.289764,0.0529197,0.194209,0.258897,0.134993,0.249946,214.805
-2932.75,0.999142,0.072894,6,63,0,2939.02,4892.56,0.30919,0.0376133,0.231941,0.269928,0.197147,0.0650116,209.099
-2931.86,0.999676,0.072894,6,63,0,2936.35,4940.52,0.290317,0.0510686,0.193353,0.251096,0.184152,0.237027,209.116
-2930.12,0.969192,0.072894,6,63,0,2934.07,4848.17,0.304974,0.0608175,0.210791,0.252636,0.192472,0.198364,210.604
-2930.71,0.995478,0.072894,6,63,0,2934.13,4872.55,0.295434,0.026228,0.238214,0.275717,0.205519,0.123463,213.269
-2928.9,0.991586,0.072894,5,31,0,2931.97,4918.22,0.29455,0.0479954,0.217868,0.269256,0.185704,0.130625,207.479
-2930.82,0.957479,0.072894,5,63,0,2934.71,4865.64,0.298054,0.0684611,0.216738,0.265308,0.210134,0.133076,210.892
-2934.36,0.904334,0.072894,6,63,0,2935.47,4882.77,0.297501,0.0768574,0.194639,0.263084,0.207329,0.118725,205.904
-2929.33,0.999619,0.072894,5,31,0,2935.27,4962.84,0.291122,0.0530306,0.204898,0.26013,0.164225,0.144701,204.564
