# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\x3b6c3xg.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121437_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0728707
# Diagonal elements of inverse mass matrix:
# 3720.78, 6.46093e-005, 0.000211712, 0.000216391, 0.000578987, 0.000757966, 0.00129994, 0.00100926
-3508.1,0.928563,0.0728707,6,63,0,3512.36,5076.96,0.313459,0.057294,0.17595,0.227628,0.104353,0.0871103,202.476
-3513.09,0.947955,0.0728707,5,31,0,3515.86,5082.27,0.315583,0.0429742,0.161134,0.297302,0.107046,-0.0314921,206.018
-3511.33,0.99591,0.0728707,6,63,0,3515.99,5102.91,0.315603,0.0444428,0.165515,0.272596,0.104333,-0.0242091,201.705
-3512.73,0.925995,0.0728707,6,63,0,3521.46,4983.33,0.303116,0.0715566,0.203318,0.210799,0.160278,0.104658,216.91
-3509.53,0.999465,0.0728707,6,63,0,3516.49,4990.29,0.321364,0.0513325,0.171765,0.277506,0.146629,0.0247051,198.653
-3510.71,0.999783,0.0728707,6,63,0,3514.15,5003.9,0.306238,0.0447268,0.171169,0.291709,0.183467,0.00920099,204.504
-3511.13,0.997996,0.0728707,6,63,0,3515.62,4974.24,0.321093,0.0619917,0.211628,0.234418,0.0877014,0.101434,209.44
-3508.84,0.990618,0.0728707,5,31,0,3511.68,4989.5,0.31517,0.0607271,0.205305,0.237672,0.09884,0.090079,210.333
-3509.96,0.936938,0.0728707,6,63,0,3512.92,5041.39,0.316342,0.0334833,0.172567,0.298839,0.127166,0.000296339,208.438
-3509.73,0.944748,0.0728707,6,63,0,3513.58,5051.47,0.311461,0.0343438,0.205476,0.238509,0.115507,0.0712813,217.28
-3508.91,0.999491,0.0728707,6,63,0,3511.32,5065.05,0.31046,0.0650056,0.172515,0.247497,0.153337,-0.00504605,201.201
-3509.58,0.962039,0.0728707,6,63,0,3512.49,5060.06,0.310196,0.0340476,0.199316,0.25393,0.0965185,0.0777187,216.503
-3508.52,0.992423,0.0728707,6,63,0,3511.98,5035.45,0.312599,0.0534857,0.164082,0.277748,0.114755,0.0539906,205.265
