# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\x3b6c3xg.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121437_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.104555
# Diagonal elements of inverse mass matrix:
# 3825.5, 7.19846e-005, 0.000185111, 0.000227413, 0.000642757, 0.000727386, 0.00115907, 0.000853181
-3508.47,0.999936,0.104555,5,31,0,3510.45,5059.26,0.304196,0.038338,0.178442,0.266369,0.124725,0.0883681,215.147
-3507.56,0.99973,0.104555,5,31,0,3510.21,5000.74,0.317247,0.0572195,0.172943,0.274864,0.148017,0.0279599,203.866
-3508.12,0.987697,0.104555,5,31,0,3510.42,5040.41,0.319326,0.0606352,0.169777,0.239433,0.120016,0.0826788,210.598
-3509.65,0.810944,0.104555,5,31,0,3511.94,5069.09,0.30751,0.0453101,0.176692,0.254145,0.122037,0.0920384,216.096
-3506.96,0.99655,0.104555,5,31,0,3510.25,5069.79,0.308113,0.0534184,0.18069,0.263007,0.10983,0.0155972,205.886
-3507.11,0.93136,0.104555,5,31,0,3508.71,5006.19,0.309508,0.0429875,0.198922,0.253952,0.161685,0.0395334,209.919
-3508,0.973966,0.104555,5,31,0,3509.51,5040.54,0.318939,0.057304,0.187317,0.231959,0.10996,0.0473833,215.068
-3508.18,0.779993,0.104555,5,31,0,3513.17,5060.75,0.306005,0.0586895,0.17877,0.249175,0.158274,0.0162789,202.374
-3511.29,0.783162,0.104555,5,31,0,3513.86,5000.5,0.311026,0.0420231,0.17864,0.243795,0.139153,0.128269,206.837
-3509.33,0.998334,0.104555,5,31,0,3512.17,5010.17,0.310218,0.0487512,0.202548,0.281416,0.114962,-0.0145017,208.86
-3512.09,0.972542,0.104555,5,31,0,3513.37,5008.15,0.310807,0.0425247,0.21082,0.296942,0.109189,-0.039476,207.355
-3509.04,0.901423,0.104555,5,31,0,3514.85,5045.03,0.314814,0.061318,0.170428,0.214367,0.156627,0.0822842,206.846
-3511.35,0.771243,0.104555,5,31,0,3515.92,5040.58,0.306525,0.0552383,0.190509,0.300962,0.0969224,-0.0143367,216.125
-3509.3,0.987642,0.104555,5,31,0,3514.65,4994.76,0.315776,0.0580268,0.207706,0.272676,0.0776832,0.033622,207.61
-3508.66,0.963946,0.104555,5,31,0,3512.05,5066.16,0.319832,0.051749,0.192774,0.227374,0.0902706,0.0385556,213.285
-3507.04,0.978561,0.104555,5,31,0,3510.78,5045.81,0.312305,0.057482,0.185649,0.263292,0.122837,-0.000295214,210.886
-3506.94,0.967925,0.104555,5,31,0,3508.58,4985.11,0.317754,0.0477307,0.19127,0.262369,0.129817,0.0713154,200.355
-3508.54,0.856754,0.104555,5,31,0,3512.7,4919.5,0.315129,0.0634831,0.205049,0.288677,0.122693,0.064128,203.363
-3509.97,0.843606,0.104555,5,31,0,3512.14,5021.55,0.316866,0.034588,0.191735,0.258164,0.162132,0.02503,216.491
-3509.14,0.993524,0.104555,5,31,0,3519.07,5134.12,0.303934,0.0620768,0.166872,0.238186,0.0914731,0.0571056,202.956
-3508.02,0.909757,0.104555,5,31,0,3511.63,5072.76,0.303126,0.0423596,0.192747,0.252429,0.0993654,0.0588932,209.451
-3507.47,0.960748,0.104555,5,31,0,3509.6,5018.11,0.311959,0.0359834,0.192456,0.256927,0.150456,0.0325997,212.2
