# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\x6flqv34.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121447_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0785076
# Diagonal elements of inverse mass matrix:
# 3104.62, 5.10026e-005, 0.000146279, 0.000192007, 0.000530299, 0.000657551, 0.00108956, 0.000693681
-4079.57,0.999343,0.0785076,6,63,0,4083.77,5069.31,0.307016,0.0395706,0.174806,0.214362,0.152675,0.14105,201.642
-4079.57,0.969152,0.0785076,5,63,0,4081.72,5034.35,0.312957,0.0557425,0.182418,0.207267,0.140176,0.135965,203.243
-4078.69,0.999843,0.0785076,6,63,0,4081.09,4857.36,0.307954,0.0461522,0.215266,0.255502,0.191535,0.171828,204.077
-4079.74,0.997411,0.0785076,6,63,0,4082.9,5025.45,0.301944,0.0616012,0.190924,0.202182,0.137173,0.179604,199.528
-4078.3,0.958453,0.0785076,6,63,0,4081.42,4954.85,0.312276,0.0515361,0.185716,0.237612,0.149902,0.177055,202.046
-4079.66,0.995494,0.0785076,5,31,0,4081.66,4921.76,0.308854,0.0505503,0.208679,0.233068,0.208871,0.115624,209.456
-4080.64,0.990979,0.0785076,6,63,0,4083.7,4846.55,0.314502,0.0597969,0.202978,0.264328,0.147433,0.212325,199.314
-4079.2,0.979824,0.0785076,6,63,0,4083.71,4972.26,0.310621,0.0442806,0.193332,0.223495,0.196834,0.124224,211.668
-4078.07,0.993848,0.0785076,6,63,0,4080.19,4893.29,0.30803,0.0537131,0.206195,0.254377,0.154185,0.195451,201.22
-4079.06,0.934258,0.0785076,6,63,0,4081.68,5012.42,0.310901,0.0452248,0.19274,0.214653,0.182517,0.107399,206.742
-4078.17,1,0.0785076,5,31,0,4079.5,5008.02,0.310945,0.0473617,0.197077,0.2103,0.171955,0.1198,205.025
-4080.14,0.983544,0.0785076,5,31,0,4083.56,5068.7,0.307575,0.0546855,0.177223,0.1962,0.150112,0.142891,199.696
-4079.25,0.997412,0.0785076,5,31,0,4082.85,4984.26,0.295904,0.0480308,0.209359,0.217401,0.171541,0.171211,204.916
-4081.93,0.919777,0.0785076,5,31,0,4083.81,4937.52,0.292868,0.0452385,0.220336,0.238724,0.185176,0.169322,202.324
-4079.27,0.967959,0.0785076,5,63,0,4085.05,4886.4,0.307307,0.0662493,0.2157,0.221597,0.170209,0.201215,207.683
-4080.67,0.928533,0.0785076,5,31,0,4081.98,4851.45,0.306508,0.0650576,0.224878,0.224916,0.17344,0.209821,205.752
-4082.67,0.96294,0.0785076,6,63,0,4088.24,5018.79,0.312804,0.0430888,0.170538,0.241422,0.19384,0.0917804,202.497
-4078.55,0.904957,0.0785076,5,63,0,4087.74,5016.48,0.305788,0.0302072,0.190549,0.241474,0.163692,0.136547,204.636
-4080.1,0.993279,0.0785076,5,31,0,4081.92,5076.77,0.303848,0.0395361,0.195603,0.186147,0.148973,0.161361,203.239
-4078.37,0.926715,0.0785076,5,31,0,4081.7,4968.64,0.304899,0.0562045,0.194251,0.243798,0.159304,0.156578,206.83
-4078.19,0.938097,0.0785076,5,63,0,4083.6,4972.64,0.304705,0.0525832,0.191324,0.249364,0.15825,0.155429,206.288
-4078.03,0.996944,0.0785076,6,63,0,4083.5,4926.58,0.315014,0.0545668,0.204814,0.219751,0.168516,0.151078,201.874
-4080.18,0.999676,0.0785076,5,31,0,4081.53,4869.22,0.308334,0.0585663,0.199859,0.254079,0.167627,0.205179,212.736
-4082.34,0.920815,0.0785076,6,63,0,4086.4,5025.26,0.305626,0.0704004,0.182007,0.181348,0.158299,0.172557,206.633
-4079.68,0.944174,0.0785076,5,31,0,4084.53,5049.83,0.304789,0.0487571,0.176134,0.209035,0.147299,0.169758,206.148
-4081.82,0.945699,0.0785076,5,63,0,4085.57,5013.23,0.300925,0.0325027,0.213281,0.2532,0.1225,0.112596,200.232
-4082.44,0.911501,0.0785076,6,63,0,4086.46,4887.73,0.302729,0.0680851,0.200336,0.220918,0.212871,0.214216,210.219
-4081.13,0.999233,0.0785076,6,63,0,4085.17,4918.97,0.31798,0.0476563,0.207292,0.262012,0.135751,0.110773,199.292
-4080.65,0.999998,0.0785076,6,63,0,4085.8,4973.54,0.314115,0.0683498,0.20307,0.209501,0.136618,0.123778,208.37
-4080.85,0.861801,0.0785076,6,63,0,4084.62,4908.02,0.319709,0.0362552,0.197516,0.24929,0.148744,0.185499,200.704
-4079.95,0.991167,0.0785076,5,63,0,4083.07,4893.4,0.316784,0.0379794,0.199393,0.244006,0.172238,0.219368,202.283
-4079.25,0.999456,0.0785076,6,63,0,4083.5,4922.29,0.318481,0.0343561,0.210352,0.234958,0.149266,0.180534,205.428
-4081.54,0.997376,0.0785076,5,31,0,4084.85,4904.61,0.32062,0.0332736,0.206546,0.23914,0.144277,0.2162,209.007
-4078.69,0.988727,0.0785076,5,63,0,4085.46,5047.22,0.30701,0.0446667,0.187338,0.225764,0.134368,0.139021,207.277
-4079.15,0.997048,0.0785076,6,63,0,4085.7,4831.86,0.312386,0.0619631,0.208319,0.243249,0.203704,0.184614,202.488
-4077.35,0.999807,0.0785076,6,63,0,4080.85,4947.6,0.31342,0.0530985,0.199417,0.242231,0.143492,0.154763,202.364
-4079.17,0.943777,0.0785076,5,31,0,4080.76,4931.92,0.32078,0.0459397,0.206673,0.219649,0.150013,0.171747,207.761
-4083,0.95027,0.0785076,5,31,0,4085.59,4935.05,0.329776,0.0327752,0.205242,0.238589,0.141015,0.134943,204.136
-4080.62,0.951636,0.0785076,5,31,0,4086.42,4913.94,0.317749,0.0319937,0.218184,0.249715,0.135923,0.16494,208.099
-4082.76,0.984595,0.0785076,5,31,0,4085.77,4901.02,0.321021,0.0312633,0.227035,0.244739,0.131302,0.166296,208.728
-4083.11,0.983799,0.0785076,6,63,0,4085.75,4958.72,0.298691,0.07387,0.172923,0.232875,0.209281,0.163209,200.592
-4082.89,0.967912,0.0785076,6,63,0,4087.05,4881.03,0.324484,0.0376369,0.228545,0.247709,0.145499,0.137515,209.13
-4083.89,0.996084,0.0785076,6,63,0,4085.78,4877.26,0.322148,0.0344367,0.237856,0.23849,0.148655,0.135817,210.515
