# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\x6flqv34.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121447_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0730468
# Diagonal elements of inverse mass matrix:
# 3364.33, 5.48279e-005, 0.000169643, 0.000213515, 0.000527013, 0.000573856, 0.000919251, 0.000691228
-4082.55,0.998444,0.0730468,5,31,0,4083.54,4953.38,0.310661,0.064652,0.190792,0.217881,0.154824,0.220814,210.734
-4084.28,0.999986,0.0730468,5,31,0,4085.8,4974.15,0.310518,0.0721903,0.171499,0.21286,0.159335,0.231908,209.754
-4084.46,0.99836,0.0730468,6,63,0,4088.15,5020.6,0.306249,0.0181251,0.215605,0.234914,0.169153,0.0952559,197.49
-4080.14,0.994699,0.0730468,5,31,0,4085.33,5001.18,0.309626,0.0230083,0.200796,0.241698,0.165549,0.128666,198.39
-4081.75,0.995346,0.0730468,6,63,0,4084.93,5039.58,0.30808,0.0570824,0.191019,0.207814,0.114439,0.182313,213.009
-4080.99,0.979884,0.0730468,6,63,0,4086.53,4985.63,0.297887,0.0631064,0.207471,0.196354,0.179598,0.175686,201.475
-4082.17,0.946293,0.0730468,6,63,0,4085.39,4894.9,0.323559,0.0242764,0.204851,0.256847,0.168687,0.1471,205.24
-4081.61,0.918244,0.0730468,6,63,0,4084.51,4894.49,0.32332,0.0240402,0.208718,0.260225,0.160712,0.151509,205.113
-4084.93,0.996535,0.0730468,5,31,0,4085.73,4900.14,0.32965,0.0167705,0.202491,0.259598,0.165685,0.159468,201.751
