# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\bedi6_ob.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121458_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0665586
# Diagonal elements of inverse mass matrix:
# 3367.74, 4.2594e-005, 0.000151228, 0.000186805, 0.000470456, 0.000502813, 0.000973143, 0.000692076
-4667.7,0.991477,0.0665586,6,63,0,4670.96,5000.01,0.296973,0.04608,0.193936,0.256915,0.116759,0.167806,201.831
-4671.33,0.939595,0.0665586,6,63,0,4672.93,5037.36,0.301696,0.0530991,0.198103,0.25566,0.0898667,0.111215,201.259
-4670.12,0.992938,0.0665586,6,63,0,4674.68,5017.03,0.288566,0.0605203,0.201139,0.225381,0.128514,0.160993,200.645
-4666.72,0.928427,0.0665586,6,63,0,4675.91,4884.34,0.305905,0.0460198,0.208057,0.266775,0.137028,0.203694,208.413
-4666.88,0.998505,0.0665586,6,63,0,4668.06,4866.18,0.300651,0.0552917,0.206518,0.27285,0.146627,0.213671,208.015
-4669.02,0.999106,0.0665586,6,63,0,4672.18,4905.42,0.304559,0.052292,0.215997,0.240555,0.148526,0.188446,192.489
-4671.28,0.991003,0.0665586,6,63,0,4674.08,4863.9,0.300415,0.062048,0.21318,0.282607,0.16889,0.124192,221.666
-4667.52,0.899795,0.0665586,6,63,0,4675.61,4926.34,0.293932,0.0433068,0.217968,0.23824,0.171902,0.182623,205.296
-4669.91,0.781074,0.0665586,5,31,0,4672.53,4948.17,0.296853,0.0369065,0.21172,0.2528,0.152302,0.197892,207.91
-4674.51,0.921535,0.0665586,5,31,0,4677.09,4999.25,0.288852,0.0422908,0.198059,0.279705,0.124383,0.177153,205.815
