# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:14:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\bedi6_ob.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121458_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.076151
# Diagonal elements of inverse mass matrix:
# 2853.19, 4.93478e-005, 0.000179409, 0.00014957, 0.000443381, 0.000557972, 0.00102907, 0.000732751
-4666.79,0.987867,0.076151,6,63,0,4669.03,4961.29,0.295593,0.0496616,0.200924,0.254519,0.15505,0.156997,200.2
-4668.66,0.750435,0.076151,5,31,0,4675.22,4946.8,0.303699,0.0558462,0.190548,0.252622,0.159097,0.16185,197.129
-4669.97,0.996488,0.076151,5,63,0,4675.61,4996.92,0.294483,0.0286847,0.217056,0.247429,0.103059,0.191943,206.895
-4665.32,0.999972,0.076151,5,31,0,4670.62,4924.56,0.302253,0.054522,0.21019,0.24334,0.159011,0.153557,203.845
-4667.61,0.997575,0.076151,5,63,0,4668.68,4854.57,0.30594,0.0628769,0.219038,0.255743,0.167045,0.15831,195.639
-4669.09,0.981614,0.076151,6,63,0,4671.93,4826.4,0.305479,0.0727155,0.241583,0.260539,0.130292,0.144154,202.297
-4667.83,0.995076,0.076151,6,63,0,4671.35,4992.98,0.292914,0.0510186,0.19641,0.259531,0.135112,0.152228,200.432
-4667.93,0.999252,0.076151,6,63,0,4671.66,4977.24,0.30311,0.0408389,0.220749,0.216106,0.15109,0.13431,204.769
-4667.78,0.954457,0.076151,6,63,0,4670.49,4810.8,0.300927,0.0625057,0.215956,0.290828,0.163908,0.175992,209.963
-4668.57,0.999596,0.076151,6,63,0,4670.53,4986.6,0.30132,0.0607884,0.215629,0.21172,0.120024,0.168853,200.352
