# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\bi_8_pxq.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121511_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0952743
# Diagonal elements of inverse mass matrix:
# 2426.64, 4.14635e-005, 0.00012334, 0.000127502, 0.000372044, 0.000424263, 0.000856298, 0.000585308
-5200.24,0.778649,0.0952743,4,15,0,5203.07,5017.95,0.291881,0.0464067,0.218872,0.243106,0.200364,0.0166897,186.685
-5196.1,0.98434,0.0952743,5,31,0,5203.09,5064.51,0.285569,0.0554919,0.200788,0.262369,0.149756,0.0276274,197.376
-5199.66,0.951603,0.0952743,5,31,0,5201.68,5109.03,0.285553,0.0511214,0.177452,0.267883,0.145191,0.0460852,198.135
-5196.96,0.871862,0.0952743,5,31,0,5203.78,5049.98,0.290152,0.0545128,0.180076,0.240937,0.190586,0.08551,195.522
-5197.67,0.998812,0.0952743,6,63,0,5201.05,4960.38,0.288291,0.0400249,0.22983,0.260597,0.186223,0.0767488,194.652
-5197.17,0.954125,0.0952743,5,31,0,5201.29,4952.74,0.296573,0.0651029,0.198414,0.273914,0.170761,0.078801,184.54
-5198.41,0.968323,0.0952743,6,63,0,5202.49,5083.81,0.285426,0.0581742,0.214344,0.212337,0.156828,0.0504006,202.653
-5194.94,0.895905,0.0952743,5,31,0,5201.97,5075.74,0.287163,0.0551276,0.19425,0.230906,0.164714,0.0728732,195.794
-5196.76,0.884414,0.0952743,5,31,0,5197.92,5085.85,0.285675,0.0462922,0.195666,0.229243,0.172912,0.0865282,193.328
-5199.68,0.999793,0.0952743,5,31,0,5203.11,4900.46,0.300988,0.0678369,0.231013,0.250031,0.182722,0.0589453,199.423
-5198,0.999964,0.0952743,5,31,0,5203.31,4930.77,0.293395,0.060864,0.207756,0.306811,0.160676,0.0522058,195.245
-5196.82,0.999564,0.0952743,5,31,0,5201.84,4966.49,0.297978,0.0629996,0.208376,0.275902,0.15578,0.0451243,200.74
-5199.33,0.799136,0.0952743,5,31,0,5205.44,5088.55,0.285239,0.053375,0.182297,0.231471,0.15421,0.125199,190.118
-5198.98,0.973259,0.0952743,5,31,0,5203.42,5076.69,0.281693,0.0524343,0.193936,0.239534,0.145536,0.12549,190.695
-5195.13,0.975089,0.0952743,5,31,0,5200.13,5046.93,0.295179,0.051154,0.19676,0.231817,0.177845,0.0676473,194.387
-5196.93,0.890351,0.0952743,5,31,0,5203.97,5047.76,0.289777,0.0663942,0.212237,0.226187,0.151978,0.0684047,198.887
-5198.04,0.999163,0.0952743,5,31,0,5201.27,5005.39,0.29739,0.053132,0.208828,0.255121,0.180693,0.00427092,197.326
-5196.13,0.995165,0.0952743,5,31,0,5199.89,5048.47,0.285391,0.0426533,0.206629,0.252751,0.153738,0.074037,188.983
-5197.07,0.99085,0.0952743,5,31,0,5199.19,5036.06,0.295834,0.0396683,0.19438,0.259721,0.145669,0.0851362,192.725
-5202.43,0.999108,0.0952743,5,31,0,5206.34,4900.25,0.286914,0.0851353,0.228372,0.279215,0.195582,0.0172345,193.417
-5197.03,0.984151,0.0952743,5,31,0,5204.1,4943.69,0.291172,0.075071,0.228915,0.258593,0.163942,0.044828,195.625
-5194.58,0.98825,0.0952743,5,31,0,5198.67,4996.45,0.297839,0.0568378,0.207813,0.257816,0.151482,0.0665053,193.17
