# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\bi_8_pxq.json
# init = 2 (Default)
# random
#   seed = 7633
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121511_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0850774
# Diagonal elements of inverse mass matrix:
# 2398.15, 4.16068e-005, 0.000123861, 0.000135996, 0.000333786, 0.000419092, 0.000803461, 0.000592529
-5196.98,0.930993,0.0850774,6,63,0,5198.66,5052.71,0.296908,0.0606465,0.194718,0.230134,0.148943,0.0560715,194.554
-5195.18,0.999565,0.0850774,6,63,0,5199.76,5020.15,0.287445,0.0516556,0.210071,0.255381,0.17346,0.0671903,193.048
-5196.86,0.982367,0.0850774,5,31,0,5199.22,5039.08,0.286488,0.0466938,0.203926,0.261297,0.179482,0.0521743,189.832
-5196.23,0.99863,0.0850774,6,63,0,5198.55,5006.66,0.297921,0.0608941,0.205744,0.24031,0.151984,0.0966443,191.205
-5195.95,0.999656,0.0850774,6,63,0,5197.67,5007.74,0.28986,0.0529266,0.217469,0.247721,0.164844,0.0464927,197.671
-5203.88,0.981421,0.0850774,5,31,0,5206.91,5108.06,0.285808,0.0636163,0.193418,0.235017,0.193009,-0.0303796,193.097
-5202.17,0.954747,0.0850774,6,63,0,5210.36,5033.42,0.294659,0.0612476,0.184062,0.240709,0.223819,0.0223391,193.649
-5195.36,0.973585,0.0850774,5,31,0,5203.86,4991.62,0.294812,0.0583428,0.206795,0.268108,0.145013,0.0831777,191.857
-5195.37,0.996343,0.0850774,5,63,0,5196.99,5015.56,0.292342,0.055367,0.199719,0.241527,0.190714,0.0637871,199.468
-5194.4,0.996849,0.0850774,5,31,0,5195.81,5014.27,0.289389,0.0617267,0.212706,0.249197,0.152492,0.0677541,188.757
-5194.9,0.996008,0.0850774,5,63,0,5198.5,5014.72,0.290424,0.057316,0.208497,0.271289,0.146956,0.0440727,193.862
-5197.3,0.972461,0.0850774,5,31,0,5199.12,5012.71,0.290434,0.0541393,0.197859,0.257029,0.180823,0.0661463,205.424
-5198.94,0.999145,0.0850774,5,31,0,5201.03,5017.12,0.292029,0.0708773,0.221631,0.213099,0.153544,0.0763333,185.798
-5196.87,0.941321,0.0850774,5,31,0,5202.22,5025.73,0.287473,0.0584516,0.221156,0.213569,0.181468,0.0725542,195.096
-5195.65,0.969709,0.0850774,5,31,0,5199.47,5025.33,0.289142,0.0603296,0.201062,0.243365,0.181502,0.061474,201.432
-5200.08,0.996657,0.0850774,6,63,0,5202.75,5077.36,0.292332,0.0656362,0.178051,0.265884,0.121298,0.0591188,198.977
-5197.64,0.872959,0.0850774,5,63,0,5204.34,5035.84,0.293033,0.0491354,0.22019,0.227364,0.147696,0.0927475,195.368
-5197.84,0.996499,0.0850774,6,63,0,5201.76,4986.12,0.29261,0.0739062,0.187788,0.265737,0.191797,0.0389153,194.993
-5197.53,0.99577,0.0850774,5,63,0,5201.24,4971.67,0.291872,0.0787302,0.199914,0.284219,0.154103,0.0424769,195.22
-5198.04,0.895562,0.0850774,6,63,0,5201.68,5096.02,0.28877,0.0434901,0.193543,0.211501,0.168545,0.0909466,190.829
-5200.38,0.995722,0.0850774,6,63,0,5205.41,4900.58,0.289489,0.0659982,0.204437,0.257816,0.22066,0.129683,194.245
-5200.07,0.996448,0.0850774,5,63,0,5203.59,4907.96,0.296885,0.0796461,0.19697,0.250122,0.199494,0.121704,198.288
-5197.05,0.967912,0.0850774,6,63,0,5202.54,4958.95,0.290236,0.0664803,0.209866,0.292842,0.151694,0.0621202,191.612
-5197.71,0.999226,0.0850774,5,63,0,5200.64,4992.38,0.289366,0.0616109,0.201954,0.275133,0.147018,0.0797698,204.651
-5196.12,0.99979,0.0850774,6,63,0,5200.16,4924.72,0.296026,0.0571661,0.203592,0.288234,0.176672,0.0866942,194.025
-5195.85,0.999261,0.0850774,6,63,0,5202.15,4961.64,0.291704,0.0756486,0.21745,0.251773,0.147808,0.0954175,193.519
-5194.84,0.949459,0.0850774,5,31,0,5197.74,5001.67,0.292335,0.0634201,0.198436,0.262382,0.166797,0.0712619,197.342
-5197.69,0.936141,0.0850774,6,63,0,5200.28,5016.59,0.300744,0.0466119,0.204984,0.250691,0.140238,0.0969659,192.553
-5197.47,0.967941,0.0850774,5,31,0,5200.65,5019.35,0.28626,0.0611655,0.202587,0.265697,0.187693,0.0202166,199.703
-5197.67,0.866057,0.0850774,5,31,0,5199.11,5012.53,0.286048,0.0604737,0.2023,0.264895,0.186652,0.0198455,199.904
-5198.36,0.988443,0.0850774,5,63,0,5202.3,4919.68,0.289216,0.0744902,0.214098,0.264809,0.169051,0.135949,192.399
-5201.09,0.9993,0.0850774,5,31,0,5204.5,4899.34,0.292843,0.063207,0.240706,0.282205,0.161855,0.0633366,187.371
-5198.19,0.95282,0.0850774,5,31,0,5205.32,4993.55,0.284672,0.0515959,0.214588,0.279576,0.153949,0.0847912,200.934
-5196.79,0.999079,0.0850774,5,31,0,5200.88,4964.18,0.30022,0.0695862,0.199435,0.270185,0.155119,0.0655794,188.174
-5195.44,0.931515,0.0850774,5,63,0,5199.72,4966.97,0.295216,0.0564958,0.212532,0.260288,0.182505,0.0448748,197.192
-5196.67,0.85651,0.0850774,6,63,0,5199.98,5066.02,0.28597,0.0588125,0.199405,0.229949,0.145124,0.0861887,190.551
-5196.8,0.995159,0.0850774,6,63,0,5199.27,4938.06,0.297095,0.0495947,0.205167,0.269577,0.191567,0.082323,195.759
-5196.96,0.95701,0.0850774,5,63,0,5201.16,5020.83,0.295684,0.0700546,0.213424,0.230365,0.138579,0.0528405,192.077
-5198.2,0.997544,0.0850774,5,63,0,5200.64,4986.11,0.289384,0.0380553,0.20386,0.271724,0.183846,0.0973039,202.23
-5197.25,0.96993,0.0850774,5,31,0,5201.79,4988.14,0.290176,0.0540917,0.206841,0.268672,0.166383,0.0827735,204.93
-5195.41,0.999659,0.0850774,6,63,0,5199.48,5046.15,0.289334,0.0609064,0.199078,0.242353,0.135716,0.0976221,192.703
-5198.37,0.961367,0.0850774,5,31,0,5201.16,5027.31,0.295392,0.0437256,0.19087,0.268091,0.141254,0.112667,196.972
-5196.41,0.79705,0.0850774,5,31,0,5201.73,5052.26,0.286573,0.0500444,0.204044,0.259802,0.159444,0.058452,195.489
-5194.95,0.886551,0.0850774,6,63,0,5199.45,4971.86,0.295015,0.0659951,0.208565,0.250895,0.179908,0.0529379,195.679
-5196.25,0.829885,0.0850774,6,63,0,5199.7,5010.95,0.295072,0.0457809,0.205763,0.24773,0.195678,0.0337969,193.905
-5197.69,0.989393,0.0850774,5,63,0,5201.33,4977.68,0.300033,0.0583393,0.187394,0.248128,0.196468,0.0925726,198.311
-5199.09,0.879413,0.0850774,6,63,0,5202.61,5048.36,0.294814,0.0517892,0.180783,0.238101,0.182348,0.106642,190.717
-5197.87,1,0.0850774,5,63,0,5199.97,5043.02,0.293586,0.0513998,0.179923,0.234898,0.183817,0.104163,191.353
-5196.49,0.950624,0.0850774,5,31,0,5201.01,5017.93,0.299307,0.0555817,0.202891,0.253857,0.142527,0.0510646,198.47
