# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\l6cvyn7s.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120532_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0536616
# Diagonal elements of inverse mass matrix:
# 39917.1, 0.000290781, 0.00126685, 0.00130797, 0.00511682, 0.00395225, 0.00949977, 0.00674983
-581.23,0.935774,0.0536616,6,63,0,585.804,4341.83,0.317599,0.113609,0.266417,0.371881,0.210484,0.255409,174.909
-580.583,0.994509,0.0536616,6,63,0,583.942,4542.72,0.335343,0.158932,0.191358,0.365007,0.0999702,0.169545,208.458
-579.694,0.991524,0.0536616,6,63,0,582.998,4580.11,0.336069,0.149172,0.19793,0.346834,0.0851305,0.213043,205.091
-578.426,0.956067,0.0536616,6,63,0,582.353,4281.37,0.326316,0.189937,0.252422,0.3533,0.19642,0.299089,192.688
-580.435,0.999801,0.0536616,5,31,0,581.177,4265.12,0.316763,0.181465,0.26809,0.335137,0.171739,0.411178,192.351
-581.924,0.987409,0.0536616,6,63,0,584.979,4367.06,0.305446,0.187417,0.270007,0.315377,0.113518,0.368562,203.352
-585.859,0.959439,0.0536616,6,63,0,589.081,4392.88,0.283933,0.170901,0.247998,0.325647,0.206114,0.448713,229.768
-580.791,0.981133,0.0536616,6,63,0,589.033,4479.04,0.336672,0.158395,0.210382,0.32956,0.179044,0.15668,171.835
-578.313,1,0.0536616,6,63,0,582.334,4407.27,0.324679,0.148546,0.205952,0.368653,0.192249,0.300874,202.557
-579.389,0.974394,0.0536616,6,63,0,580.332,4381.99,0.317574,0.175109,0.232095,0.376555,0.164418,0.277191,166.713
-579.44,0.956788,0.0536616,6,63,0,583.026,4384.94,0.327741,0.155804,0.249029,0.380765,0.111314,0.266336,167.383
-583.408,0.99595,0.0536616,6,63,0,586.685,4391.24,0.305365,0.20668,0.205887,0.355249,0.228721,0.246891,236.378
-582.365,0.998882,0.0536616,6,63,0,586.202,4289.39,0.30955,0.219514,0.217649,0.288682,0.310874,0.337745,200.83
