# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\l6cvyn7s.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120532_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0722349
# Diagonal elements of inverse mass matrix:
# 34894.5, 0.000276969, 0.00134064, 0.00123307, 0.00479162, 0.0034282, 0.00799727, 0.00615884
-579.23,0.984303,0.0722349,5,63,0,581.412,4362.77,0.31023,0.168813,0.227004,0.339431,0.26233,0.297551,184.328
-580.421,0.991065,0.0722349,6,63,0,581.946,4548.95,0.33887,0.155928,0.236079,0.362777,0.06474,0.128889,195.522
-580.143,0.78397,0.0722349,6,63,0,586.513,4038.48,0.323837,0.177165,0.267754,0.483049,0.164652,0.383143,191.66
-580.444,0.939494,0.0722349,6,63,0,583.305,4140.73,0.328408,0.181436,0.214596,0.50565,0.164152,0.34825,188.625
-581.436,0.955612,0.0722349,5,31,0,582.374,4142.16,0.32152,0.190863,0.21018,0.515184,0.162989,0.361079,192.106
-579.868,0.989601,0.0722349,6,63,0,585.319,4580.36,0.315942,0.143671,0.245133,0.276315,0.18338,0.147328,193.183
-578.564,0.964552,0.0722349,5,63,0,583.239,4325.02,0.328819,0.186481,0.259993,0.368437,0.11572,0.264829,197.935
-580.724,0.99661,0.0722349,5,31,0,582.593,4075.3,0.334909,0.244073,0.238415,0.444749,0.170905,0.315935,203.857
-582.216,0.955506,0.0722349,5,31,0,583.858,3986.52,0.340141,0.248251,0.288221,0.396925,0.176323,0.32508,190.262
-579.828,1,0.0722349,6,63,0,583.78,4674.02,0.309989,0.116527,0.2369,0.29961,0.138912,0.147365,190.826
-580.22,0.997705,0.0722349,6,63,0,582.746,4027.54,0.339448,0.229366,0.251809,0.427949,0.165917,0.394489,197.244
-581.565,0.996268,0.0722349,5,63,0,586.108,4199.69,0.30563,0.207292,0.227831,0.474365,0.200005,0.249165,187.305
-579.511,0.98013,0.0722349,5,63,0,583.345,4439.91,0.347718,0.153349,0.23271,0.320775,0.128553,0.26051,189.367
-581.924,0.999617,0.0722349,5,31,0,583.85,4094.73,0.346532,0.18142,0.239103,0.541874,0.137286,0.216186,204.087
