# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:06:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\jq6mfnj2.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120657_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0852652
# Diagonal elements of inverse mass matrix:
# 1968, 3.80853e-005, 0.000129197, 0.000129557, 0.000311506, 0.000414633, 0.000721788, 0.000525365
-5820.67,0.996794,0.0852652,6,63,0,5825.82,5074.75,0.301609,0.0297751,0.172381,0.251026,0.150715,0.104856,208.613
-5821.55,0.975634,0.0852652,6,63,0,5826.77,4973.77,0.313657,0.0615933,0.187527,0.243454,0.148766,0.126172,195.22
-5822.3,0.9998,0.0852652,5,31,0,5825.41,4977.45,0.308579,0.061542,0.170331,0.247334,0.176946,0.126108,196.363
-5818.84,0.994188,0.0852652,5,63,0,5825.31,5059,0.308201,0.0355608,0.180522,0.239325,0.161517,0.0832265,203.064
-5818.95,0.961336,0.0852652,6,63,0,5821.69,5080.44,0.304707,0.049633,0.182926,0.229594,0.109352,0.123841,202.8
-5820.49,0.939205,0.0852652,5,31,0,5821.93,5054.45,0.305247,0.0405038,0.194177,0.24636,0.0959199,0.120374,204.246
-5819.79,0.996872,0.0852652,6,63,0,5823.51,5060.16,0.308456,0.0416247,0.165688,0.233085,0.165231,0.123324,202.858
-5818.83,0.941652,0.0852652,6,63,0,5822.09,5013.3,0.305249,0.0559759,0.178448,0.244196,0.169871,0.0998601,202.785
-5820.14,0.952672,0.0852652,6,63,0,5823.05,5111.98,0.308145,0.0420185,0.166649,0.213442,0.139265,0.110953,199.457
-5819.89,0.844751,0.0852652,5,31,0,5822.54,5092.93,0.3023,0.038863,0.182724,0.240876,0.134696,0.0925301,200.889
-5824.89,0.894534,0.0852652,5,31,0,5825.85,5075.43,0.306489,0.0387744,0.170247,0.208075,0.140081,0.16391,205.543
-5823.01,0.999481,0.0852652,6,63,0,5828.23,5017.35,0.312496,0.0428008,0.193252,0.205224,0.144145,0.150789,204.054
-5821.47,0.999784,0.0852652,6,63,0,5824.45,5078.94,0.304252,0.0460105,0.17119,0.269014,0.126833,0.0625765,200.638
-5818.67,0.999552,0.0852652,5,31,0,5822.31,5045.56,0.310359,0.050601,0.177315,0.225632,0.142874,0.131155,202.769
-5819.22,0.870057,0.0852652,5,31,0,5820.75,5037.75,0.308947,0.0496597,0.175845,0.228024,0.140738,0.132317,203.001
-5824.75,0.944712,0.0852652,5,31,0,5829.6,5156.17,0.297159,0.0543266,0.165685,0.219068,0.0960935,0.121571,209.72
-5824.89,0.999745,0.0852652,5,63,0,5828.01,5149.61,0.295436,0.0587318,0.163789,0.229299,0.104186,0.106744,210.41
-5820.75,0.999995,0.0852652,5,31,0,5827.12,5137.4,0.305671,0.0298799,0.177291,0.220278,0.127307,0.0853058,208.592
-5820.38,0.911736,0.0852652,6,63,0,5824.85,5027.62,0.305637,0.0603288,0.200231,0.228511,0.139,0.0757542,200.165
-5822.75,0.892483,0.0852652,5,31,0,5828.44,5012.6,0.297205,0.0617405,0.203698,0.227865,0.157658,0.0889103,201.442
-5820.04,0.999845,0.0852652,5,63,0,5826.57,5059.93,0.303466,0.0504375,0.193761,0.212427,0.149899,0.101281,197.705
-5820.54,0.950156,0.0852652,6,63,0,5823.71,5029.62,0.309192,0.0491665,0.203965,0.221643,0.137947,0.0974879,198.57
-5820.5,0.996742,0.0852652,5,63,0,5823.25,5022.7,0.312082,0.0375687,0.203023,0.227141,0.122766,0.117193,206.455
-5822.94,0.790225,0.0852652,6,63,0,5829.32,4946.34,0.306521,0.0564405,0.168251,0.27333,0.185564,0.142203,202.4
-5819.78,0.999114,0.0852652,5,31,0,5824.31,4954.11,0.308723,0.0594324,0.184492,0.249848,0.164957,0.145217,200.798
-5820.91,0.994563,0.0852652,5,63,0,5825.1,5056.03,0.3156,0.0494892,0.161597,0.233236,0.145839,0.114194,198.945
-5821.51,0.99651,0.0852652,5,31,0,5824.85,5057.53,0.320099,0.0274587,0.174499,0.238267,0.141394,0.0947878,201.417
-5824.87,0.917289,0.0852652,5,31,0,5829.15,5076.64,0.322012,0.051639,0.16698,0.224855,0.118345,0.0737726,199.448
-5822.24,0.900075,0.0852652,6,63,0,5830.63,4972.45,0.306645,0.0543442,0.191916,0.267862,0.110935,0.139501,207.953
-5819.92,0.984747,0.0852652,6,63,0,5824.76,4991.85,0.314986,0.0414917,0.200804,0.24536,0.139168,0.096706,208.2
-5819.36,0.985736,0.0852652,6,63,0,5822.12,5010.18,0.302984,0.0548116,0.175507,0.255264,0.151059,0.134317,197.815
-5820.97,0.844848,0.0852652,5,31,0,5823.61,5052.03,0.297575,0.0592092,0.169605,0.247071,0.147113,0.11965,197.815
-5819.44,0.998609,0.0852652,5,31,0,5823.71,5033.95,0.307731,0.0439673,0.178609,0.226262,0.153035,0.14506,208.15
-5821.42,0.943408,0.0852652,6,63,0,5824.17,4959.02,0.311252,0.0386952,0.202111,0.245673,0.151914,0.137852,195.514
-5821.74,0.955416,0.0852652,6,63,0,5825.72,4975.41,0.306437,0.0588546,0.173118,0.253767,0.176008,0.120387,209.476
-5821.58,0.922898,0.0852652,5,31,0,5824.09,5001.6,0.306195,0.0573608,0.170204,0.244073,0.176276,0.111909,208.465
-5821.4,0.997332,0.0852652,5,63,0,5823.38,5000.9,0.302791,0.05671,0.168926,0.25486,0.172519,0.12004,207.89
-5821.31,0.934501,0.0852652,5,63,0,5825.12,5078.35,0.308452,0.040402,0.199881,0.226811,0.117426,0.0840093,200.395
-5821.72,1,0.0852652,6,63,0,5824.03,5079.69,0.300739,0.0577608,0.163098,0.243768,0.144517,0.116762,205.804
-5821.81,0.991916,0.0852652,6,63,0,5824.34,4985.62,0.31378,0.0325007,0.206003,0.242127,0.13814,0.10478,200.921
-5819.63,0.916074,0.0852652,6,63,0,5824.99,5034.45,0.306869,0.0567927,0.174496,0.249574,0.113546,0.138731,204.327
-5824.26,0.777283,0.0852652,5,31,0,5829.53,4974.73,0.296457,0.0502659,0.184964,0.293413,0.153129,0.115602,196.921
-5822.08,0.939954,0.0852652,6,63,0,5828.47,5081.72,0.314845,0.0399199,0.189599,0.200738,0.13656,0.106742,206.859
-5819.8,0.985475,0.0852652,5,31,0,5824.89,5045.43,0.308821,0.0431847,0.17958,0.249443,0.111212,0.12539,197.417
