# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:06:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\jq6mfnj2.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120657_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0840799
# Diagonal elements of inverse mass matrix:
# 1932.17, 4.07775e-005, 0.000112148, 0.000114501, 0.000355185, 0.000459927, 0.000723851, 0.000417402
-5824.23,0.927636,0.0840799,5,31,0,5827.87,5060.62,0.292667,0.0615366,0.176872,0.25943,0.130314,0.121154,199.863
-5822.34,0.999901,0.0840799,5,31,0,5825.35,5056.2,0.29805,0.0544801,0.172366,0.260211,0.11747,0.115419,199.41
-5821.51,1,0.0840799,6,63,0,5824.54,5008.05,0.30437,0.034422,0.191635,0.231149,0.18314,0.116272,207.031
-5818.56,0.999793,0.0840799,5,31,0,5822.66,5012.87,0.308461,0.0422897,0.18862,0.240537,0.148571,0.111936,198.573
-5818.79,0.999849,0.0840799,6,63,0,5820.44,5040.54,0.307284,0.0497163,0.193939,0.233725,0.126626,0.111354,199.106
-5820.7,0.958857,0.0840799,6,63,0,5821.99,5086.07,0.306568,0.0427511,0.169794,0.235962,0.133565,0.125689,210.101
-5820.49,0.998422,0.0840799,6,63,0,5824.5,4986.75,0.31358,0.0364162,0.198267,0.262319,0.151718,0.0807375,200.671
-5821.74,0.833762,0.0840799,5,31,0,5825.93,4968.01,0.309128,0.0444567,0.204388,0.271543,0.124843,0.0908442,207.723
-5818.32,0.981204,0.0840799,6,63,0,5827.76,5023.06,0.303203,0.0526282,0.177699,0.242509,0.159365,0.122902,200.934
-5819.05,0.988089,0.0840799,5,31,0,5820.62,5016.3,0.311791,0.0493462,0.184489,0.252194,0.134991,0.0988389,195.688
-5819.1,0.99667,0.0840799,6,63,0,5821.24,5032.4,0.309171,0.0546687,0.192618,0.243422,0.122793,0.0766381,200.7
-5818.95,0.93132,0.0840799,6,63,0,5821.27,5045.62,0.304289,0.0383651,0.174449,0.247786,0.138874,0.137397,205.196
-5820.38,0.900177,0.0840799,5,31,0,5823.08,5057.5,0.299018,0.0613926,0.186387,0.225356,0.138698,0.118101,207.066
-5818.06,0.971827,0.0840799,5,31,0,5821.7,5066.37,0.304397,0.0404127,0.177332,0.247979,0.142247,0.0878928,202.228
-5819.23,0.974281,0.0840799,5,31,0,5820.55,5028.96,0.31323,0.0580403,0.173138,0.234712,0.132952,0.123741,200.89
-5818.86,0.999996,0.0840799,6,63,0,5820.83,5044.57,0.308502,0.0289229,0.197419,0.236691,0.140699,0.0983091,202.042
-5820.56,0.903176,0.0840799,5,63,0,5823.24,4949.84,0.306841,0.0512098,0.197175,0.250751,0.158094,0.135714,208.865
-5820.38,0.999589,0.0840799,6,63,0,5822.45,5127.55,0.304247,0.0476113,0.173447,0.211484,0.138332,0.0838074,199.284
-5819.32,0.991583,0.0840799,6,63,0,5821.95,5090.95,0.299739,0.0410125,0.18776,0.227445,0.130365,0.112979,198.7
-5819.37,0.739717,0.0840799,6,63,0,5823.48,4989.99,0.315307,0.0447617,0.180068,0.25774,0.150852,0.115289,207.69
-5818.54,0.969354,0.0840799,6,63,0,5822.66,5048.07,0.301863,0.0454663,0.193897,0.233664,0.140709,0.103087,198.254
-5820.59,0.962234,0.0840799,5,63,0,5822.38,5006.24,0.302298,0.0536108,0.181969,0.239645,0.182373,0.116704,198.73
-5820.37,0.999741,0.0840799,6,63,0,5825.55,5083.49,0.305084,0.0194646,0.193766,0.232155,0.137157,0.101539,204.921
-5822.06,0.975032,0.0840799,6,63,0,5825.77,5085.65,0.311586,0.0362998,0.189764,0.213428,0.106949,0.13694,197.343
-5826.67,0.99937,0.0840799,5,31,0,5829.74,5131.04,0.315471,0.0230158,0.181675,0.213344,0.0811923,0.143558,204.94
-5826.96,0.883494,0.0840799,5,63,0,5834.96,5075.57,0.288708,0.0489904,0.181647,0.215288,0.150954,0.167162,208.098
-5822.38,0.906964,0.0840799,5,31,0,5832.08,5059.61,0.31291,0.0483385,0.164471,0.240212,0.112793,0.136763,196.495
-5825.75,0.92438,0.0840799,5,31,0,5827.87,5068.18,0.312973,0.0487387,0.153862,0.247591,0.103491,0.146952,200.376
-5822.46,0.999919,0.0840799,5,31,0,5829.49,5106.77,0.297395,0.0443024,0.189738,0.232262,0.120333,0.101422,197.078
-5822.88,0.99333,0.0840799,6,63,0,5826.57,4997.59,0.314087,0.0607244,0.175081,0.223611,0.160374,0.121034,199.04
-5824.68,0.978994,0.0840799,6,63,0,5829.08,4990.64,0.302855,0.0404449,0.196546,0.262826,0.188021,0.074492,198.379
-5819.9,0.958115,0.0840799,5,31,0,5826.54,5021.84,0.314655,0.0567646,0.183565,0.246157,0.128548,0.0947326,203.28
-5822.55,0.989261,0.0840799,5,31,0,5825.27,5066.85,0.297933,0.0404271,0.177076,0.265309,0.153099,0.0552556,202.375
-5820.08,1,0.0840799,5,63,0,5825.23,5037.83,0.298292,0.0421327,0.190966,0.253138,0.160082,0.0897847,205.742
-5821.1,0.909228,0.0840799,5,63,0,5824.21,5114.8,0.30486,0.0357413,0.187354,0.223551,0.132801,0.0781405,207.505
-5819.55,0.9843,0.0840799,5,63,0,5823.22,5049.42,0.307442,0.0377287,0.193715,0.238926,0.151795,0.0607658,205.446
-5821.57,0.869108,0.0840799,5,63,0,5825.15,4991.68,0.314807,0.0524553,0.19193,0.264556,0.137285,0.0573243,208.577
-5820.66,0.986472,0.0840799,5,63,0,5824.7,5060.57,0.31355,0.0371604,0.18205,0.257905,0.122797,0.0634919,206.165
-5819.03,0.692238,0.0840799,5,63,0,5826.75,5023.08,0.311074,0.0351685,0.183282,0.2537,0.126445,0.1427,200.942
-5821.86,0.819119,0.0840799,5,63,0,5822.82,5035.85,0.314881,0.0300189,0.18013,0.251766,0.132185,0.13676,201.318
-5820.18,0.983688,0.0840799,6,63,0,5824.21,5038.39,0.311175,0.0391895,0.175355,0.231209,0.141792,0.162492,201.183
-5820.14,0.977385,0.0840799,6,63,0,5825.14,5002.16,0.311653,0.0547323,0.1975,0.248682,0.138394,0.0623266,205.428
-5820.79,0.999467,0.0840799,5,63,0,5822.55,5011.42,0.306,0.0596378,0.205592,0.240781,0.119427,0.0862728,204.9
-5818.91,0.935112,0.0840799,6,63,0,5825.51,5054.25,0.307343,0.0423693,0.18771,0.24389,0.124058,0.096243,195.551
