# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\8hqp7nhx.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120537_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0863573
# Diagonal elements of inverse mass matrix:
# 12220.2, 0.000176978, 0.000664311, 0.000734792, 0.00184319, 0.00195314, 0.00409158, 0.00232703
-1172.05,0.999523,0.0863573,6,63,0,1173.07,5130.65,0.3307,0.0425231,0.117396,0.209812,0.127571,0.197149,199.84
-1173.25,0.84183,0.0863573,5,63,0,1178.41,5009.99,0.309659,0.0361226,0.174976,0.288613,0.168397,0.0310474,211.08
-1173.44,0.983091,0.0863573,5,31,0,1178.41,4919.46,0.30466,0.0109567,0.190838,0.321848,0.180489,0.163389,192.568
-1173.51,0.97667,0.0863573,5,63,0,1177.38,4918.46,0.315328,0.00329582,0.184932,0.302898,0.163105,0.228743,187.386
-1174.69,0.944629,0.0863573,5,31,0,1181.83,5020.09,0.303921,0.00977779,0.198573,0.177114,0.219386,0.218405,203.115
-1174.93,0.804246,0.0863573,6,63,0,1180.59,5071.51,0.309509,0.0254817,0.149989,0.210257,0.113214,0.297648,224.726
-1172.49,0.792598,0.0863573,6,63,0,1180.15,4894.67,0.314499,0.0402907,0.193212,0.279873,0.237406,0.0893005,199.763
-1171.6,0.998834,0.0863573,5,31,0,1174.61,4849.95,0.319038,0.0510379,0.195384,0.258041,0.237464,0.155336,200.161
-1175.51,0.910825,0.0863573,5,31,0,1179.01,4925.83,0.31214,0.0989526,0.16351,0.246307,0.155171,0.223417,192.359
-1173.03,0.891693,0.0863573,5,31,0,1179.77,4888.08,0.325039,0.0887505,0.15498,0.241216,0.155804,0.233184,195.078
-1171.95,1,0.0863573,5,31,0,1175.17,4779.84,0.316674,0.0251931,0.199412,0.325223,0.198379,0.206211,205.763
-1171.26,0.981064,0.0863573,6,63,0,1173.93,5082.48,0.320259,0.0638754,0.125111,0.243823,0.132283,0.143467,211.203
-1176.96,0.968939,0.0863573,5,31,0,1178.56,5079.15,0.318554,0.0873352,0.154032,0.266931,0.0326483,0.0894058,207.69
-1176.74,0.980107,0.0863573,6,63,0,1183.89,4846.45,0.317868,0.0817362,0.206461,0.187542,0.237672,0.222058,225.063
-1177.61,0.954707,0.0863573,6,63,0,1188.31,4888.64,0.330733,0.0962827,0.17543,0.271772,0.116612,0.15436,184.047
-1173.71,0.98572,0.0863573,5,31,0,1181.32,4869.57,0.305249,0.0786893,0.179425,0.328078,0.142253,0.174258,201.296
-1170.66,0.985677,0.0863573,5,31,0,1175.79,4880.99,0.319987,0.0374293,0.191233,0.269087,0.184066,0.157466,203.157
-1173.51,0.986456,0.0863573,5,31,0,1174.98,5065.31,0.328365,0.0222371,0.0950126,0.282904,0.194233,0.143862,219.218
-1170.92,0.955359,0.0863573,5,31,0,1175.44,5045.98,0.332059,0.0281807,0.12739,0.277167,0.127084,0.185008,210.02
-1173.86,0.774954,0.0863573,6,63,0,1177.37,4842.34,0.330025,0.0381765,0.194094,0.301322,0.126588,0.243276,194.794
-1176.13,0.934195,0.0863573,5,31,0,1181.37,4791.06,0.306622,0.0308873,0.164095,0.278414,0.276483,0.297937,205.285
-1176.46,0.94894,0.0863573,6,63,0,1181.81,5046.39,0.344623,0.0465149,0.158448,0.251939,0.150872,0.0251952,214.768
-1170.78,0.969702,0.0863573,5,31,0,1177.92,5052.94,0.321685,0.0175043,0.139788,0.271066,0.112661,0.237872,210.253
-1172.58,0.834431,0.0863573,6,63,0,1174.18,4875.56,0.313855,0.030014,0.171261,0.324232,0.163866,0.161972,206.302
-1172.27,0.986381,0.0863573,5,31,0,1176.3,4868.55,0.349085,0.0426835,0.129079,0.272072,0.210138,0.219171,209.09
-1171.08,0.970394,0.0863573,5,63,0,1174.38,4989.43,0.335684,0.0328766,0.146673,0.284665,0.150223,0.0892135,206.826
-1171.2,0.851674,0.0863573,6,63,0,1177.43,4887.49,0.322331,0.0402829,0.180189,0.27742,0.119369,0.26888,212.504
-1172.13,0.980286,0.0863573,4,15,0,1172.5,4886.1,0.321945,0.0319203,0.191134,0.269991,0.111511,0.282447,212.029
-1175.47,0.889101,0.0863573,6,63,0,1178.55,5071.97,0.324003,-0.0211096,0.154384,0.295919,0.194295,0.0831076,202.094
-1177.27,0.99959,0.0863573,5,31,0,1184.93,5135.3,0.321887,0.0303367,0.13699,0.302763,0.135577,-0.0405742,194.967
-1173.85,0.992665,0.0863573,5,31,0,1182.05,5108.13,0.295222,0.0363552,0.178656,0.166906,0.173765,0.228277,201.057
-1174.59,0.996525,0.0863573,6,63,0,1178.58,5075.9,0.28805,0.0664755,0.172039,0.186312,0.17665,0.214192,205.24
-1171.07,0.893691,0.0863573,5,63,0,1177.04,4950.17,0.322601,0.0154231,0.174102,0.274715,0.136779,0.198273,197.711
-1171.76,0.876882,0.0863573,5,31,0,1175.15,4980.42,0.307825,0.0648618,0.166256,0.254199,0.146375,0.183047,187.278
-1174.19,0.636086,0.0863573,5,63,0,1176.75,5087.28,0.3201,0.00174747,0.15292,0.208291,0.176979,0.161954,220.769
-1173.95,0.958712,0.0863573,4,19,0,1177.4,5143.72,0.323391,-0.00503116,0.150436,0.201375,0.195607,0.153962,221.59
-1177.72,0.96372,0.0863573,6,63,0,1181.12,4794.89,0.350982,-0.0160096,0.160012,0.3479,0.142048,0.258978,216.638
-1170.19,0.997883,0.0863573,5,31,0,1180.26,4895.87,0.338027,0.0424011,0.16019,0.270955,0.182492,0.173466,197.14
-1169.68,0.96341,0.0863573,5,31,0,1171.7,4959.49,0.316273,0.034306,0.155212,0.265735,0.208277,0.159708,208.184
-1173.8,0.988936,0.0863573,5,31,0,1176.84,5192.24,0.319444,0.0378754,0.145033,0.221778,0.0572683,0.151151,191.086
-1175.79,0.99847,0.0863573,6,63,0,1180.38,4717.2,0.34859,0.0213492,0.167086,0.35704,0.25097,0.116395,205.419
-1174.72,0.990831,0.0863573,5,31,0,1178.06,4713.54,0.343757,0.0218884,0.147826,0.347374,0.267299,0.206665,210.002
-1172.17,0.87552,0.0863573,5,31,0,1177.42,4824.56,0.339482,0.0129983,0.170129,0.299651,0.199342,0.221278,219.82
-1172.36,0.991771,0.0863573,6,63,0,1175.01,4795.23,0.31885,0.0156685,0.18566,0.332154,0.183508,0.268667,208.154
-1170.78,0.96865,0.0863573,6,63,0,1175.61,5079.3,0.321213,0.044817,0.148552,0.219566,0.114818,0.198474,193.779
