# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\8hqp7nhx.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120537_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0956171
# Diagonal elements of inverse mass matrix:
# 11113.4, 0.000205276, 0.000608154, 0.000572832, 0.00152416, 0.00204871, 0.00386886, 0.00273054
-1170.79,0.908673,0.0956171,5,31,0,1172.46,5016.98,0.321251,0.0465842,0.14503,0.266654,0.178282,0.0800004,208.608
-1170.71,0.996297,0.0956171,6,63,0,1173.13,4972.21,0.314564,0.0254913,0.155701,0.248995,0.179869,0.269956,194.749
-1173.23,0.961769,0.0956171,5,31,0,1176.09,4795.61,0.349487,0.0529739,0.160241,0.283124,0.232621,0.146609,220.11
-1176.52,0.905398,0.0956171,5,31,0,1179.02,4787.03,0.364762,0.0454233,0.176849,0.280519,0.169946,0.179333,218.318
-1177.83,0.99802,0.0956171,5,31,0,1182.5,4986.43,0.294803,-0.00430547,0.13447,0.314285,0.255848,0.22746,224.254
-1178.88,0.97546,0.0956171,5,31,0,1182.51,4910.13,0.35026,0.0756194,0.17121,0.254119,0.0664397,0.186344,188.723
-1176.99,0.886515,0.0956171,5,31,0,1184.04,4956.87,0.287541,0.00809292,0.173928,0.308241,0.226657,0.224534,226.47
-1169.96,0.949517,0.0956171,5,31,0,1178.12,4899.55,0.322872,0.0339585,0.167917,0.280351,0.150376,0.230599,200.866
-1173.47,0.95968,0.0956171,5,31,0,1174.77,4786.88,0.307438,0.0375094,0.191122,0.280799,0.235918,0.259186,215.966
