# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\1rl91r9j.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120543_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0870606
# Diagonal elements of inverse mass matrix:
# 7702.68, 9.25041e-005, 0.000415844, 0.000494225, 0.00139482, 0.00148673, 0.00259638, 0.00159317
-1760.58,0.966663,0.0870606,6,63,0,1761.44,5141.97,0.288771,0.0328736,0.158677,0.271811,0.150992,0.0761008,209.786
-1761.45,0.968511,0.0870606,5,31,0,1763.16,5104.37,0.280742,0.0381835,0.181354,0.234336,0.171922,0.102117,210.32
-1763.24,0.994239,0.0870606,5,63,0,1765.8,4950.22,0.307821,0.001768,0.153067,0.295499,0.261014,0.170386,213.536
-1761.65,0.979699,0.0870606,5,63,0,1766.1,5039.23,0.2723,0.0133027,0.204476,0.292654,0.205696,0.0728046,207.162
-1764.52,0.998284,0.0870606,5,31,0,1767.81,5184.06,0.272701,0.0245399,0.145027,0.219506,0.273179,0.0656767,198.897
-1762.51,0.999541,0.0870606,5,31,0,1766.23,5238.41,0.274162,0.011679,0.155336,0.200118,0.238117,0.0683393,207.7
-1764.54,0.878027,0.0870606,5,31,0,1767.03,5280.23,0.283162,0.00178159,0.177919,0.169473,0.212406,0.0342424,202.431
-1767.77,0.924086,0.0870606,5,31,0,1770.65,5275.28,0.286708,-0.00301851,0.187859,0.135066,0.232227,0.0592073,212.435
-1769.31,0.972576,0.0870606,5,31,0,1775.31,5343.07,0.290036,0.00862542,0.155837,0.169733,0.23202,-0.0633797,227.024
-1770.42,0.988867,0.0870606,5,31,0,1771.97,5314.14,0.293575,0.021746,0.147619,0.182817,0.244309,-0.0851218,228.417
-1761.96,0.969448,0.0870606,5,63,0,1772.47,5109.79,0.290167,-0.00973627,0.183449,0.249317,0.18794,0.0906577,198.41
-1760.68,0.979754,0.0870606,5,31,0,1763.67,5128.28,0.294386,-0.00733199,0.158413,0.253943,0.231312,0.090965,204.419
-1762.45,0.998131,0.0870606,5,31,0,1767.22,5012.11,0.296378,0.00699147,0.211549,0.225324,0.264828,0.0399502,208.517
-1762.69,0.999964,0.0870606,6,63,0,1768.75,4972.51,0.293336,0.0410532,0.159228,0.312602,0.178851,0.168726,223.937
-1763.3,0.955342,0.0870606,5,63,0,1767.25,5107.11,0.293115,0.031116,0.124206,0.303904,0.200694,0.0402763,219.992
-1760.28,0.955123,0.0870606,5,31,0,1765.83,5100.39,0.287744,0.0229825,0.140329,0.28211,0.19804,0.104285,208.861
-1760.88,0.976919,0.0870606,6,63,0,1764.01,5141.62,0.288484,0.00697439,0.199006,0.230951,0.200819,0.0269437,211.44
-1768.01,0.651189,0.0870606,6,63,0,1769.98,5213.96,0.29654,0.00928306,0.137719,0.19984,0.200751,0.0536919,203.973
-1765.69,0.99368,0.0870606,6,63,0,1773.29,4803.75,0.29664,0.0347681,0.219795,0.352454,0.198821,0.118076,227.753
-1761.03,0.998809,0.0870606,5,31,0,1767.3,4909.21,0.295671,0.0322413,0.199775,0.283717,0.224322,0.118412,220.98
-1761.3,0.998917,0.0870606,5,31,0,1763.07,4911.79,0.293463,0.031283,0.209476,0.293028,0.220691,0.0994916,220.58
-1759.8,0.996028,0.0870606,5,31,0,1762.32,4990.28,0.294582,0.022505,0.164966,0.275771,0.265168,0.0889345,211.563
-1759.84,0.925194,0.0870606,6,63,0,1761.65,4986.62,0.296262,0.0147124,0.187142,0.289513,0.231597,0.0632392,219.633
-1761.4,0.847065,0.0870606,6,63,0,1763.5,4950.94,0.30453,0.0600719,0.170739,0.276204,0.208977,0.0723056,213.267
-1759.45,0.992056,0.0870606,4,31,0,1764.15,4981.53,0.296266,0.00805391,0.171592,0.306315,0.232141,0.104024,212.269
-1759.26,0.966626,0.0870606,6,63,0,1762.51,5094.22,0.291592,0.0301728,0.181154,0.249569,0.191556,0.0578219,208.042
-1763.13,0.970188,0.0870606,5,31,0,1765.9,5062.74,0.301118,0.0330909,0.180071,0.28796,0.142891,0.0313328,194.406
-1766.03,0.926702,0.0870606,5,31,0,1769.94,4988.04,0.295554,0.0366983,0.205991,0.305519,0.163541,0.0314233,189.202
-1766.41,0.99946,0.0870606,5,31,0,1769.03,4983.45,0.295644,0.0416463,0.203517,0.298612,0.15803,0.0346322,187.668
-1762.05,0.960509,0.0870606,5,31,0,1771.06,4968.56,0.316476,0.00840927,0.182702,0.269268,0.240213,0.0726622,207.893
-1759.04,0.964685,0.0870606,6,63,0,1763.27,5076.15,0.288157,0.0175696,0.181773,0.25295,0.209474,0.0675856,211.681
-1760.01,0.999274,0.0870606,5,47,0,1765.12,5064.31,0.283149,0.0224757,0.187689,0.253148,0.239925,0.0583545,216.422
-1760.07,0.943783,0.0870606,6,63,0,1763.73,5046.89,0.296877,0.018955,0.169152,0.244702,0.233561,0.128676,212.989
-1760.13,0.999695,0.0870606,6,63,0,1761.26,5075.09,0.289149,0.0187493,0.169755,0.306036,0.199926,0.0286708,203.973
-1761.38,0.949885,0.0870606,5,31,0,1763.56,5091.44,0.296106,0.0547191,0.157565,0.232982,0.214327,0.0577491,218.126
-1761.13,0.860901,0.0870606,5,31,0,1765.64,5117.29,0.283741,0.0371243,0.176502,0.276212,0.146058,0.0491666,215.881
-1759.85,0.948553,0.0870606,5,31,0,1763.31,5082.95,0.295063,0.0164147,0.182837,0.279224,0.177076,0.0265333,216.841
-1761.33,0.97256,0.0870606,5,31,0,1763.55,5052.38,0.307563,0.00368419,0.17125,0.271211,0.214673,0.056813,196.35
-1763.32,0.972413,0.0870606,5,63,0,1765.22,5052.01,0.314262,-0.0143854,0.183694,0.247841,0.190535,0.0973892,202.525
-1763.65,0.624995,0.0870606,5,63,0,1771.17,4889.36,0.296737,0.0482804,0.195477,0.2768,0.219378,0.107109,214.121
-1759.25,0.983971,0.0870606,5,31,0,1764.83,4982.61,0.291489,0.0130732,0.176455,0.2963,0.24058,0.0927686,207.127
-1760.21,0.967272,0.0870606,5,31,0,1760.74,5004.45,0.286173,0.00922993,0.181269,0.292541,0.255952,0.0853812,204.706
-1763.43,0.994228,0.0870606,5,31,0,1764.67,5069.97,0.304627,0.0514285,0.186811,0.206179,0.157115,0.0900206,208.199
-1764.28,0.997254,0.0870606,6,63,0,1767.26,5156.13,0.293901,-0.0377387,0.155589,0.308302,0.22151,0.00407567,212.692
-1765.84,0.996798,0.0870606,5,63,0,1778.29,4921.62,0.308263,-0.0329687,0.196941,0.290503,0.280532,0.1125,210.564
