# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\1rl91r9j.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120543_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0734841
# Diagonal elements of inverse mass matrix:
# 7889.86, 0.000116851, 0.000476518, 0.000461211, 0.00108163, 0.00135224, 0.00267248, 0.00186367
-1761.45,0.97511,0.0734841,6,63,0,1768.36,4982.54,0.299467,0.030542,0.17881,0.332941,0.183182,0.0216799,213.873
-1760.71,0.892521,0.0734841,6,63,0,1764.89,5072.58,0.296734,0.000722981,0.179553,0.224642,0.224368,0.13331,206.584
-1761.05,0.966331,0.0734841,6,63,0,1763.39,4978.22,0.296083,0.0346499,0.165203,0.327004,0.20068,0.0457082,216.542
-1760.33,0.977929,0.0734841,6,63,0,1765.51,5044.9,0.285732,0.0287946,0.17461,0.242758,0.235655,0.131623,201.498
-1760.81,0.948534,0.0734841,6,63,0,1762.99,5122.62,0.298349,-0.00835981,0.178375,0.277914,0.162267,0.0508792,217.989
-1762.78,0.994357,0.0734841,5,63,0,1765.84,5216.28,0.276205,0.0343083,0.182369,0.189793,0.190665,0.0346659,206.192
-1762.67,0.888655,0.0734841,5,31,0,1768.72,5224.42,0.28873,-0.0115879,0.15116,0.233068,0.169171,0.105546,222.72
-1764.22,0.990116,0.0734841,5,63,0,1766.75,5178.04,0.303497,-0.0318295,0.162368,0.231177,0.218198,0.0436059,219.445
-1762.02,0.998878,0.0734841,5,63,0,1766.7,5115.94,0.307614,-0.0124287,0.154175,0.250619,0.200978,0.106082,217.927
-1762.3,0.961939,0.0734841,6,63,0,1766.23,5072.61,0.281582,0.011106,0.165258,0.292103,0.171028,0.158196,195.668
-1761.89,0.902188,0.0734841,5,31,0,1764.7,5059.43,0.284589,0.0136818,0.160656,0.280111,0.203977,0.125776,195.361
-1762.52,0.999395,0.0734841,6,63,0,1767.73,5046.83,0.284596,0.0187068,0.158878,0.292513,0.209896,0.153733,193.873
-1763.01,0.996401,0.0734841,6,63,0,1766.19,4965.6,0.286475,0.0452674,0.197669,0.306282,0.228363,0.0239133,222.688
-1763.98,0.947744,0.0734841,6,63,0,1767.93,4878.31,0.308849,0.0145143,0.216046,0.264133,0.225191,0.122453,202.856
-1761.88,0.999914,0.0734841,6,63,0,1767.59,5030.66,0.307287,0.0385331,0.167394,0.243301,0.247554,0.0357966,199.636
-1761.72,0.832269,0.0734841,6,63,0,1767.99,4990.86,0.287801,0.0337801,0.180506,0.269819,0.186763,0.164397,219.165
-1762.53,0.996812,0.0734841,5,63,0,1766.91,4989.29,0.284291,0.0215139,0.191607,0.26711,0.209882,0.168224,227.062
-1762.21,0.993328,0.0734841,6,63,0,1766.05,5122.79,0.291979,0.0196172,0.178337,0.261243,0.171129,0.0240903,229.8
-1761.61,0.884728,0.0734841,6,63,0,1767.12,4928.91,0.295241,0.0275988,0.170957,0.320726,0.195465,0.146396,201.027
-1760.77,0.77301,0.0734841,6,63,0,1765.9,5060.74,0.293944,0.0188515,0.185714,0.249574,0.240692,0.0413601,221.906
-1760.19,0.833402,0.0734841,6,63,0,1765.64,5143.06,0.286595,0.0120713,0.159465,0.273044,0.176278,0.0913704,199.264
-1760.41,0.989747,0.0734841,6,63,0,1763.49,5040.59,0.301417,0.00341931,0.168532,0.264825,0.254223,0.0556107,202.333
-1762.17,0.888186,0.0734841,6,63,0,1768.32,4982.95,0.298042,0.00822997,0.187176,0.320254,0.156572,0.089145,214.911
-1760.03,0.982355,0.0734841,5,31,0,1762.94,4965.49,0.296168,0.0255648,0.177778,0.307903,0.22427,0.0970272,211.02
-1759.98,0.942725,0.0734841,5,39,0,1763.31,4994.2,0.291745,0.0291606,0.192588,0.280351,0.222431,0.0790056,211.948
-1759.99,0.989236,0.0734841,6,63,0,1761.66,5112.89,0.295355,0.0141149,0.158714,0.264176,0.191231,0.104209,208.576
-1762.26,0.861207,0.0734841,5,39,0,1763.89,5074.09,0.286931,0.0215825,0.179895,0.252106,0.224913,0.116951,208.547
-1761.74,0.998763,0.0734841,6,63,0,1764.81,5062.74,0.298424,-0.00837457,0.161078,0.283541,0.224812,0.0560658,209.762
-1759.9,0.983396,0.0734841,6,63,0,1763.25,5057.54,0.283993,0.039793,0.180392,0.267962,0.179584,0.101,210.433
-1760.82,0.999866,0.0734841,6,63,0,1762.14,5147.84,0.294491,0.00285469,0.167381,0.215406,0.246185,0.0501733,214.271
-1761.7,0.955148,0.0734841,6,63,0,1764.47,5116.61,0.286223,-0.00506363,0.181129,0.231609,0.236412,0.0826726,195.399
-1762.43,0.971812,0.0734841,6,63,0,1765.26,4940.21,0.299269,0.038957,0.172913,0.328872,0.184211,0.0744873,224.536
-1761.1,0.999206,0.0734841,6,63,0,1764.45,4967.17,0.294489,-0.00151798,0.181124,0.27776,0.249854,0.151492,203.56
-1761.38,0.999974,0.0734841,6,63,0,1763.89,5177.2,0.293401,0.0194143,0.174345,0.255475,0.178434,-0.0369237,210.245
-1759.74,0.981819,0.0734841,6,63,0,1763.12,5021.35,0.280348,0.0260939,0.181478,0.287809,0.223702,0.101602,207.351
-1761.32,0.991888,0.0734841,5,31,0,1764.02,4946.27,0.294241,0.0420984,0.174254,0.271476,0.210002,0.174567,204.923
-1760.74,0.99894,0.0734841,6,63,0,1764.15,5071.22,0.293871,-0.00223254,0.196494,0.271003,0.225743,0.0113317,211.547
-1761.22,0.999835,0.0734841,6,63,0,1763.33,5095.57,0.284318,0.0119941,0.174732,0.294363,0.141492,0.123528,202.48
-1762.02,0.993715,0.0734841,6,63,0,1765.07,5222.89,0.278165,-0.0161663,0.154387,0.27514,0.214617,0.0134429,214.854
-1762.83,0.995112,0.0734841,6,63,0,1766.11,5148.6,0.273486,0.0286304,0.141288,0.240853,0.246288,0.10988,201.603
-1762.39,0.910766,0.0734841,6,63,0,1768.11,4961.07,0.310583,0.0135436,0.203841,0.285953,0.200778,0.0567615,221.689
-1764.29,0.967035,0.0734841,6,63,0,1768.3,4981.64,0.28851,0.00572265,0.166311,0.321398,0.170444,0.228848,220.717
-1763.88,0.98701,0.0734841,5,31,0,1766.92,4967.27,0.304067,0.00803311,0.179412,0.289213,0.162733,0.219066,218.176
-1762.44,0.945156,0.0734841,5,31,0,1765.97,4919.53,0.301743,0.0225604,0.19572,0.2979,0.177932,0.181017,216.524
-1761.17,0.999057,0.0734841,6,63,0,1766.99,5097.56,0.287132,0.0216141,0.153836,0.280784,0.244784,-0.00195639,208.073
-1763.05,0.999956,0.0734841,5,31,0,1764.4,5092.8,0.282911,0.0231962,0.150456,0.264444,0.290122,0.00968934,218.306
-1761.86,0.924589,0.0734841,6,63,0,1766.94,5221.65,0.295006,0.00385191,0.147119,0.243428,0.171305,0.0713838,204.169
-1762.53,0.955701,0.0734841,5,31,0,1766.2,5249.68,0.298442,0.0112574,0.132351,0.243711,0.15446,0.0435621,207.954
-1763.64,0.831473,0.0734841,5,31,0,1768.82,5152.69,0.297715,0.047715,0.136111,0.271563,0.131688,0.0560719,213.28
-1764.21,0.9118,0.0734841,6,63,0,1768.56,5136.57,0.277335,-0.0193737,0.208692,0.211772,0.245979,0.0632262,213.53
-1763.47,0.813183,0.0734841,4,23,0,1767.91,5120.08,0.283803,0.00298614,0.178543,0.228667,0.217435,0.0708881,220.638
-1760.77,0.896336,0.0734841,5,63,0,1773.89,5117.67,0.281581,0.017339,0.189569,0.227243,0.205953,0.0822896,220.529
-1766.6,0.995907,0.0734841,5,31,0,1768.18,5199.26,0.304085,-0.00367134,0.144631,0.1775,0.217351,0.146222,200.707
-1767.83,0.999345,0.0734841,5,31,0,1770.49,5210.17,0.303341,-0.00648883,0.142772,0.169067,0.218867,0.154924,200.925
-1765.39,0.997105,0.0734841,5,31,0,1772.33,5227.32,0.305792,0.0168578,0.120695,0.195865,0.203769,0.0893349,205.553
-1760.76,0.999195,0.0734841,5,31,0,1767.06,5177.06,0.285406,-0.00467579,0.154459,0.228219,0.235403,0.0894405,209.568
-1760.82,0.933584,0.0734841,6,63,0,1763.7,4976.81,0.290626,0.0209279,0.204381,0.308318,0.206633,0.0472782,209.16
-1760.77,0.969739,0.0734841,6,63,0,1763.22,4997.66,0.295826,0.0215544,0.150087,0.283642,0.234974,0.135741,212.303
-1762.33,0.979454,0.0734841,6,63,0,1763.37,5137.66,0.286185,0.00945973,0.196773,0.247616,0.169297,0.00488827,202.589
-1761.06,0.996866,0.0734841,6,63,0,1766.08,4966.29,0.294914,0.0138474,0.156049,0.323059,0.227187,0.143516,219.351
-1764.66,0.90808,0.0734841,6,63,0,1766.01,4881.25,0.308179,0.0248245,0.207748,0.313844,0.191775,0.0540302,199.974
-1761.59,0.993907,0.0734841,6,63,0,1766.7,4976.96,0.294333,0.0346421,0.145239,0.294272,0.230458,0.142272,206.667
-1761.66,0.99956,0.0734841,6,63,0,1765.87,4966.97,0.297712,-0.00191597,0.203095,0.324073,0.183103,0.0757515,217.856
-1761.66,0.982862,0.0734841,6,63,0,1767.42,5024,0.291379,0.0562701,0.15111,0.246438,0.250835,0.0972465,206.665
-1762.43,0.935098,0.0734841,5,63,0,1765.21,5124.71,0.28585,0.0345797,0.135306,0.228258,0.253702,0.0957023,209.119
-1766.27,0.98141,0.0734841,5,31,0,1768.23,5133.81,0.305461,0.0440813,0.119362,0.202235,0.249023,0.116815,207.553
-1767.88,0.952405,0.0734841,6,63,0,1771.17,4990.01,0.275273,-0.0142956,0.219322,0.362539,0.169757,0.027876,216.87
-1760.88,0.913931,0.0734841,5,63,0,1771.98,4957,0.28647,0.0430053,0.165533,0.319712,0.205851,0.12359,205.596
-1762.16,0.995838,0.0734841,5,63,0,1767.15,5109.31,0.301122,0.0353202,0.134369,0.233338,0.198186,0.140582,208.939
-1761.98,0.998229,0.0734841,5,63,0,1769.27,5120.05,0.294923,0.00295468,0.139156,0.296155,0.242938,0.00692376,210.336
-1761.8,0.993215,0.0734841,6,63,0,1763.69,5022.47,0.287459,0.0283712,0.206159,0.252554,0.167531,0.143117,208.734
-1760.68,0.950493,0.0734841,6,63,0,1765.71,5092.7,0.298491,0.00581789,0.171295,0.293836,0.143935,0.0917544,212.407
-1759.96,0.998316,0.0734841,5,63,0,1762.37,5023.85,0.294629,0.025909,0.156208,0.274704,0.257939,0.0757603,202.596
-1760.43,0.962804,0.0734841,5,63,0,1761.58,5027.58,0.290252,0.0249863,0.198984,0.278543,0.185201,0.0674079,219.951
-1764.24,0.916698,0.0734841,5,31,0,1768.07,4944.09,0.286813,0.0103053,0.200049,0.292577,0.201025,0.2167,212.515
-1765.56,0.999779,0.0734841,6,63,0,1769.04,4915.66,0.282758,0.0157496,0.20217,0.253693,0.253627,0.223645,219.948
-1763.47,0.898651,0.0734841,5,31,0,1769.34,4948.66,0.292011,0.0249177,0.185664,0.267656,0.253026,0.16938,227.89
-1765.53,0.893675,0.0734841,5,31,0,1767.97,4996.47,0.281723,0.0354714,0.178542,0.254861,0.253972,0.189981,215.021
-1762.67,0.999687,0.0734841,6,63,0,1767.53,5070.27,0.307663,0.00580344,0.175645,0.287245,0.190123,-0.0242751,207.497
-1760.05,0.972766,0.0734841,6,63,0,1765.35,5076.69,0.297051,0.0354912,0.154379,0.266001,0.175128,0.110855,203.855
-1763.99,0.89966,0.0734841,5,31,0,1766.37,5091.31,0.303941,0.0270003,0.179666,0.190452,0.192194,0.109134,199.099
-1763.52,0.999895,0.0734841,6,63,0,1768.01,4955.86,0.282143,0.0215045,0.174468,0.350713,0.248769,0.0448746,225.091
-1760.28,0.896511,0.0734841,6,63,0,1766.19,4900.69,0.300561,0.0195332,0.196938,0.292627,0.234203,0.120486,213.899
-1761.32,0.731126,0.0734841,4,31,0,1766.84,4869.65,0.302315,0.0334108,0.209787,0.303077,0.216454,0.0950728,215.243
-1760.93,0.996068,0.0734841,6,63,0,1767.2,5098.27,0.281645,0.00890415,0.157145,0.314679,0.168345,0.102236,201.802
-1762.23,0.984477,0.0734841,5,63,0,1764.29,4997.02,0.307193,0.0312536,0.206598,0.254992,0.192656,0.0359136,221.97
-1763.04,0.995488,0.0734841,6,63,0,1767.15,5130.99,0.288315,-0.0374746,0.161573,0.302987,0.17845,0.128049,213.373
-1764.19,0.98935,0.0734841,5,63,0,1766.75,5080.05,0.281535,0.0673763,0.179108,0.263561,0.206498,-0.0334381,209.627
-1762.43,0.902221,0.0734841,6,63,0,1767.94,5155.06,0.29049,0.00533674,0.18949,0.232094,0.223784,0.00154817,221.178
-1759.61,0.996724,0.0734841,5,31,0,1763.29,5104.61,0.289814,0.0216724,0.183909,0.267568,0.189624,0.0228012,212.052
-1762.92,0.958223,0.0734841,5,63,0,1764.02,5104.6,0.296811,-0.0164326,0.166849,0.298764,0.146351,0.0942332,220.406
-1762.19,0.995034,0.0734841,6,63,0,1764.73,5055,0.282301,0.056373,0.179418,0.235376,0.249148,0.0439874,201.853
-1762.67,0.995382,0.0734841,6,63,0,1765.52,5063.87,0.30567,-0.0200297,0.174148,0.299035,0.160407,0.114273,219.548
-1763.54,0.920767,0.0734841,6,63,0,1768.19,5107.44,0.276519,0.00264929,0.203109,0.228617,0.239959,0.0946069,203.837
-1763.54,0.970431,0.0734841,5,63,0,1767.34,5170.32,0.274479,0.00261037,0.194827,0.232591,0.23408,0.0334708,205.086
-1761.22,0.965591,0.0734841,6,63,0,1766.6,5134.41,0.288718,-0.00422778,0.190055,0.277269,0.180916,-0.00531359,201.79
-1762.37,0.991251,0.0734841,6,63,0,1765.77,5257.74,0.272637,-0.0102886,0.178323,0.224715,0.1765,0.0646167,216.058
-1761.82,0.993061,0.0734841,6,63,0,1766.41,4989.16,0.297575,0.0172916,0.147712,0.326428,0.256403,0.0419213,212.268
-1763.12,0.991789,0.0734841,5,63,0,1768.05,5090.54,0.289726,0.00624818,0.134607,0.301825,0.259054,0.044476,224.325
-1763.47,0.92174,0.0734841,6,63,0,1768.65,5038.42,0.299077,0.0507205,0.169575,0.27405,0.139384,0.083945,201.001
-1761.24,0.999937,0.0734841,5,63,0,1765.45,5096.45,0.304627,0.00615141,0.178957,0.245515,0.227109,0.022963,210.213
-1761.87,0.954337,0.0734841,6,63,0,1764.54,4857.33,0.290877,0.0485544,0.185759,0.31674,0.229356,0.15508,212.084
-1765.65,0.998399,0.0734841,6,63,0,1767.6,4933.35,0.298009,-0.0249647,0.161298,0.369131,0.202072,0.180975,213.996
-1769.52,0.930647,0.0734841,6,63,0,1773.67,5186.65,0.289835,0.0848945,0.172201,0.188302,0.169047,-0.0470093,222.491
-1765.26,0.995803,0.0734841,6,63,0,1773.94,5057.5,0.295969,0.0796795,0.182697,0.252562,0.177406,-0.0185226,212.893
