# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\dr1vc1q_.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120551_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.076137
# Diagonal elements of inverse mass matrix:
# 5628.95, 7.93413e-005, 0.000302622, 0.000327117, 0.000811778, 0.000958799, 0.00180815, 0.00141075
-2326.01,0.993723,0.076137,5,31,0,2327.83,4867.94,0.311623,0.0581957,0.21563,0.270586,0.0967039,0.179461,187.615
-2326.45,0.933663,0.076137,6,63,0,2330.13,4912.91,0.310116,0.0356152,0.236125,0.238526,0.133806,0.105115,215.51
-2324.52,0.991649,0.076137,6,63,0,2328.86,4940.36,0.309492,0.0558362,0.212544,0.246818,0.132299,0.128491,184.495
-2326.72,0.890348,0.076137,5,31,0,2328.51,4953.77,0.310409,0.0594284,0.207814,0.248646,0.113939,0.0777646,185.694
-2325.84,0.998255,0.076137,6,63,0,2331.12,4854.18,0.303723,0.0545149,0.251528,0.21413,0.135731,0.186768,202.416
-2325.58,0.986111,0.076137,6,63,0,2327.04,4872.64,0.303529,0.0596951,0.25097,0.221796,0.133082,0.202808,202.543
-2326.16,0.997504,0.076137,6,63,0,2329.18,5072.31,0.30694,0.0438359,0.201472,0.233934,0.116829,0.0561519,196.517
-2323.6,0.896189,0.076137,6,63,0,2329.89,4843.33,0.307391,0.0789629,0.242257,0.23113,0.132806,0.180215,199.926
-2324.91,0.913368,0.076137,6,63,0,2327.92,4810.24,0.308335,0.0621131,0.237172,0.275189,0.142393,0.114163,199.266
-2327.17,0.984789,0.076137,5,31,0,2329.94,4831.23,0.315943,0.0513553,0.280493,0.23062,0.125106,0.109943,206.931
