# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\dr1vc1q_.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120551_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0937143
# Diagonal elements of inverse mass matrix:
# 5389.68, 9.50773e-005, 0.000282455, 0.000301714, 0.000778625, 0.000971499, 0.00163546, 0.00112122
-2325.56,0.817056,0.0937143,6,63,0,2330.88,4894.56,0.298169,0.0620362,0.266471,0.253712,0.0695225,0.134583,201.512
-2326.06,0.869423,0.0937143,6,63,0,2330.36,4927.8,0.316802,0.0824341,0.205513,0.195026,0.164045,0.0970334,202.763
-2327.21,0.973337,0.0937143,5,31,0,2330.56,4919.52,0.297899,0.0491388,0.238273,0.266602,0.0544967,0.207461,205.009
-2324.54,0.996827,0.0937143,5,31,0,2330.52,4920.11,0.29952,0.0626589,0.22175,0.266245,0.0842828,0.171791,190.594
-2322.21,0.993351,0.0937143,5,31,0,2326.43,4998.23,0.298905,0.0528879,0.234193,0.200078,0.121501,0.13151,201.004
-2323.57,0.899728,0.0937143,5,31,0,2326.73,4861.43,0.312136,0.0681508,0.217199,0.24055,0.128803,0.194464,207.287
-2327.17,0.855289,0.0937143,5,63,0,2330.03,4971.96,0.325734,0.0510146,0.207116,0.20682,0.0756446,0.158087,200.791
-2325.12,0.998903,0.0937143,5,63,0,2330.93,4851.51,0.299555,0.0904793,0.22628,0.229528,0.167958,0.164209,206.093
-2322.2,0.813137,0.0937143,6,63,0,2329.4,4975.37,0.305418,0.0422061,0.226503,0.249176,0.115636,0.0873851,196.164
-2322.75,0.998283,0.0937143,6,63,0,2323.91,4887.26,0.30661,0.0698896,0.23554,0.216387,0.133505,0.177327,205.439
-2324.24,0.844517,0.0937143,5,31,0,2328.8,4905.55,0.320756,0.0497874,0.25055,0.203147,0.138499,0.0937485,194.573
-2322.8,0.989761,0.0937143,6,63,0,2327.83,4973.55,0.299123,0.0531774,0.222423,0.244094,0.0839159,0.153965,199.682
-2321.57,0.979767,0.0937143,5,31,0,2324.3,4937.86,0.30548,0.0664087,0.232669,0.230196,0.111695,0.119164,203.171
-2322.14,0.644752,0.0937143,4,27,0,2326.58,4900.04,0.317003,0.0624609,0.237108,0.226592,0.102206,0.137598,201.622
-2324.59,0.947197,0.0937143,5,31,0,2326.33,4938.29,0.302689,0.0830166,0.213811,0.257226,0.123908,0.0703811,206.975
-2322.94,0.955947,0.0937143,6,63,0,2327.31,4953.64,0.316068,0.0477223,0.226962,0.190443,0.127993,0.158635,196.75
-2322.79,0.829799,0.0937143,5,31,0,2325.06,4982.95,0.297238,0.0558473,0.22873,0.227521,0.129228,0.117032,194.621
-2323.75,0.948121,0.0937143,5,63,0,2327.26,4850.67,0.30535,0.0715017,0.232698,0.251488,0.143522,0.117661,190.251
-2322.88,0.993885,0.0937143,5,31,0,2327.54,4919.77,0.317084,0.0544306,0.217373,0.218641,0.159869,0.103146,193.754
-2323.09,0.976111,0.0937143,5,31,0,2325.11,5049.25,0.3013,0.0330416,0.220223,0.22684,0.0998339,0.107102,196.844
-2322.65,0.998498,0.0937143,4,31,0,2328.67,5038.8,0.301696,0.0343505,0.220987,0.224742,0.103039,0.113265,198.039
-2326.25,0.781261,0.0937143,5,31,0,2328.77,5124.85,0.298394,0.0625785,0.216703,0.175775,0.113471,0.0250327,199.531
-2322.57,0.984134,0.0937143,5,31,0,2328.74,4975.81,0.298638,0.0671268,0.233626,0.203604,0.105541,0.144377,192.851
-2323.3,0.994058,0.0937143,5,31,0,2326.37,4895.3,0.312944,0.0655149,0.231185,0.214684,0.151699,0.120545,211.247
-2323.52,0.999573,0.0937143,6,63,0,2325.72,4940.31,0.300172,0.0706012,0.252967,0.234707,0.0881192,0.0772533,200.28
-2324.43,0.899584,0.0937143,5,63,0,2327.3,4949.14,0.297102,0.0717287,0.240281,0.257972,0.0763911,0.101536,195.597
-2325.4,0.951584,0.0937143,6,63,0,2330.28,4866.48,0.31447,0.0434213,0.223693,0.221056,0.182025,0.199408,205.185
-2326.61,0.960776,0.0937143,5,63,0,2329.74,4938.39,0.311937,0.0388431,0.226946,0.180003,0.16367,0.174757,209.851
-2328.03,0.994176,0.0937143,5,63,0,2333.06,4858.18,0.314028,0.103916,0.209311,0.253278,0.151414,0.0668366,210.391
-2327.57,0.94966,0.0937143,5,63,0,2333.61,4937.18,0.310852,0.0546282,0.23267,0.208744,0.0691857,0.236395,190.41
-2324.72,0.980944,0.0937143,5,63,0,2330.56,5014.28,0.300269,0.0606304,0.217927,0.186169,0.169033,0.097523,206.841
-2324.4,0.991753,0.0937143,6,63,0,2327.29,4844.59,0.315035,0.0571084,0.236358,0.280639,0.0970558,0.136614,189.727
-2325.63,0.85342,0.0937143,5,31,0,2330.04,4983.26,0.306841,0.0298097,0.209135,0.226671,0.181414,0.106214,210.311
-2324.92,0.992748,0.0937143,5,63,0,2328.19,5027.91,0.306528,0.0288814,0.210178,0.2305,0.144737,0.0567719,206.012
-2325.61,0.992064,0.0937143,5,63,0,2329.14,4969.45,0.314786,0.0747704,0.201364,0.19029,0.151943,0.130816,211.574
-2324.36,0.971558,0.0937143,5,31,0,2327.58,4955.58,0.316834,0.0817134,0.212495,0.187405,0.127364,0.126296,206.559
-2325.7,0.980659,0.0937143,5,31,0,2327.15,4928.61,0.317531,0.0993068,0.216461,0.197772,0.100836,0.138205,203.859
-2325.45,0.921962,0.0937143,5,31,0,2328.38,4916.24,0.317917,0.0935492,0.211471,0.194052,0.130593,0.154809,198.115
-2326.06,1,0.0937143,6,63,0,2329.92,4846.83,0.299972,0.0291589,0.256237,0.285685,0.142291,0.113929,202.428
-2322.53,0.959217,0.0937143,5,31,0,2327.36,4850.4,0.315445,0.0552887,0.224824,0.259684,0.155767,0.120397,203.06
-2323.62,0.680967,0.0937143,6,63,0,2328.33,4961.57,0.30364,0.0620096,0.232383,0.212634,0.102417,0.157289,185.981
-2322.96,0.977729,0.0937143,5,31,0,2326.74,4901.8,0.307449,0.0383258,0.242202,0.247516,0.118852,0.135521,190.618
-2324.13,0.882611,0.0937143,5,31,0,2326.48,4913.75,0.314771,0.0283566,0.24929,0.231815,0.136275,0.102805,193.541
-2323.14,0.999479,0.0937143,5,31,0,2327.03,4971.2,0.30944,0.0512784,0.197762,0.236472,0.157135,0.100154,198.206
-2327.94,0.659165,0.0937143,5,31,0,2331.17,4962.61,0.307996,0.0431065,0.235112,0.222102,0.186162,0.0486581,203.454
-2327.33,0.770099,0.0937143,5,63,0,2333.53,4831.5,0.303571,0.0755381,0.248553,0.238068,0.097097,0.18338,192.97
-2326.06,0.982027,0.0937143,5,31,0,2334.53,4974.2,0.294347,0.0412258,0.244283,0.241515,0.0945668,0.138601,184.395
-2323.34,0.999878,0.0937143,5,31,0,2328.2,4992.99,0.303597,0.0609234,0.215846,0.233608,0.105455,0.101275,211.412
-2323.13,0.85036,0.0937143,5,63,0,2326.68,4954.43,0.302098,0.0424293,0.22613,0.271052,0.11787,0.0808785,197.307
