# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\t3f9g_91.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120558_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0666332
# Diagonal elements of inverse mass matrix:
# 5099.07, 8.14993e-005, 0.000262954, 0.000321538, 0.000818013, 0.000891764, 0.00163144, 0.000893569
-2939.02,0.974393,0.0666332,6,63,0,2945.2,4881.07,0.296313,0.0413174,0.198698,0.233466,0.281118,0.223553,222.859
-2942.53,0.999371,0.0666332,6,63,0,2949.2,4907.87,0.287629,0.00905628,0.198436,0.273244,0.244303,0.196118,240.036
-2930.06,0.998153,0.0666332,5,31,0,2943.87,4926.13,0.302116,0.0528255,0.196523,0.259072,0.156729,0.184701,211.123
-2930.16,0.966168,0.0666332,6,63,0,2932.71,4856.76,0.3001,0.0411858,0.236223,0.256396,0.216447,0.14381,209.94
-2932.93,0.964454,0.0666332,6,63,0,2936.46,4831.99,0.300257,0.00969489,0.234227,0.284281,0.236347,0.157521,212.253
-2933.02,0.999882,0.0666332,6,63,0,2934.65,4819.06,0.303448,0.0131511,0.235011,0.278303,0.24313,0.159744,210.823
-2932.17,0.970675,0.0666332,6,63,0,2935.49,4942.05,0.294107,0.0779505,0.197889,0.262814,0.138375,0.151964,210.455
-2931.21,0.981707,0.0666332,6,63,0,2935.29,4989.54,0.293771,0.015417,0.212436,0.264815,0.198098,0.0916739,204.579
-2930.81,0.982904,0.0666332,6,63,0,2936.19,4915.07,0.292331,0.0545043,0.21448,0.263264,0.151319,0.207747,217.628
-2930.13,0.997827,0.0666332,6,63,0,2933.96,4952.58,0.294139,0.0552035,0.22458,0.23792,0.14883,0.147278,207.174
-2931.85,0.923758,0.0666332,5,63,0,2935.21,4970.12,0.284546,0.0383059,0.229561,0.253503,0.191133,0.119389,216.341
-2931.64,0.968982,0.0666332,5,31,0,2933.75,4944.63,0.282006,0.0410721,0.23503,0.257118,0.194615,0.124029,214.283
-2936.52,0.986941,0.0666332,5,63,0,2941.41,5076.86,0.303221,0.00844459,0.213489,0.204995,0.192884,0.0787045,225.412
-2937.44,0.95045,0.0666332,5,31,0,2941.51,5085.78,0.302378,0.0104037,0.207838,0.19719,0.195049,0.0776633,228.935
-2933.96,0.967046,0.0666332,6,63,0,2940.88,4827.43,0.296265,0.0745568,0.218077,0.291284,0.158109,0.200806,197.767
-2933.89,0.965845,0.0666332,6,63,0,2940.19,4879.26,0.305327,-0.00347422,0.232882,0.273414,0.206979,0.160979,208.554
-2930.25,0.983586,0.0666332,6,63,0,2935.82,4960.9,0.288527,0.0222398,0.211328,0.269608,0.213437,0.120294,210.97
-2929.94,0.913218,0.0666332,6,63,0,2933.24,4872.75,0.302128,0.0456893,0.20676,0.278421,0.195676,0.148056,202.629
-2930.58,0.997463,0.0666332,6,63,0,2932.85,4958.75,0.28971,0.0542527,0.225752,0.255106,0.136373,0.142456,206.743
-2930.99,0.967833,0.0666332,6,63,0,2932.97,4978.53,0.288367,0.0540973,0.202775,0.276689,0.143843,0.117619,212.158
-2930.02,0.986195,0.0666332,6,63,0,2933.28,4893.37,0.307254,0.0497238,0.213061,0.241918,0.187645,0.181908,205.315
-2932.16,0.987931,0.0666332,6,63,0,2934.07,5022.54,0.287264,0.00592893,0.211962,0.268159,0.157201,0.146884,214.759
-2934.48,0.991733,0.0666332,5,31,0,2937.79,5081.28,0.282548,0.0223671,0.202102,0.244297,0.111012,0.189016,207.992
-2932.51,0.997883,0.0666332,6,63,0,2940.09,4910.04,0.307405,0.0760982,0.220912,0.241277,0.144968,0.119857,209.673
-2932.3,0.990402,0.0666332,5,63,0,2934.89,4818.89,0.294942,0.0257459,0.221027,0.287709,0.210624,0.235373,209.303
-2932.94,0.993483,0.0666332,6,63,0,2936.39,4911.07,0.302346,0.0641092,0.199588,0.248593,0.226214,0.101963,200.65
-2933.96,0.953136,0.0666332,6,63,0,2937.49,4932.57,0.29126,0.0178314,0.232468,0.269907,0.132719,0.202098,219.444
-2931.12,0.984854,0.0666332,5,31,0,2937.76,4934.58,0.298847,0.0251827,0.233605,0.256304,0.145412,0.17729,215.566
-2935.78,0.92404,0.0666332,5,31,0,2939.99,4986.24,0.307941,0.0280164,0.230852,0.22787,0.111653,0.166207,225.757
-2931.69,0.986684,0.0666332,6,63,0,2938.27,4960.66,0.290939,0.057464,0.233654,0.241797,0.166013,0.101097,215.45
-2931.17,0.999941,0.0666332,5,63,0,2933.25,4956.23,0.293128,0.012911,0.19966,0.269382,0.198857,0.175522,205.517
-2931.53,0.995582,0.0666332,6,63,0,2935.58,4942.1,0.297514,0.0503356,0.193384,0.294758,0.171802,0.0891011,212.432
-2931.13,0.995758,0.0666332,6,63,0,2934.09,4911.32,0.289535,0.0367107,0.237168,0.231042,0.196443,0.192136,208.984
-2932.11,0.952155,0.0666332,6,63,0,2937.34,4906.38,0.296669,0.051593,0.24178,0.212912,0.191913,0.170238,216.658
-2931.41,0.999448,0.0666332,6,63,0,2934.37,4935.51,0.296467,0.0596019,0.23541,0.227356,0.162472,0.128306,217.144
-2934.75,0.996083,0.0666332,6,63,0,2938.32,4891.14,0.290923,0.0593944,0.181598,0.310718,0.15166,0.225427,221.502
-2934.07,0.994813,0.0666332,6,63,0,2938.02,4973.99,0.302383,0.0284358,0.23679,0.210373,0.201279,0.0835908,200.328
