# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\t3f9g_91.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120558_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0723979
# Diagonal elements of inverse mass matrix:
# 4998.95, 6.84072e-005, 0.000260153, 0.000227642, 0.000813427, 0.000927153, 0.00193991, 0.00106647
-2932.47,0.911544,0.0723979,5,31,0,2935.12,4923.83,0.30628,0.0601086,0.19493,0.286671,0.14224,0.142128,203.283
-2929.87,0.940508,0.0723979,5,31,0,2934.38,4959.89,0.29067,0.0427224,0.214053,0.237995,0.176019,0.161963,208.902
-2930.4,0.989242,0.0723979,5,63,0,2933.28,4935.96,0.296768,0.0545611,0.222106,0.252928,0.138334,0.174491,206.157
-2930.52,0.999638,0.0723979,6,63,0,2931.34,4954.34,0.29561,0.0213072,0.209486,0.250493,0.223653,0.118993,211.913
-2933.06,0.97679,0.0723979,6,63,0,2935.49,4814.68,0.310145,0.0731541,0.224024,0.261802,0.158258,0.175987,204.118
-2933.02,0.977152,0.0723979,6,63,0,2938.59,4972.73,0.276931,0.0376757,0.212084,0.239694,0.220274,0.156387,206.738
-2932.03,0.999994,0.0723979,5,63,0,2934.82,5011.59,0.277964,0.0343236,0.204316,0.24213,0.204411,0.139866,210.911
-2932.09,0.998706,0.0723979,6,63,0,2935.43,4881.28,0.311752,0.040821,0.218027,0.295471,0.139818,0.136005,209.225
-2933.73,0.999229,0.0723979,6,63,0,2937.38,5005.72,0.276518,0.0472188,0.201996,0.217456,0.222351,0.17445,211.14
-2935.46,0.994327,0.0723979,6,63,0,2942.37,5013.1,0.305198,-0.00785353,0.210805,0.249455,0.162596,0.142288,222.199
-2935.78,0.873476,0.0723979,6,63,0,2941.39,4957.77,0.298128,-0.00628009,0.215462,0.299786,0.152077,0.136049,215.262
-2933.02,0.99955,0.0723979,6,63,0,2940.09,4984.89,0.292515,0.0157016,0.199299,0.276761,0.2065,0.129436,222.445
-2931.27,0.999047,0.0723979,5,31,0,2934.07,5005.37,0.288389,0.0356079,0.202287,0.264201,0.193671,0.104932,218.04
-2929.76,0.945218,0.0723979,6,63,0,2933.45,4964.09,0.296605,0.0425012,0.217621,0.267353,0.164373,0.0928396,210.103
-2930.17,0.924112,0.0723979,6,63,0,2931.67,4899.78,0.296909,0.0432496,0.210889,0.286354,0.195795,0.142245,213.966
