# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:06:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\wkqo1mwz.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120606_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0726463
# Diagonal elements of inverse mass matrix:
# 4163.95, 7.04812e-005, 0.000225939, 0.000242193, 0.000483607, 0.000775981, 0.00106821, 0.000804871
-3507.46,0.999947,0.0726463,6,63,0,3511,5085.25,0.305533,0.0595118,0.182541,0.250289,0.119155,-0.000379692,205.283
-3509.28,0.986415,0.0726463,6,63,0,3510.53,5088.16,0.316562,0.0634002,0.16984,0.228409,0.131583,0.0214157,216.946
-3510.46,0.995741,0.0726463,6,63,0,3512.66,4954.68,0.30559,0.037261,0.196815,0.301651,0.134182,0.0776323,197.733
-3509.9,0.93589,0.0726463,6,63,0,3515.73,4963.03,0.314099,0.0500609,0.222221,0.247893,0.114109,0.0792259,201.612
-3509.61,0.999521,0.0726463,6,63,0,3514.77,4992.37,0.311965,0.0559314,0.164554,0.28584,0.170219,0.041856,214.602
-3511.08,0.962723,0.0726463,6,63,0,3514.87,5066.67,0.311564,0.0582042,0.2059,0.249238,0.118515,-0.0476904,206.716
-3512.09,0.990668,0.0726463,6,63,0,3513.87,5043.9,0.304983,0.0631518,0.216239,0.24284,0.118826,-0.0389094,208.196
-3512.58,0.999481,0.0726463,4,15,0,3513.35,5040.71,0.303659,0.0663031,0.218073,0.247993,0.122725,-0.0441544,207.279
-3512.88,0.826824,0.0726463,5,31,0,3515.41,5030.84,0.306618,0.0584205,0.213505,0.245624,0.122238,-0.0342426,209.271
-3512.58,0.999835,0.0726463,5,63,0,3516.25,5028.15,0.306619,0.0609903,0.217333,0.256818,0.126932,-0.0194197,211.758
