# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:06:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\wkqo1mwz.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120606_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0865635
# Diagonal elements of inverse mass matrix:
# 3868.69, 6.10568e-005, 0.000172872, 0.000226531, 0.000601814, 0.000617834, 0.00112241, 0.000745849
-3507.65,0.989185,0.0865635,6,63,0,3511.53,4964.23,0.302739,0.0498099,0.198017,0.281504,0.160433,0.0590086,209.216
-3510.96,0.961085,0.0865635,5,63,0,3512.17,5095.98,0.329004,0.0380962,0.185923,0.225307,0.0944372,0.021424,204.844
-3511.61,0.997991,0.0865635,5,31,0,3516.4,5095.37,0.318423,0.0472879,0.197369,0.254577,0.0461833,0.0172248,206.632
-3506.62,0.995274,0.0865635,5,31,0,3512.96,5030.92,0.314009,0.0471966,0.194886,0.230569,0.140031,0.0484506,208.783
-3508.9,0.969436,0.0865635,5,31,0,3510.13,5096.14,0.304996,0.0600532,0.17027,0.259955,0.125113,-0.00729062,201.313
-3511.66,0.640478,0.0865635,5,31,0,3516.26,5088.14,0.303786,0.0569163,0.173645,0.253136,0.124111,-0.00314394,201.208
-3508.16,0.991295,0.0865635,3,15,0,3512.8,5093.77,0.304834,0.0545763,0.178649,0.25855,0.122952,0.0161589,202.588
-3508.19,0.999979,0.0865635,6,63,0,3510.75,5025.83,0.317789,0.0538861,0.178825,0.284227,0.111537,0.00182117,205.668
-3508.48,0.998001,0.0865635,6,63,0,3511.48,5017.78,0.311094,0.049143,0.200686,0.231689,0.111799,0.110284,206.305
-3512.95,0.994293,0.0865635,5,31,0,3514,5031.17,0.314011,0.0351298,0.202239,0.21101,0.120719,0.137978,200.98
-3509.96,0.958244,0.0865635,6,63,0,3517.99,4967.73,0.320026,0.0203131,0.20256,0.261339,0.145107,0.0822416,208.878
-3507.24,0.999851,0.0865635,5,31,0,3512.08,4960.86,0.313741,0.0389075,0.199894,0.280916,0.15084,0.0516738,209.312
-3509.47,0.847544,0.0865635,5,31,0,3511.27,4979.36,0.305875,0.04284,0.189073,0.291477,0.146808,0.0409821,199.438
-3508.32,0.999051,0.0865635,6,63,0,3512.12,4955.13,0.321765,0.0665479,0.191624,0.244893,0.156986,0.0566486,211.642
-3509.27,0.590662,0.0865635,6,63,0,3516.59,5045.99,0.3139,0.0586169,0.204434,0.236117,0.133912,-0.00977622,206.749
-3512.11,0.984385,0.0865635,5,31,0,3513.15,5053.27,0.313077,0.0532118,0.207172,0.212173,0.151891,-0.0305815,210.91
-3510.9,0.996082,0.0865635,6,63,0,3513.79,5043.27,0.306883,0.0426995,0.161307,0.282194,0.106291,0.108322,206.268
-3507.28,0.935938,0.0865635,5,31,0,3514.7,5068.89,0.310406,0.0414368,0.195581,0.241214,0.123027,0.0122308,205.137
-3510.53,0.976206,0.0865635,6,63,0,3511.53,5043.22,0.324241,0.0356984,0.190885,0.273622,0.109855,-0.0106916,203.307
-3512.1,0.903259,0.0865635,5,63,0,3518.49,4908.17,0.307761,0.0448994,0.198159,0.267249,0.171781,0.154821,203.983
-3512.2,0.956246,0.0865635,6,63,0,3517.37,5138.26,0.318663,0.0570594,0.170123,0.24637,0.091452,-0.0520884,212.932
-3507.45,0.989984,0.0865635,5,31,0,3514.76,5078.09,0.303997,0.0620926,0.187022,0.229055,0.128892,0.0330567,211.662
-3508.21,0.99611,0.0865635,6,63,0,3509.6,5093.4,0.310416,0.034274,0.175466,0.265001,0.10717,0.0355832,199.173
-3507.84,0.979928,0.0865635,5,63,0,3513.16,5120.04,0.305785,0.0411212,0.17542,0.256459,0.0960608,0.0307748,203.981
-3507.41,0.946742,0.0865635,5,63,0,3509.95,5106.51,0.303392,0.0453569,0.182058,0.251298,0.106403,0.0368118,201.268
-3508.93,0.992133,0.0865635,5,63,0,3510.91,4988.61,0.322502,0.0720017,0.174198,0.242884,0.123515,0.0823615,209.869
-3509.82,0.926205,0.0865635,6,63,0,3514.47,5114.31,0.3079,0.0395408,0.160862,0.246422,0.141242,0.0444578,219.387
-3508.3,0.983672,0.0865635,5,31,0,3511.46,5044.81,0.305819,0.0437046,0.207546,0.251577,0.118277,0.0293818,199.115
-3511.01,0.995921,0.0865635,5,31,0,3514.39,5022.82,0.316783,0.0631435,0.177591,0.262984,0.0729831,0.100214,199.704
-3511.37,0.942078,0.0865635,5,63,0,3513.46,5054.13,0.305322,0.0300636,0.198504,0.247783,0.178509,-0.0194105,209.929
-3512.06,0.905934,0.0865635,5,63,0,3516.8,5003.79,0.314172,0.0224962,0.189752,0.294219,0.168494,-0.0165859,205.933
-3509.68,0.846348,0.0865635,5,31,0,3515.83,4993.81,0.300495,0.046443,0.207388,0.249994,0.14452,0.0706653,205.484
-3512.18,0.964564,0.0865635,5,63,0,3515.18,5094.33,0.314029,0.0797851,0.163723,0.234504,0.0900477,0.0167944,206.429
-3517.18,0.941013,0.0865635,5,31,0,3518.69,5083.5,0.316361,0.101708,0.170234,0.226584,0.0878679,0.0251385,208.748
-3511.59,0.971752,0.0865635,6,63,0,3519.71,5076,0.311881,0.0648168,0.176886,0.230365,0.136723,-0.0208009,210.293
-3510.27,0.931159,0.0865635,6,63,0,3514.24,5035.15,0.311368,0.041942,0.184867,0.261967,0.107281,0.0522159,200.589
-3507.18,0.99972,0.0865635,6,63,0,3511.12,5022.22,0.314688,0.0392366,0.18184,0.25398,0.146128,0.0609623,214.277
-3507.37,0.9862,0.0865635,6,63,0,3510.35,4985.84,0.307788,0.0394006,0.192968,0.279909,0.131241,0.092088,209.705
-3510.55,0.998561,0.0865635,5,31,0,3512.23,4959.02,0.329594,0.0518426,0.186727,0.237575,0.156177,0.0660505,216.685
-3508.16,0.967173,0.0865635,5,31,0,3513.62,5016.46,0.306536,0.031907,0.205522,0.250678,0.155867,0.0439953,204.489
-3509.01,0.965896,0.0865635,6,63,0,3510.65,5076.98,0.317248,0.0672701,0.161348,0.25512,0.0951017,0.0432904,209.586
-3509.15,0.945283,0.0865635,6,63,0,3512.62,5118.62,0.31936,0.0400177,0.179629,0.215318,0.111091,0.0223506,201.849
-3511.79,0.81357,0.0865635,6,63,0,3515.06,5075.14,0.311889,0.0468971,0.186063,0.210526,0.160251,0.0100273,199.541
