# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:06:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\3byzid74.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120617_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0691795
# Diagonal elements of inverse mass matrix:
# 3453.23, 5.24342e-005, 0.000180582, 0.000213929, 0.000496622, 0.000623293, 0.00099775, 0.000852752
-4087.89,0.948198,0.0691795,5,31,0,4089.65,4883.32,0.312406,0.0459184,0.227691,0.266687,0.189563,0.0760615,221.879
-4080.74,0.981694,0.0691795,5,31,0,4090.22,4871.86,0.31562,0.0563521,0.211994,0.263916,0.165712,0.118383,214.984
-4078.22,0.973771,0.0691795,5,31,0,4081.86,4893.69,0.312366,0.0524238,0.210343,0.242742,0.168179,0.17555,197.019
-4081.17,0.95066,0.0691795,6,63,0,4082.41,4844.18,0.31008,0.0707941,0.214709,0.228621,0.198569,0.168059,213.403
-4078.9,0.999696,0.0691795,6,63,0,4083.03,4885.71,0.307965,0.0624097,0.209078,0.250841,0.147561,0.194581,209.563
-4080.7,0.95392,0.0691795,5,63,0,4084.92,4909.39,0.312523,0.0353933,0.199058,0.265066,0.208529,0.119436,203.204
-4081.34,0.999882,0.0691795,6,63,0,4085.13,4925.95,0.315314,0.0754462,0.203948,0.217949,0.129542,0.195948,204.074
-4079.25,0.998366,0.0691795,5,31,0,4083.28,4939.07,0.311275,0.0632331,0.191425,0.232585,0.138511,0.191171,209.103
-4079.09,0.996135,0.0691795,5,63,0,4084.39,4987.71,0.299003,0.0616581,0.19591,0.238056,0.149181,0.157751,199.283
-4080.44,0.942648,0.0691795,6,63,0,4082.08,4957.37,0.318533,0.0385212,0.196977,0.216776,0.1815,0.173951,208.715
-4081.88,0.950718,0.0691795,5,63,0,4083.88,5020.51,0.297069,0.0595498,0.186188,0.222091,0.165827,0.123224,200.68
