# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:06:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\3byzid74.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120617_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0788719
# Diagonal elements of inverse mass matrix:
# 3383.72, 5.78325e-005, 0.000187887, 0.000217692, 0.000480369, 0.000598553, 0.00119848, 0.000660896
-4085.27,0.993692,0.0788719,5,31,0,4087.81,5073.96,0.31186,0.0151931,0.169844,0.194063,0.167786,0.222466,203.792
-4081.71,0.997682,0.0788719,5,63,0,4088.64,4956.02,0.306441,0.0778144,0.206328,0.231412,0.154349,0.0883565,197.525
-4079.89,0.884162,0.0788719,5,31,0,4087.05,4832.6,0.312112,0.0670447,0.198976,0.258316,0.178653,0.199767,204.786
-4078.65,0.999797,0.0788719,5,31,0,4081.13,4900.62,0.312529,0.0540109,0.204936,0.266859,0.165703,0.132314,206.006
-4080.77,0.97122,0.0788719,5,31,0,4081.65,4848.67,0.311842,0.0536256,0.210456,0.236871,0.187083,0.203067,196.761
-4083.05,0.998288,0.0788719,5,31,0,4086.34,4851.28,0.324302,0.0404647,0.215183,0.227164,0.193268,0.171197,196.278
-4081.41,0.993477,0.0788719,5,31,0,4084.57,4857.12,0.323361,0.044622,0.217079,0.234605,0.176171,0.18985,200.095
-4077.49,0.999196,0.0788719,5,63,0,4082.36,4948.1,0.308949,0.0511832,0.201233,0.238478,0.156348,0.141087,204.191
-4076.71,0.951693,0.0788719,4,23,0,4078.81,4952.91,0.309066,0.053679,0.203904,0.225149,0.162443,0.157052,204.495
-4081.57,0.997103,0.0788719,5,31,0,4082.69,5007.6,0.315658,0.0441974,0.209137,0.183853,0.156951,0.146264,195.721
-4079.03,0.970722,0.0788719,5,63,0,4083.6,5026.15,0.309206,0.0314576,0.198102,0.218304,0.143437,0.161552,198.257
-4078.47,0.999463,0.0788719,5,31,0,4083.18,5007.38,0.306037,0.0571944,0.197119,0.214029,0.163966,0.117982,198.171
-4079.09,0.998492,0.0788719,5,31,0,4080.18,5016.18,0.307474,0.055838,0.196569,0.216637,0.160619,0.0993771,198.983
-4078.43,0.948304,0.0788719,6,63,0,4081.91,4914.46,0.307638,0.0520573,0.220547,0.215762,0.181241,0.16719,205.843
-4081.25,0.875604,0.0788719,6,63,0,4083.99,4821.16,0.317407,0.064226,0.198481,0.285205,0.178398,0.170546,200.765
-4079.24,0.992987,0.0788719,6,63,0,4084.38,4923.68,0.306478,0.064264,0.193968,0.263112,0.132645,0.179425,200.913
-4079.51,0.879283,0.0788719,6,63,0,4082.96,4970.75,0.316426,0.0312871,0.203452,0.211555,0.180661,0.139937,207.549
-4079.5,0.924182,0.0788719,6,63,0,4082.81,5033.26,0.298163,0.0582763,0.181849,0.216779,0.153298,0.168754,199.691
-4080.8,0.959364,0.0788719,6,63,0,4082.87,4830.04,0.318428,0.0419061,0.215731,0.260608,0.203037,0.162463,210.01
-4083.2,0.989862,0.0788719,5,63,0,4084.55,4824.67,0.326504,0.0376924,0.213132,0.259526,0.207225,0.125317,205.017
-4080.13,0.92081,0.0788719,5,31,0,4085.36,4858.73,0.313264,0.054201,0.217095,0.257971,0.197191,0.131434,204.441
-4078.85,0.999084,0.0788719,6,63,0,4082.61,5035.2,0.307341,0.0480838,0.185115,0.211947,0.133041,0.186045,202.191
-4079.44,0.919367,0.0788719,5,31,0,4081.7,5039.38,0.30663,0.048821,0.185424,0.214185,0.133855,0.185144,202.496
