# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:06:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\z2r4mxzh.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120629_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0896831
# Diagonal elements of inverse mass matrix:
# 3351.81, 4.55823e-005, 0.000183872, 0.00017532, 0.000476343, 0.000616668, 0.000870679, 0.000702716
-4670.79,0.732438,0.0896831,5,31,0,4675.78,4907.66,0.304429,0.0308682,0.205894,0.265299,0.186309,0.174327,207.416
-4667.32,0.991724,0.0896831,5,31,0,4673.66,4895.43,0.299229,0.0679784,0.206263,0.256107,0.179098,0.135404,209.374
-4669.84,0.879887,0.0896831,5,31,0,4673.73,4938.14,0.294032,0.0303524,0.211823,0.257699,0.161282,0.173999,199.933
-4669.18,0.951054,0.0896831,5,63,0,4671.04,4848.12,0.311074,0.0794599,0.216061,0.254099,0.128671,0.168472,213.214
-4670.47,0.987821,0.0896831,5,63,0,4675.52,4905.03,0.319695,0.0479782,0.214186,0.232841,0.149445,0.144636,212.454
-4669.19,0.991834,0.0896831,5,31,0,4673.54,4938.96,0.311818,0.0662961,0.205264,0.243498,0.129587,0.121858,213.218
-4667.24,0.982571,0.0896831,5,63,0,4673.68,4905.47,0.310109,0.0627757,0.204555,0.250336,0.120219,0.192526,205.353
-4666.46,0.996966,0.0896831,5,31,0,4668.96,4912.2,0.304448,0.0470424,0.228646,0.253602,0.1168,0.163595,207.455
-4671.17,0.773744,0.0896831,5,31,0,4673.46,4902.51,0.290789,0.0778536,0.202897,0.272506,0.127464,0.172065,202.818
