# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:06:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\z2r4mxzh.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120629_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0693635
# Diagonal elements of inverse mass matrix:
# 2469.71, 4.70946e-005, 0.000129593, 0.000180198, 0.000501504, 0.000504157, 0.000891476, 0.000572249
-4668.79,0.997691,0.0693635,6,63,0,4671.22,4867.8,0.306593,0.0727495,0.222087,0.263837,0.157007,0.096527,203.651
-4667.23,0.995585,0.0693635,6,63,0,4670.31,4921.22,0.303077,0.0625215,0.221481,0.242636,0.156772,0.107312,205.331
-4667.61,0.973598,0.0693635,5,63,0,4669.83,4901.72,0.303233,0.0633668,0.222328,0.241992,0.159967,0.111735,205.231
-4666.21,0.998809,0.0693635,6,63,0,4668.74,4898.85,0.300271,0.0638508,0.222983,0.265572,0.125707,0.148095,208.169
-4669.09,0.956709,0.0693635,6,63,0,4675.54,5025.9,0.301314,0.0393858,0.193113,0.226563,0.145671,0.163331,206.243
-4667.59,0.998877,0.0693635,6,63,0,4672.76,4897.07,0.301373,0.056707,0.233315,0.25573,0.110799,0.153005,207.519
-4668.03,0.963872,0.0693635,6,63,0,4670.95,4905.19,0.299342,0.0497264,0.22374,0.260654,0.151614,0.156394,197.338
-4667.62,0.981902,0.0693635,6,63,0,4670.43,4957.24,0.300596,0.0620349,0.201158,0.250548,0.129786,0.172278,207.347
-4668.45,0.995465,0.0693635,6,63,0,4672.15,4832.49,0.299406,0.0459463,0.229501,0.298297,0.15848,0.154722,204.867
