# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:06:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\5niso2l4.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120642_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0831057
# Diagonal elements of inverse mass matrix:
# 2294.05, 3.82502e-005, 0.000126219, 0.000159962, 0.000362164, 0.000359083, 0.000851116, 0.000553008
-5195.34,0.983798,0.0831057,6,63,0,5199.1,4973.05,0.296566,0.0492223,0.214504,0.267869,0.15685,0.0734607,189.671
-5197.25,0.964508,0.0831057,6,63,0,5198.9,4906.21,0.290752,0.0708764,0.213548,0.269371,0.208987,0.0806493,194.889
-5196.04,0.987788,0.0831057,6,63,0,5199.39,5051.86,0.294257,0.0452393,0.207011,0.253747,0.134943,0.0503119,190.519
-5197.77,0.999457,0.0831057,5,63,0,5201.07,5052.11,0.292835,0.0381385,0.214988,0.238028,0.166597,0.0431376,185.607
-5198.64,0.991632,0.0831057,5,63,0,5203.02,5027.07,0.275916,0.0505263,0.213947,0.269404,0.178108,0.0414592,192.925
-5201.81,0.947169,0.0831057,4,15,0,5202.5,5026.47,0.272495,0.0501756,0.215229,0.273805,0.182557,0.0331781,191.627
-5195.6,0.9568,0.0831057,4,31,0,5205.63,5029.85,0.282588,0.0581692,0.204661,0.269969,0.16386,0.0490234,194.558
-5197.4,0.983141,0.0831057,5,31,0,5198.53,4942.27,0.301396,0.0663558,0.205767,0.253593,0.167732,0.109522,188.021
-5197.15,0.995987,0.0831057,5,63,0,5198.7,5085.45,0.280193,0.0489708,0.207952,0.248709,0.163213,0.0249611,196.839
