# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:06:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\5niso2l4.json
# init = 2 (Default)
# random
#   seed = 7959
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120642_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.080392
# Diagonal elements of inverse mass matrix:
# 1987.33, 4.31432e-005, 0.00011618, 0.000144149, 0.000381627, 0.000455936, 0.000757348, 0.00059484
-5199.39,0.783484,0.080392,5,63,0,5204.9,5012.3,0.292843,0.0579487,0.225871,0.214072,0.170872,0.0868386,199.928
-5196.83,0.998879,0.080392,5,31,0,5200.1,5017.71,0.290697,0.0588139,0.217693,0.227146,0.162826,0.0874337,201.415
-5196.6,0.957973,0.080392,6,63,0,5200.52,4928.02,0.296246,0.0705,0.218181,0.26383,0.16801,0.0592572,191.992
-5200.47,0.99328,0.080392,5,31,0,5203.06,4888.9,0.287596,0.0828998,0.231444,0.249339,0.187444,0.0993366,196.172
-5197.75,0.860287,0.080392,6,63,0,5204.69,5138.25,0.287507,0.0440274,0.197636,0.22279,0.132242,0.0624786,194.347
-5198.55,0.865687,0.080392,6,63,0,5202.88,5078.31,0.297158,0.0508475,0.200926,0.209605,0.154004,0.0766899,202.245
-5198.09,0.953158,0.080392,6,63,0,5203.1,5088.66,0.295952,0.0409592,0.203908,0.232342,0.167458,0.00793916,195.5
-5199.78,0.997166,0.080392,5,63,0,5203.52,5047.27,0.30479,0.0531965,0.192484,0.223579,0.182805,0.0275057,194.063
-5195.82,0.994538,0.080392,5,31,0,5202.74,5065.56,0.289216,0.0487508,0.2006,0.246492,0.135674,0.0916084,195.419
-5197.56,0.936283,0.080392,5,31,0,5199.3,5048.8,0.281511,0.0572355,0.200339,0.258073,0.139757,0.108792,192.909
-5196.06,0.971054,0.080392,5,31,0,5200.75,5002.87,0.285036,0.0537986,0.216636,0.242295,0.165235,0.103877,188.717
-5196.25,0.967911,0.080392,6,63,0,5199.99,4979.34,0.289906,0.0538049,0.227305,0.240791,0.170357,0.0729912,189.774
-5197.88,0.905721,0.080392,6,63,0,5200.63,5052.07,0.29525,0.0652988,0.19171,0.228675,0.160521,0.047488,198.502
-5196.31,0.999309,0.080392,6,63,0,5200.36,4984.27,0.28478,0.0473415,0.217024,0.265036,0.169432,0.0845569,189.533
-5195.41,0.928102,0.080392,5,31,0,5198.01,4990.77,0.29389,0.0596233,0.205198,0.249356,0.185551,0.0756499,194.918
-5195.5,0.990007,0.080392,6,63,0,5197.22,5034.8,0.291074,0.062406,0.192909,0.246969,0.166455,0.084807,194.713
-5196.05,0.993837,0.080392,5,31,0,5198.91,5028.5,0.295361,0.0689287,0.201647,0.240984,0.146102,0.0751686,192.89
-5194.93,0.840171,0.080392,6,63,0,5201.27,5035.93,0.287017,0.049398,0.204736,0.250214,0.176467,0.0693397,195
-5194.21,0.960644,0.080392,5,63,0,5197.21,4979.53,0.29455,0.0665013,0.209199,0.248515,0.161573,0.0878448,193.786
-5199.04,0.904927,0.080392,5,31,0,5199.88,4979.02,0.300593,0.0778607,0.203102,0.232845,0.183643,0.0631611,189.668
-5197.12,1,0.080392,6,63,0,5201.67,4996.69,0.290726,0.0589552,0.185884,0.27683,0.172424,0.069801,191.935
-5194.92,0.93246,0.080392,5,31,0,5198.45,4988.52,0.288603,0.0592612,0.201207,0.264131,0.175702,0.0695982,190.858
-5196.51,0.999513,0.080392,5,63,0,5203.05,4970.45,0.283256,0.0703401,0.209071,0.257317,0.195637,0.0632048,192.137
-5194.57,0.941162,0.080392,4,31,0,5204.27,4976.19,0.289552,0.0627902,0.212051,0.26141,0.156826,0.0932925,197.112
-5195.62,0.992559,0.080392,6,63,0,5197.2,5031.51,0.290869,0.0515501,0.210377,0.228207,0.170579,0.0852034,199.677
-5195.55,0.99576,0.080392,6,63,0,5197.61,5014.45,0.288209,0.0547731,0.198531,0.264456,0.144776,0.105892,193.879
-5196.29,0.965197,0.080392,6,63,0,5198.42,5055.14,0.291532,0.0585176,0.190226,0.257048,0.159811,0.0489403,199.703
-5196.17,0.980725,0.080392,6,63,0,5197.82,5000.01,0.289778,0.0575985,0.218909,0.234136,0.175988,0.0868649,188.692
-5198.09,0.970243,0.080392,6,63,0,5199.42,5077.09,0.288206,0.0432227,0.191784,0.256678,0.153417,0.0456193,200.802
-5195.55,0.987236,0.080392,5,31,0,5199.28,5086.4,0.287158,0.0495863,0.207521,0.230098,0.142172,0.0578244,192.631
-5197.14,0.865746,0.080392,5,63,0,5201.08,4999.63,0.292178,0.0626078,0.209405,0.228987,0.190204,0.0673077,203.079
-5199.75,0.990736,0.080392,5,31,0,5204.09,5027.37,0.283186,0.0635644,0.205669,0.225793,0.219048,0.0451877,198.419
-5197.85,0.996219,0.080392,6,63,0,5202.48,5006.28,0.282038,0.0565803,0.216574,0.228955,0.2024,0.087556,195.022
-5198.32,0.996646,0.080392,5,31,0,5201.36,4983.81,0.287929,0.0489093,0.205484,0.236704,0.207296,0.122266,196.832
-5198.06,0.989511,0.080392,5,31,0,5203.56,5035.98,0.294094,0.0601241,0.199774,0.207516,0.190299,0.0845751,200.025
-5199.31,0.975119,0.080392,6,63,0,5202.56,5065.57,0.284786,0.0694215,0.202402,0.266858,0.115177,0.0401095,189.475
-5197.51,0.995769,0.080392,5,31,0,5201.92,5027.01,0.293845,0.0620229,0.204178,0.272176,0.116684,0.0516075,191.769
-5194.16,0.992186,0.080392,5,31,0,5198.75,5044.72,0.291738,0.0627214,0.19684,0.243986,0.154507,0.0650374,192.587
-5194.08,0.926204,0.080392,6,63,0,5195.45,5024.37,0.287919,0.0581355,0.210541,0.242026,0.172144,0.0558068,195.688
-5195.63,0.968636,0.080392,5,31,0,5197.18,5087.08,0.29115,0.0511889,0.194183,0.229247,0.158838,0.0495092,196.499
-5197.05,0.999836,0.080392,5,31,0,5198.47,5107.06,0.286678,0.0483299,0.196817,0.240078,0.163819,0.00952599,193.37
