# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:08:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ydxlid_y.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120855_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0709761
# Diagonal elements of inverse mass matrix:
# 34773.1, 0.000325467, 0.00116443, 0.0011917, 0.00319532, 0.00346053, 0.00664917, 0.00513226
-580.951,0.978544,0.0709761,6,63,0,584.648,4535.11,0.334583,0.107396,0.209149,0.390578,0.09282,0.201649,176.441
-579.862,0.999218,0.0709761,6,63,0,584.918,4387.24,0.307883,0.19517,0.217471,0.351391,0.220648,0.299924,200.955
-579.591,0.982713,0.0709761,6,63,0,581.789,4453.96,0.31706,0.183673,0.232643,0.333672,0.150626,0.28016,179.811
-584.736,0.968474,0.0709761,5,63,0,588.105,4320.33,0.306553,0.125694,0.184186,0.517638,0.143573,0.358063,191.149
-584.837,0.732476,0.0709761,6,63,0,595.614,4396.8,0.343446,0.180529,0.289495,0.260693,0.165491,0.117341,206.781
-584.588,0.984784,0.0709761,5,31,0,586.925,4397.56,0.348249,0.205739,0.27954,0.295042,0.153579,0.092939,206.366
-584.993,0.78486,0.0709761,6,63,0,590.586,4388.27,0.338773,0.198629,0.247664,0.327604,0.185686,0.045377,216.134
-580.434,0.864806,0.0709761,5,63,0,590.63,4662.46,0.323835,0.139941,0.186807,0.265241,0.159637,0.28486,193.157
-579.727,0.999593,0.0709761,6,63,0,584.833,4101.11,0.340991,0.15909,0.276976,0.485321,0.133386,0.269372,196.839
-579.383,0.999125,0.0709761,6,63,0,582.524,4069.57,0.346766,0.165402,0.266752,0.477473,0.153075,0.316919,198.53
-578.151,0.968828,0.0709761,6,63,0,580.621,4387.66,0.31399,0.185421,0.229118,0.351461,0.183152,0.289519,181.002
