# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:08:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ydxlid_y.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120855_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0702336
# Diagonal elements of inverse mass matrix:
# 29655.4, 0.000317887, 0.0013129, 0.00104681, 0.00368985, 0.00318651, 0.00708552, 0.00593985
-579.575,0.989777,0.0702336,6,63,0,583.625,4563.47,0.343911,0.119841,0.202771,0.378315,0.113374,0.140475,187.826
-578.035,0.994759,0.0702336,6,63,0,580.987,4432.2,0.306705,0.161383,0.221594,0.351783,0.193043,0.290755,194.116
-579.303,0.986263,0.0702336,6,63,0,581.809,4363.05,0.321908,0.197771,0.187383,0.376148,0.181195,0.312338,200.059
-580.446,0.998487,0.0702336,6,63,0,582.396,4235.06,0.341086,0.139008,0.27649,0.426993,0.141345,0.242493,170.813
-584.712,0.981042,0.0702336,5,31,0,587.995,4155.26,0.315148,0.155897,0.27912,0.492699,0.140584,0.305243,160.145
-583.745,0.996856,0.0702336,6,63,0,587.444,4629.85,0.320228,0.162815,0.175428,0.259545,0.191489,0.258521,233.486
-578.892,0.999197,0.0702336,5,31,0,584.689,4519.05,0.306556,0.160305,0.188908,0.36444,0.148335,0.294883,192.709
-582.025,0.999012,0.0702336,5,31,0,583.709,4598.69,0.285738,0.189939,0.224992,0.298872,0.128909,0.26506,207.7
-583.028,0.946159,0.0702336,6,63,0,586.363,4659.29,0.278922,0.129502,0.212448,0.37799,0.124746,0.252683,205.266
-582.07,0.998634,0.0702336,6,63,0,588.592,4786.39,0.329677,0.0968702,0.193975,0.284333,0.169035,0.07755,205.77
-583.041,0.999484,0.0702336,6,63,0,585.428,4761.4,0.325649,0.0913589,0.167264,0.371753,0.118832,0.0791609,213.502
-582.977,0.9745,0.0702336,6,63,0,586.458,4733.34,0.341209,0.0941502,0.193328,0.354616,0.0970681,0.0258306,198.287
-579.82,0.976101,0.0702336,5,63,0,585.996,4401.41,0.340674,0.185381,0.225376,0.375401,0.104056,0.192557,209.874
-581.439,0.938197,0.0702336,6,63,0,583.34,4437.78,0.296497,0.138341,0.208836,0.379075,0.246825,0.260056,174.991
-580.206,0.99535,0.0702336,5,31,0,584.885,4416.17,0.31492,0.180519,0.205707,0.369913,0.175011,0.250284,166.034
-581.003,0.975144,0.0702336,6,63,0,585.114,4720.79,0.318871,0.0909678,0.201021,0.302013,0.181157,0.181911,199.268
-580.54,0.999315,0.0702336,6,63,0,582.254,4707.65,0.304808,0.160044,0.195127,0.338077,0.0929736,0.172617,191.271
-581.069,0.974854,0.0702336,6,63,0,584.708,4441.62,0.313892,0.144563,0.263591,0.304191,0.253319,0.201178,183.888
-583.134,0.999888,0.0702336,6,63,0,585.365,4578.49,0.320276,0.179544,0.159866,0.435098,0.0558949,0.188168,204.708
-581.772,0.988521,0.0702336,6,63,0,584.801,4266.54,0.319672,0.148359,0.273661,0.311402,0.279512,0.303039,181.677
-581.409,0.997898,0.0702336,6,63,0,584.98,4302.99,0.33405,0.131763,0.230086,0.321358,0.277837,0.336874,202.216
-580.086,0.999367,0.0702336,5,31,0,582.343,4296.16,0.338793,0.153645,0.243226,0.324799,0.256798,0.298037,193.24
-579.874,0.931383,0.0702336,6,63,0,582.71,4448.76,0.309575,0.180177,0.210232,0.400538,0.185617,0.156468,202.808
-580.548,0.964625,0.0702336,5,63,0,583.921,4527.75,0.298141,0.176481,0.208643,0.376914,0.149838,0.171828,202.765
-580.089,0.901072,0.0702336,6,63,0,583.979,4147.13,0.349034,0.162714,0.250665,0.395068,0.168533,0.375255,186.015
-578.429,0.944693,0.0702336,6,63,0,581.754,4510.29,0.308004,0.14793,0.224316,0.367498,0.160687,0.217758,201.231
-578.476,0.967312,0.0702336,6,63,0,581.416,4288.52,0.346183,0.158189,0.233188,0.407342,0.134137,0.267128,181.64
-578.629,0.998847,0.0702336,6,63,0,580.039,4340.74,0.302757,0.175178,0.247888,0.363022,0.219846,0.27109,193.835
-578.708,0.986632,0.0702336,6,63,0,582.101,4266.82,0.33732,0.165989,0.23221,0.454663,0.10732,0.295258,196.963
-581.74,0.906146,0.0702336,5,31,0,583.069,4174.55,0.333499,0.212725,0.256914,0.428061,0.0615537,0.336636,196.256
-579.12,0.843528,0.0702336,6,63,0,585.322,4376.6,0.331699,0.147058,0.243955,0.360272,0.169058,0.286131,207.219
-579.799,0.979683,0.0702336,6,63,0,583.615,4262.86,0.340784,0.163471,0.202946,0.448462,0.132012,0.367659,190.221
-582.206,0.997496,0.0702336,5,63,0,584.838,4504.11,0.292928,0.216196,0.24017,0.337933,0.138722,0.193043,206.265
-581.152,0.875158,0.0702336,6,63,0,585.886,4369.16,0.330165,0.141296,0.200455,0.33167,0.247589,0.354372,175.049
-580.825,0.99951,0.0702336,6,63,0,585.566,4339.57,0.309278,0.209855,0.246167,0.289999,0.256729,0.261122,185.069
-580.287,0.99751,0.0702336,6,63,0,582.886,4312.89,0.306532,0.200617,0.237854,0.310254,0.211829,0.392887,191.24
-578.716,0.999962,0.0702336,6,63,0,582.206,4312.66,0.335706,0.184679,0.202246,0.379636,0.166798,0.332768,198.789
-579.334,0.975257,0.0702336,6,63,0,580.485,4259.38,0.322395,0.15926,0.228453,0.411757,0.14638,0.398305,199.46
-581.208,0.979162,0.0702336,6,63,0,583.218,4174.95,0.321225,0.169575,0.207743,0.442247,0.280731,0.314302,206.218
-580.541,0.934692,0.0702336,6,63,0,584.16,4314.28,0.325311,0.192426,0.251992,0.349759,0.127476,0.329565,167.995
-579.834,0.951659,0.0702336,5,31,0,583.272,4345.13,0.337075,0.17347,0.259832,0.335035,0.127051,0.270678,174.45
-580.885,0.866094,0.0702336,6,63,0,584.164,4334.28,0.329302,0.17283,0.234924,0.45999,0.119429,0.133395,178.762
-578.911,0.999889,0.0702336,5,31,0,583.937,4447.21,0.319569,0.196599,0.22015,0.345193,0.183786,0.171832,185.517
-580.314,0.99768,0.0702336,5,31,0,581.856,4438.54,0.296873,0.189472,0.208804,0.382369,0.221277,0.201634,189.63
-583.405,0.978076,0.0702336,5,63,0,585.865,4247.66,0.317108,0.19122,0.284574,0.2685,0.247979,0.355689,220.346
-583.798,0.943724,0.0702336,6,63,0,587.382,4477.17,0.317388,0.144879,0.169523,0.449472,0.150968,0.26176,164.571
-585.674,0.900158,0.0702336,6,63,0,588.331,4026.31,0.331088,0.20884,0.335031,0.316929,0.233684,0.332125,226.175
-579.368,0.997797,0.0702336,5,63,0,587.852,4252.45,0.336807,0.187354,0.268971,0.351808,0.163441,0.264685,207.928
-578.615,0.945218,0.0702336,5,63,0,582.017,4390.79,0.312313,0.156442,0.212487,0.394493,0.181357,0.282117,175.498
-581.178,0.991087,0.0702336,6,63,0,582.862,4421.37,0.324949,0.125986,0.269515,0.301763,0.156977,0.336025,188.736
-581.099,0.896431,0.0702336,5,31,0,584.519,4360.89,0.31177,0.182775,0.228859,0.370372,0.250799,0.142842,198.927
-582.013,0.946126,0.0702336,5,31,0,587.447,4265.94,0.336509,0.157112,0.22179,0.405257,0.265878,0.193806,170.576
-578.781,0.998591,0.0702336,5,31,0,584.74,4437.39,0.340532,0.145941,0.243666,0.334759,0.154408,0.196659,179.849
-581.519,0.994129,0.0702336,6,63,0,588.652,4351.25,0.305454,0.141695,0.20379,0.396317,0.240093,0.366361,219.124
-579.618,0.966769,0.0702336,5,63,0,584.045,4257.53,0.332429,0.175302,0.230083,0.370106,0.191594,0.393358,202.866
-581.395,0.981507,0.0702336,5,31,0,587.774,4459.59,0.319474,0.169035,0.20193,0.38616,0.145133,0.206433,161.549
-583.752,0.986778,0.0702336,6,63,0,587.924,4593.72,0.343741,0.169196,0.161832,0.283104,0.142576,0.248211,224.045
-585.677,0.898407,0.0702336,6,63,0,590.998,4331.64,0.286998,0.131542,0.280939,0.377939,0.258657,0.208416,183.848
-583.734,0.999845,0.0702336,6,63,0,590.399,4350.63,0.353303,0.22194,0.174683,0.383076,0.122022,0.302729,212.725
-581.316,0.978928,0.0702336,6,63,0,590.368,4500.17,0.309623,0.103537,0.207197,0.341208,0.237795,0.289305,176.792
-582.833,0.695272,0.0702336,3,7,0,584.72,4478.66,0.307484,0.108756,0.209507,0.345344,0.236248,0.267682,178.97
-581.577,0.976975,0.0702336,6,63,0,588.143,4535.87,0.335688,0.106943,0.223201,0.331464,0.212846,0.196986,188.847
-581.132,0.999873,0.0702336,6,63,0,583.409,4492.82,0.316869,0.127706,0.208144,0.363863,0.223149,0.148053,185.068
-580.569,0.953579,0.0702336,5,31,0,585.588,4483.05,0.305305,0.174012,0.214692,0.37434,0.185777,0.233834,178.584
-579.276,0.994761,0.0702336,5,31,0,584.147,4551.84,0.32211,0.144304,0.237942,0.28405,0.163117,0.236425,180.008
-578.437,0.989239,0.0702336,5,31,0,580.563,4503.81,0.318022,0.155786,0.238569,0.317565,0.144711,0.2593,181.912
-578.467,0.997873,0.0702336,5,63,0,581.385,4504.38,0.316144,0.158274,0.239184,0.317992,0.142682,0.261874,183.332
-579.591,0.906963,0.0702336,5,31,0,581.629,4465.18,0.305755,0.128236,0.193356,0.383964,0.219005,0.312512,190.9
-583.333,0.99121,0.0702336,5,31,0,585.693,4574.86,0.277949,0.19974,0.178963,0.297883,0.224331,0.333926,196.843
-585.612,0.998332,0.0702336,6,63,0,591.861,4570.02,0.36785,0.124402,0.14599,0.342665,0.194566,0.160293,216.12
-585.548,0.99425,0.0702336,5,63,0,589.393,4632.83,0.277129,0.172017,0.262643,0.26789,0.14641,0.203546,174.712
-580.295,0.84942,0.0702336,5,31,0,589.17,4518.01,0.294946,0.178753,0.219543,0.375954,0.132744,0.193658,192.309
-581.802,0.999586,0.0702336,6,63,0,584.96,4138.04,0.315482,0.2059,0.250625,0.476302,0.08137,0.395165,201.442
-584.73,0.965796,0.0702336,6,63,0,589.451,4009.8,0.375468,0.141338,0.271065,0.479949,0.218167,0.260593,201.341
-580.037,0.966352,0.0702336,5,63,0,586.975,4155.99,0.334874,0.16326,0.224961,0.495812,0.152603,0.316562,206.799
-581.271,0.980818,0.0702336,6,63,0,583.882,4217.8,0.310478,0.207598,0.263954,0.308008,0.244179,0.362221,188.14
-580.295,0.942148,0.0702336,6,63,0,584.057,4248.63,0.340035,0.175434,0.258693,0.435857,0.1323,0.234344,213.183
-580.561,0.99701,0.0702336,5,63,0,583.553,4355.57,0.319689,0.185277,0.235393,0.341573,0.17041,0.356851,215.838
-579.518,0.917122,0.0702336,6,63,0,583.462,4402.36,0.317106,0.169623,0.233896,0.334197,0.167853,0.324151,214.373
-579.557,0.990343,0.0702336,6,63,0,583.085,4378.44,0.299118,0.180437,0.261401,0.380923,0.17286,0.214761,184.419
-579.661,0.993994,0.0702336,6,63,0,582.162,4365.86,0.33301,0.150349,0.278162,0.358877,0.105906,0.240827,180.963
-582.626,0.945799,0.0702336,6,63,0,585.284,4527.38,0.321542,0.115821,0.275327,0.398252,0.0289808,0.192234,199.757
-579.199,0.999499,0.0702336,6,63,0,584.822,4240.12,0.334713,0.208153,0.228675,0.419335,0.131757,0.312053,184.855
-579.141,0.998024,0.0702336,6,63,0,581.25,4274.55,0.313127,0.147773,0.260742,0.398447,0.231725,0.28312,198.302
-583.128,0.992631,0.0702336,6,63,0,584.274,3981.55,0.364827,0.228061,0.25845,0.483396,0.115897,0.310718,184.202
-581.6,0.96315,0.0702336,6,63,0,585.215,4317,0.295482,0.136962,0.260651,0.378662,0.254003,0.344029,202.065
-583.582,0.991437,0.0702336,6,63,0,587.169,3943.16,0.346637,0.242351,0.227212,0.435911,0.226045,0.41402,222.152
-584.94,0.996216,0.0702336,6,63,0,587.084,4831.27,0.302529,0.0659054,0.217264,0.318583,0.125145,0.113394,169.253
-582.613,0.927338,0.0702336,6,63,0,589.439,4528.71,0.327117,0.13333,0.194786,0.334524,0.256467,0.155117,225.997
-579.729,0.999886,0.0702336,6,63,0,584.013,4358.18,0.324711,0.180436,0.23873,0.352511,0.109788,0.355212,176.414
-581.111,0.967245,0.0702336,6,63,0,583.855,4402.19,0.330422,0.140941,0.215904,0.443808,0.192298,0.121047,209.561
-585.366,0.998368,0.0702336,6,63,0,590.132,4728.26,0.331965,0.0890125,0.229478,0.306244,0.149816,0.0032604,170.598
-579.312,0.911252,0.0702336,6,63,0,591.79,4254.69,0.341643,0.19718,0.255159,0.364263,0.136532,0.312658,193.654
-578.95,0.999415,0.0702336,5,63,0,586.755,4367.52,0.33075,0.150513,0.233644,0.422779,0.111734,0.270133,207.016
-579.18,0.947661,0.0702336,6,63,0,581.958,4601.98,0.310654,0.155189,0.20821,0.295988,0.203226,0.200914,179.714
-581.075,0.862705,0.0702336,5,31,0,584.041,4536.32,0.309792,0.147474,0.205921,0.262095,0.262409,0.27363,178.626
-580.341,0.999259,0.0702336,6,63,0,584.087,4491.05,0.338596,0.14276,0.208556,0.338925,0.200542,0.182185,214.892
-583.282,0.916194,0.0702336,6,63,0,585.838,4254.88,0.316959,0.237303,0.243819,0.426503,0.129573,0.265461,177.154
-581.615,0.987783,0.0702336,6,63,0,585.914,4206.95,0.324041,0.19207,0.248438,0.457757,0.126388,0.228798,177.525
-587.277,0.712125,0.0702336,6,63,0,591.812,4317.94,0.355024,0.130661,0.173239,0.384334,0.163504,0.395803,238.485
-582.829,0.942672,0.0702336,5,63,0,590.715,4145.85,0.352364,0.186242,0.207739,0.405223,0.188925,0.445388,219.388
-581.732,0.988366,0.0702336,6,63,0,586.094,4474.54,0.301347,0.176797,0.2584,0.347128,0.184103,0.149576,171.778
-578.63,0.84531,0.0702336,5,31,0,583.817,4412.04,0.339183,0.141438,0.208284,0.379793,0.155054,0.295397,186.28
-583.67,0.796083,0.0702336,5,31,0,584.481,4312.61,0.349206,0.142844,0.191462,0.414555,0.116355,0.343356,182.69
-579.308,0.99876,0.0702336,5,31,0,584.409,4329.31,0.350542,0.137343,0.22636,0.396334,0.122545,0.293708,196.478
-581.556,0.980439,0.0702336,5,31,0,583.431,4407.48,0.308116,0.200313,0.213325,0.427123,0.158498,0.158852,178.474
-581.264,0.994353,0.0702336,5,31,0,584.422,4114.72,0.352729,0.15328,0.273465,0.371428,0.199415,0.37558,202.428
-581.308,0.999942,0.0702336,6,63,0,584.489,4225.94,0.337545,0.142514,0.262931,0.503782,0.143004,0.146575,201.264
-581.606,0.999731,0.0702336,6,63,0,585.125,4109.84,0.328183,0.23094,0.277405,0.388424,0.146583,0.346185,221.13
-580.651,0.979775,0.0702336,6,63,0,585.272,4533.19,0.336256,0.103112,0.195143,0.392939,0.165607,0.176646,172.617
-579.813,0.857861,0.0702336,5,63,0,584.82,4340.51,0.323247,0.187187,0.267554,0.335904,0.133076,0.243953,189.382
-579.751,0.998639,0.0702336,6,63,0,581.121,4195.48,0.325983,0.145092,0.233154,0.458753,0.177346,0.337316,184.809
-578.999,0.996568,0.0702336,6,63,0,582.394,4428.64,0.330451,0.179365,0.245002,0.364342,0.124498,0.155822,201.393
-579.371,0.943627,0.0702336,6,63,0,581.187,4434.65,0.343673,0.166763,0.19634,0.397885,0.135408,0.212557,187.16
-580.082,0.840228,0.0702336,6,63,0,583.134,4515.53,0.326761,0.16086,0.214923,0.314379,0.168965,0.159304,195.939
-581.077,0.942638,0.0702336,6,63,0,583.225,4510.23,0.30974,0.156867,0.186176,0.374085,0.169824,0.319373,172.851
-583.405,0.993861,0.0702336,6,71,0,585.522,3902.99,0.356207,0.196672,0.326378,0.445846,0.168118,0.29511,220.135
-579.274,0.99062,0.0702336,6,63,0,587.378,4356.33,0.326736,0.178213,0.197809,0.42581,0.155674,0.226638,198.581
-579.31,0.9993,0.0702336,6,63,0,580.568,4392.1,0.333031,0.135568,0.254798,0.369631,0.0923518,0.299811,188.809
