# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\og9sw8va.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121027_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0697929
# Diagonal elements of inverse mass matrix:
# 1762.37, 4.02364e-005, 0.000133688, 0.000144553, 0.000346062, 0.000359334, 0.000724199, 0.000518916
-5821.53,0.946369,0.0697929,5,31,0,5824.8,4970.21,0.313463,0.0543207,0.195355,0.253032,0.150375,0.0902632,193.285
-5822.81,0.9939,0.0697929,6,63,0,5825.7,4995.86,0.303727,0.0595165,0.197374,0.255737,0.142028,0.073752,192.992
-5823.33,0.98324,0.0697929,6,63,0,5826.18,5034.04,0.314655,0.0311834,0.173314,0.233776,0.147382,0.155216,214.02
-5825.32,0.931286,0.0697929,6,63,0,5829.7,5013.12,0.299229,0.0442557,0.175728,0.245133,0.167914,0.15021,216.203
-5822.37,0.998443,0.0697929,6,63,0,5828.28,4982.77,0.302599,0.058697,0.176554,0.253699,0.187116,0.119646,209.95
-5819.27,0.915156,0.0697929,6,63,0,5827.39,5037.5,0.307894,0.0622031,0.179912,0.2394,0.118007,0.110944,202.186
-5822.79,0.994311,0.0697929,5,31,0,5824.81,5059.03,0.29813,0.0645746,0.196542,0.236704,0.118867,0.0798091,197.215
-5820.29,0.975523,0.0697929,5,31,0,5825.69,5040.42,0.298291,0.0588385,0.193526,0.231081,0.142378,0.0945596,203.392
-5820.61,0.940879,0.0697929,6,63,0,5823.94,5009.21,0.313337,0.0306966,0.187987,0.247751,0.147924,0.133429,210.103
-5822.21,0.990195,0.0697929,6,63,0,5826.93,5159.48,0.298281,0.0393979,0.172052,0.20999,0.1239,0.0934404,201.488
-5826.42,0.990517,0.0697929,6,63,0,5831.37,5149.49,0.313276,0.027794,0.183997,0.203778,0.138986,0.0247239,200.173
-5821.44,0.974954,0.0697929,6,63,0,5829.18,5103.12,0.302002,0.0496261,0.16876,0.246105,0.0999987,0.120356,208.235
-5822.33,0.984083,0.0697929,5,31,0,5823.8,5123.4,0.297255,0.0485066,0.166115,0.241882,0.106162,0.131318,204.491
-5818.76,0.959261,0.0697929,5,31,0,5824.56,5088.52,0.306784,0.0382537,0.180818,0.219789,0.130574,0.11354,205.317
-5821.72,0.986455,0.0697929,6,63,0,5823.7,4921.78,0.309239,0.0513269,0.198732,0.274747,0.175577,0.105,201.345
-5820.83,0.995293,0.0697929,6,63,0,5825,5012.47,0.312486,0.0450305,0.194155,0.223948,0.129533,0.136458,209.137
-5821.55,0.999529,0.0697929,6,63,0,5823.78,5097.73,0.300003,0.0420861,0.169404,0.247027,0.143295,0.0729867,197.078
-5821.94,0.992419,0.0697929,6,63,0,5824.07,5014.14,0.312433,0.0397612,0.201246,0.241829,0.114549,0.133589,210.435
-5821.44,0.998851,0.0697929,6,63,0,5826.58,4941.48,0.310577,0.0568917,0.18613,0.26504,0.135381,0.173398,201.169
-5821.67,0.999034,0.0697929,6,63,0,5826.73,5067.58,0.314526,0.0330789,0.188704,0.219892,0.156854,0.0595677,207.194
-5824.53,0.997719,0.0697929,5,31,0,5825.05,5081.7,0.315696,0.0272968,0.192598,0.217249,0.15481,0.0407411,208.826
-5823.73,0.992261,0.0697929,5,31,0,5826.42,5087.52,0.314695,0.0244407,0.192944,0.219816,0.150607,0.0454495,207.225
-5821.3,0.946224,0.0697929,5,31,0,5825.99,5111.4,0.3103,0.0282055,0.181399,0.222226,0.145909,0.0735506,205.473
-5820.89,0.976599,0.0697929,6,63,0,5824.21,4958.74,0.304235,0.0638309,0.189167,0.265603,0.136511,0.149085,200.426
-5819.4,0.999466,0.0697929,6,63,0,5827.25,5024.52,0.312496,0.0312342,0.190187,0.243024,0.157891,0.0915572,207.016
-5817.78,0.956677,0.0697929,6,63,0,5820.75,5053.24,0.307726,0.0437074,0.182057,0.239218,0.130446,0.102804,203.463
-5820.72,0.997734,0.0697929,5,47,0,5822.42,5003.42,0.310959,0.0459615,0.171362,0.279053,0.137693,0.0962607,207.22
-5820.53,0.949269,0.0697929,6,63,0,5823.56,5039.85,0.304848,0.047566,0.202936,0.213389,0.136533,0.109045,201.382
-5819.83,0.997099,0.0697929,6,63,0,5822.54,5062.32,0.309565,0.0323094,0.166836,0.253971,0.144239,0.103739,199.628
-5825.02,0.984037,0.0697929,5,31,0,5826.3,5054.11,0.30645,0.0298188,0.157882,0.278816,0.156031,0.103443,195.331
-5823.97,0.989163,0.0697929,6,63,0,5832.5,5032.69,0.303181,0.0600184,0.210677,0.211265,0.119049,0.113857,209.684
-5822.36,0.999697,0.0697929,5,31,0,5828.04,5032.33,0.3046,0.0592693,0.205994,0.222345,0.120102,0.103272,210.62
-5818.36,0.997129,0.0697929,5,63,0,5823.45,4987.87,0.306501,0.0542428,0.196146,0.248723,0.143656,0.115208,205.363
-5820.48,0.86108,0.0697929,6,63,0,5824.2,5003.49,0.312927,0.0397075,0.174192,0.25412,0.150778,0.116767,201.633
-5819.47,0.971749,0.0697929,6,63,0,5823.47,5063.27,0.301677,0.0544901,0.186586,0.226144,0.136484,0.0915428,201.465
-5820.84,0.998427,0.0697929,6,63,0,5822.52,5087.03,0.30406,0.0332627,0.183633,0.210503,0.161638,0.0986222,202.699
-5822.79,0.936731,0.0697929,6,63,0,5827.82,5030.65,0.310822,0.0591305,0.191907,0.207233,0.164104,0.0946538,210.3
-5823.59,0.991913,0.0697929,6,63,0,5829.63,5121.25,0.301757,0.0552755,0.150209,0.219253,0.146124,0.121503,204.675
-5819.63,0.999924,0.0697929,5,31,0,5826.15,5106.24,0.308932,0.048462,0.170861,0.230932,0.121174,0.0853152,205.614
-5820.21,0.98805,0.0697929,6,63,0,5823.68,5022.79,0.302266,0.0462392,0.174835,0.237569,0.172897,0.148939,201.627
-5819.4,0.999947,0.0697929,6,63,0,5823.06,5060.86,0.311678,0.0341677,0.190491,0.244403,0.110223,0.0921493,203.609
-5819.46,0.999812,0.0697929,6,63,0,5820.41,5005.05,0.302645,0.0525122,0.179993,0.238995,0.172945,0.133624,200.98
-5821.04,0.950362,0.0697929,6,63,0,5825.43,5092.95,0.299033,0.0368418,0.175335,0.259502,0.143455,0.0638137,202.106
-5820.93,0.994985,0.0697929,6,63,0,5824.31,5110.82,0.300863,0.0230872,0.176916,0.246702,0.143563,0.0869115,200.756
-5820.04,0.999234,0.0697929,6,63,0,5823.19,4952.94,0.308829,0.0632929,0.195034,0.254281,0.138358,0.138032,205.854
-5819.23,0.925089,0.0697929,6,63,0,5822.99,4984.33,0.30782,0.0464545,0.19022,0.26489,0.133028,0.138583,206.477
-5819.43,0.984815,0.0697929,6,63,0,5821.62,4976.84,0.304997,0.0474412,0.191932,0.261505,0.137511,0.135235,206.439
-5820.22,0.99759,0.0697929,6,63,0,5821.76,4952.99,0.313042,0.0444648,0.187158,0.281412,0.137082,0.130664,204.807
-5821.39,0.931753,0.0697929,5,31,0,5823.22,4955.47,0.311483,0.0419067,0.182686,0.292988,0.131871,0.127986,204.668
-5822.03,0.904174,0.0697929,6,63,0,5824.77,5070.46,0.3037,0.0503895,0.187751,0.198677,0.151397,0.110885,201.963
-5823.12,0.999688,0.0697929,6,63,0,5826.43,5101.71,0.304104,0.02731,0.183957,0.262165,0.102092,0.086803,196.793
-5823.75,0.997357,0.0697929,6,63,0,5824.96,4932.29,0.310608,0.0658055,0.188489,0.232953,0.1868,0.142229,209.409
-5819.46,0.999108,0.0697929,6,63,0,5826.27,5024.99,0.31166,0.0483087,0.185283,0.238162,0.165694,0.0685328,203.552
-5821.65,0.972367,0.0697929,6,63,0,5824.12,5082.86,0.301115,0.0217917,0.188368,0.226929,0.135171,0.152695,206.199
-5819.05,0.977833,0.0697929,5,63,0,5825.24,5016.43,0.303306,0.0596561,0.192295,0.236613,0.152524,0.101463,203.289
-5818.89,0.999666,0.0697929,6,63,0,5820.8,5027.6,0.313097,0.0330342,0.179641,0.256492,0.13959,0.100377,201.165
-5821.26,0.897808,0.0697929,6,63,0,5823.39,4963.45,0.305021,0.0652386,0.200646,0.246034,0.160702,0.108549,205.206
-5821.86,0.994753,0.0697929,6,63,0,5824.75,5139.67,0.308282,0.0234138,0.16749,0.234245,0.110564,0.108198,200.809
-5822.15,0.971617,0.0697929,6,63,0,5825.93,5095.15,0.303771,0.0363031,0.202042,0.215666,0.128052,0.0644851,198.937
-5820.01,1,0.0697929,6,63,0,5824.96,5036.93,0.30474,0.0596128,0.167291,0.233608,0.157796,0.133901,205.284
-5820.76,0.985263,0.0697929,6,63,0,5823.6,4997.69,0.312205,0.0520985,0.189122,0.264204,0.150538,0.0522772,202.638
-5818.8,0.999837,0.0697929,5,31,0,5823.02,4997.61,0.311621,0.0423647,0.198952,0.245374,0.150278,0.0837228,202.688
-5819.33,0.900091,0.0697929,3,11,0,5820.84,4990.87,0.312017,0.0424547,0.199103,0.244951,0.154761,0.0810284,202.997
-5818.62,0.99999,0.0697929,6,63,0,5821.66,5042.48,0.302731,0.0444845,0.176137,0.254147,0.129067,0.136812,201.185
-5820.53,0.998306,0.0697929,6,63,0,5822.14,5081.42,0.303417,0.0285946,0.183278,0.25648,0.11734,0.0993564,196.888
-5819.78,0.999154,0.0697929,6,63,0,5823.42,4996.72,0.312828,0.0623398,0.172919,0.244364,0.142464,0.137162,203.348
-5821.05,0.997927,0.0697929,6,63,0,5822.47,5002.17,0.306818,0.0304471,0.211897,0.248798,0.144631,0.0950865,201.208
-5819.23,0.929693,0.0697929,5,31,0,5823.22,4982.11,0.310173,0.037537,0.196892,0.264993,0.153208,0.0914555,200.92
-5818.85,0.999992,0.0697929,6,63,0,5820.16,5038.1,0.305988,0.0554782,0.174496,0.233753,0.137305,0.144041,204.417
-5821.47,0.983145,0.0697929,6,63,0,5823.13,4995.9,0.307453,0.0221599,0.193455,0.273462,0.157345,0.0945598,202.925
-5825.68,0.985612,0.0697929,6,63,0,5829.65,4925.49,0.306148,0.0646254,0.185768,0.261847,0.145925,0.200812,198.959
-5822.83,0.933496,0.0697929,6,63,0,5829.66,4937.49,0.308578,0.0504432,0.18339,0.281315,0.147585,0.166043,197.71
-5822.07,0.986297,0.0697929,5,31,0,5824.14,4930.9,0.306241,0.0525356,0.189233,0.28424,0.146233,0.154171,198.196
-5820,0.996937,0.0697929,6,63,0,5824.47,5097.79,0.311576,0.039798,0.18047,0.218967,0.139426,0.0755399,206.516
-5820.09,0.98832,0.0697929,6,63,0,5822.4,4977.45,0.304469,0.0470806,0.200842,0.254503,0.131513,0.154135,203.508
-5821.03,0.988965,0.0697929,6,63,0,5824.62,5005.93,0.301793,0.0380318,0.207044,0.23295,0.143587,0.136341,199.547
-5821.39,0.995295,0.0697929,6,63,0,5825.31,5048.64,0.314656,0.0447309,0.163427,0.220871,0.160708,0.135344,203.808
-5819.83,0.992172,0.0697929,6,63,0,5824.44,5043.26,0.302453,0.0451431,0.186407,0.234401,0.128614,0.146629,196.158
-5819.29,1,0.0697929,6,63,0,5821.17,5027.94,0.311528,0.0435885,0.181941,0.244432,0.155312,0.0897284,209.891
-5819.22,0.989208,0.0697929,6,63,0,5825.94,5063.51,0.300748,0.0433929,0.184554,0.239054,0.124948,0.133332,197.158
-5822.52,0.901708,0.0697929,6,63,0,5825.05,4947.32,0.316516,0.0487016,0.187407,0.256792,0.170067,0.0905512,209.019
-5822.17,0.997252,0.0697929,6,63,0,5827.69,4961.87,0.312648,0.0613574,0.186279,0.279658,0.127381,0.108523,207.206
-5820.48,0.99976,0.0697929,6,63,0,5824.5,5028.94,0.302584,0.0569361,0.170792,0.252267,0.139625,0.122274,207.474
-5821.43,0.939475,0.0697929,6,63,0,5825.82,4979.6,0.315354,0.0419755,0.203514,0.238495,0.13973,0.129583,197.634
-5817.8,0.999263,0.0697929,4,31,0,5823.32,4995.37,0.310239,0.0388114,0.189992,0.256048,0.144656,0.118848,201.985
-5819.84,0.862245,0.0697929,5,63,0,5823.41,4975.2,0.301736,0.0530961,0.188297,0.255909,0.153661,0.138039,203.724
-5821.62,0.869762,0.0697929,6,63,0,5825.57,4979.71,0.302926,0.0554189,0.1883,0.259484,0.157071,0.142642,204.752
-5826.35,0.942081,0.0697929,6,63,0,5829.55,5099.4,0.311318,0.0449679,0.194083,0.207434,0.108719,0.0547966,201.869
-5827.58,0.997262,0.0697929,6,63,0,5832.08,4942.28,0.306285,0.0399058,0.175631,0.290494,0.177506,0.168151,204.833
-5824.64,0.995902,0.0697929,6,63,0,5831.14,5042.31,0.313505,0.0583452,0.205496,0.225117,0.111599,0.0709936,202.977
-5826.59,0.891347,0.0697929,6,63,0,5833.76,5024.62,0.302181,0.0682174,0.172889,0.277842,0.143567,0.0771686,204.009
-5820.3,0.999952,0.0697929,6,63,0,5828.24,4989.52,0.309822,0.0600403,0.196398,0.24078,0.147395,0.103274,207.855
-5820.66,0.993201,0.0697929,6,63,0,5823.76,5031.59,0.297973,0.0581343,0.199243,0.229715,0.15071,0.0966628,205.717
-5820.09,0.99997,0.0697929,6,63,0,5823.93,4986.63,0.309706,0.0614388,0.173951,0.257485,0.167293,0.0967889,199.968
-5820.09,0.985542,0.0697929,6,63,0,5823.46,4982.42,0.306289,0.0629737,0.186598,0.252927,0.128203,0.152374,202.384
-5821.56,0.852511,0.0697929,6,63,0,5823.98,4969.23,0.309305,0.04224,0.192252,0.250676,0.16694,0.102626,204.839
-5823.13,0.92328,0.0697929,6,71,0,5826.56,5047.24,0.305419,0.0368177,0.186778,0.220205,0.157766,0.103843,204.942
-5819.22,0.988396,0.0697929,6,63,0,5824.64,5099.86,0.306165,0.0359881,0.176083,0.222563,0.126926,0.116063,204.51
-5820.07,0.998546,0.0697929,5,31,0,5821.65,5114.41,0.304965,0.0293623,0.183104,0.219244,0.12564,0.100219,205.171
-5821.57,0.981781,0.0697929,5,31,0,5823.82,5126.88,0.309787,0.0187501,0.179618,0.226452,0.134647,0.0757444,202.059
