# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\og9sw8va.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121027_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0789153
# Diagonal elements of inverse mass matrix:
# 2319.7, 4.63962e-005, 0.000129511, 0.000163698, 0.000354815, 0.000401069, 0.000751722, 0.00044307
-5821.54,0.911965,0.0789153,5,31,0,5826.53,5022.65,0.309672,0.0319506,0.196048,0.232591,0.15289,0.132426,195.809
-5823.73,1,0.0789153,5,63,0,5829.2,5118.22,0.308067,0.0326083,0.18105,0.204093,0.147382,0.08114,214.32
-5820.01,0.974673,0.0789153,5,31,0,5825.4,5092.18,0.303166,0.0400856,0.175206,0.226328,0.131438,0.123928,210.191
-5821.36,0.998076,0.0789153,5,63,0,5824.02,5042.59,0.309135,0.0612009,0.159387,0.236422,0.147177,0.141587,203.112
-5822.34,0.999918,0.0789153,6,63,0,5827.17,5090.58,0.300223,0.0249222,0.202561,0.244509,0.123884,0.067527,203.029
-5819.67,0.920467,0.0789153,5,31,0,5824.62,5083.53,0.30438,0.0296576,0.190985,0.234118,0.113904,0.114746,201.054
-5820.07,0.999619,0.0789153,6,63,0,5825.52,4978.44,0.314612,0.0593348,0.174855,0.251966,0.165338,0.101571,205.277
-5821.54,0.884023,0.0789153,5,63,0,5826.34,4986.29,0.312004,0.0391741,0.207564,0.234974,0.121094,0.146835,200.585
-5819.44,0.988896,0.0789153,5,63,0,5823.85,5089.22,0.303642,0.0409276,0.167171,0.255414,0.125622,0.0985631,201.238
-5822.24,0.966307,0.0789153,5,31,0,5823.06,5103.88,0.299932,0.038742,0.157673,0.261783,0.127983,0.105468,204.295
-5820.75,0.9281,0.0789153,5,63,0,5825.92,5063.36,0.30986,0.03086,0.186034,0.222654,0.133923,0.151322,204.498
-5821.2,0.936251,0.0789153,6,63,0,5823.4,5070.27,0.307134,0.0327098,0.184234,0.238508,0.120347,0.147008,204.071
-5821,0.809166,0.0789153,6,63,0,5827.06,5007.72,0.310341,0.0335948,0.187492,0.248977,0.158365,0.102163,212.38
-5819.61,0.98946,0.0789153,6,63,0,5824.91,5013.18,0.309934,0.0417467,0.193618,0.240912,0.154902,0.0891584,210.721
-5823.09,0.970444,0.0789153,5,63,0,5825.62,5086.24,0.307799,0.0261151,0.187599,0.239658,0.093819,0.139237,196.012
-5821.57,0.994634,0.0789153,6,63,0,5826.93,5047.25,0.305454,0.0430509,0.182039,0.25486,0.135875,0.0916572,215.758
-5819.4,0.991495,0.0789153,5,63,0,5824.85,5043.92,0.302688,0.0468906,0.201418,0.233752,0.12246,0.101977,200.001
-5822.18,0.681672,0.0789153,6,63,0,5825.48,5048.1,0.310706,0.0379659,0.163858,0.240243,0.159197,0.108079,203.703
-5820.73,0.998247,0.0789153,6,63,0,5823.79,5018.43,0.310036,0.050617,0.192949,0.258541,0.116541,0.10261,206.553
-5820.12,0.975178,0.0789153,6,63,0,5822.92,5086.82,0.302099,0.0354671,0.174004,0.222608,0.159546,0.113749,200.079
-5819.15,0.877266,0.0789153,5,31,0,5823.48,5077.59,0.302353,0.0460182,0.183606,0.226199,0.141376,0.116794,204.477
-5818.21,0.999639,0.0789153,5,63,0,5820.95,5023.08,0.309072,0.0567507,0.188386,0.231688,0.131029,0.117443,201.563
-5819.49,0.708281,0.0789153,6,63,0,5824.38,5057.18,0.312944,0.0488055,0.178824,0.219979,0.123859,0.133379,205.269
-5819.94,0.969365,0.0789153,5,63,0,5821.8,5008.22,0.302812,0.0359636,0.196718,0.253585,0.16636,0.0843774,201.881
-5817.86,0.99998,0.0789153,6,63,0,5820.92,5059.65,0.307915,0.0427039,0.177991,0.231881,0.146598,0.112187,199.437
-5818.38,0.934626,0.0789153,6,63,0,5820.87,5077.88,0.303544,0.0423756,0.185545,0.239295,0.115458,0.104351,204.426
-5818.84,0.994233,0.0789153,5,63,0,5821.91,5003.71,0.311249,0.0441068,0.195198,0.242529,0.124322,0.1396,203.813
-5824.58,0.912765,0.0789153,5,31,0,5826.65,4967.31,0.302453,0.0481739,0.190864,0.284269,0.149924,0.0971472,191.24
-5821.31,1,0.0789153,5,31,0,5826.86,4959.64,0.317048,0.0508006,0.192708,0.229202,0.170907,0.133554,204.83
-5821.38,0.984765,0.0789153,6,63,0,5823.99,5040.77,0.298497,0.0416112,0.176309,0.271289,0.138617,0.126932,197.32
-5820.87,0.962319,0.0789153,5,31,0,5824.72,5011.08,0.31346,0.0465832,0.172109,0.262042,0.121845,0.133099,196.429
-5820.42,0.994762,0.0789153,6,63,0,5823.47,4986.36,0.31543,0.0400517,0.172652,0.267223,0.153293,0.127203,198.603
-5820.25,0.956476,0.0789153,5,63,0,5823.77,4937.82,0.311904,0.0403596,0.19878,0.264484,0.151649,0.132396,200.631
-5823,0.76665,0.0789153,6,63,0,5828.27,4994.15,0.306919,0.0275463,0.186103,0.273515,0.16538,0.118488,194.591
-5819.34,0.99767,0.0789153,5,31,0,5826.46,5004.3,0.314812,0.0387863,0.187409,0.242262,0.133137,0.140515,207.338
-5822.6,0.868273,0.0789153,6,63,0,5824.92,5008.62,0.313535,0.0578998,0.198323,0.217985,0.12104,0.145738,206.684
-5826.02,0.999539,0.0789153,4,15,0,5826.79,5015.09,0.313684,0.0637874,0.198667,0.201699,0.108033,0.150666,204.403
-5820.05,0.986892,0.0789153,5,31,0,5827.9,5027.57,0.309395,0.0562668,0.189027,0.244419,0.10025,0.127921,204.521
-5819.73,0.99984,0.0789153,6,63,0,5822.92,5078.73,0.301572,0.0380647,0.193652,0.224013,0.146799,0.0867156,197.706
-5819.91,0.968945,0.0789153,5,31,0,5820.79,5086.6,0.303185,0.0345743,0.193653,0.222775,0.144999,0.0782255,198.442
-5822.32,0.989839,0.0789153,4,15,0,5822.87,5105.56,0.300152,0.0357297,0.199477,0.210405,0.141899,0.070358,198.355
-5820.03,0.99844,0.0789153,6,63,0,5824.71,5060.18,0.312287,0.0508923,0.173649,0.210621,0.145266,0.126067,203.517
-5822.42,0.927944,0.0789153,6,63,0,5825.04,5072.27,0.299762,0.0377747,0.183517,0.272796,0.0965471,0.115284,203.593
-5823,0.994715,0.0789153,5,63,0,5832.43,5103.21,0.311076,0.0336158,0.163889,0.238879,0.144835,0.0839583,213.527
-5822.53,0.994634,0.0789153,6,63,0,5826.28,4948.07,0.305494,0.0572194,0.200831,0.262248,0.142925,0.136305,193.544
-5824.87,0.868018,0.0789153,5,31,0,5829.09,4934.63,0.303613,0.0526112,0.204272,0.268522,0.132213,0.145636,194.211
-5820.33,0.998641,0.0789153,5,31,0,5825.75,4980.83,0.314453,0.0519846,0.183186,0.254426,0.163428,0.104482,204.756
-5823.58,0.931244,0.0789153,5,31,0,5827.59,4987.04,0.301547,0.037618,0.179262,0.266033,0.183779,0.132346,193.877
-5819.8,0.973698,0.0789153,5,31,0,5834.87,4990.53,0.310513,0.0410106,0.194574,0.258921,0.151103,0.0925204,195.422
-5821.29,0.987515,0.0789153,5,31,0,5823.17,4974.44,0.318054,0.0422375,0.19491,0.262504,0.146409,0.0746544,198.149
-5819.61,0.991891,0.0789153,6,63,0,5825.77,5074.17,0.312653,0.0457709,0.165916,0.234859,0.14843,0.0834532,201.808
-5818.71,0.90751,0.0789153,6,63,0,5821.77,5078.52,0.308442,0.0393851,0.18743,0.236492,0.128469,0.0722184,200.467
-5817.49,0.808194,0.0789153,5,31,0,5821.38,5019.13,0.307553,0.0415078,0.191225,0.238728,0.148819,0.114886,201.712
-5820.09,0.956599,0.0789153,5,31,0,5822.07,5000.86,0.306228,0.0585869,0.192643,0.226405,0.147947,0.146599,204.924
-5817.58,0.925789,0.0789153,5,31,0,5824.35,5043.46,0.307299,0.0448548,0.182978,0.234568,0.145027,0.117033,199.565
-5822,0.754994,0.0789153,5,31,0,5824.41,5041.33,0.300467,0.0279039,0.185694,0.236678,0.171402,0.118114,206.861
-5822.93,0.998767,0.0789153,6,63,0,5826.51,4978.81,0.310358,0.0268378,0.201692,0.260336,0.180003,0.0834546,204.834
-5823.28,0.959727,0.0789153,5,31,0,5826.19,4964.04,0.303366,0.0428459,0.200411,0.261069,0.190781,0.0935611,202.62
-5824.71,0.999789,0.0789153,6,63,0,5831.57,5156.35,0.310695,0.0281622,0.166672,0.202393,0.116627,0.10693,208.032
-5825.54,0.967534,0.0789153,6,63,0,5831.98,5136.85,0.302143,0.0608802,0.180285,0.218392,0.100185,0.0771345,194.692
-5824.23,0.853187,0.0789153,6,63,0,5829.49,4928.6,0.309918,0.0309439,0.198056,0.262337,0.183847,0.141881,212.58
-5820.45,0.953908,0.0789153,5,63,0,5826.86,5071.15,0.303844,0.0572855,0.171337,0.252879,0.110671,0.106123,198.135
-5821.81,0.843991,0.0789153,6,63,0,5825.97,5053.69,0.308214,0.0308333,0.193148,0.219464,0.16478,0.114471,207.791
-5818.46,0.990493,0.0789153,6,63,0,5824.34,5007.27,0.308795,0.0364721,0.188805,0.258426,0.139658,0.12622,199.027
-5819.04,0.999512,0.0789153,6,63,0,5821,5082.51,0.300719,0.0444641,0.173419,0.235304,0.129158,0.131038,201.069
-5819.93,0.999792,0.0789153,6,63,0,5822.4,4976.64,0.317125,0.0380572,0.185749,0.254236,0.166142,0.106676,205.474
-5820.05,0.999965,0.0789153,6,63,0,5822.64,4984.77,0.311728,0.038008,0.184531,0.246066,0.185277,0.111389,203.316
-5820.67,0.871572,0.0789153,6,63,0,5823.45,5099.25,0.302791,0.0483261,0.180689,0.243964,0.0972914,0.108311,202.464
-5821.48,0.987462,0.0789153,6,63,0,5824.42,5134.74,0.306304,0.025193,0.170079,0.244972,0.11744,0.0804204,200.462
-5821.58,0.925297,0.0789153,6,63,0,5826.23,5074.01,0.303137,0.060779,0.182548,0.236584,0.14304,0.0520049,198.668
-5822.06,0.996871,0.0789153,6,63,0,5826.38,5000.52,0.315909,0.0382501,0.184384,0.252646,0.113028,0.164735,198.178
-5818.68,0.846907,0.0789153,5,31,0,5825.04,5062.38,0.301099,0.0526885,0.184759,0.238324,0.13157,0.109002,205.526
-5819.78,0.940432,0.0789153,5,31,0,5821.52,5051.51,0.299634,0.0535184,0.187173,0.238469,0.127826,0.106361,206.566
-5818.99,0.954143,0.0789153,6,63,0,5822.42,5051.79,0.306052,0.0343118,0.187889,0.247209,0.148859,0.0897682,198.336
-5820.1,0.841879,0.0789153,5,63,0,5824.46,5103.79,0.308728,0.0336822,0.184688,0.226698,0.11079,0.100026,197.147
-5820.02,0.991627,0.0789153,5,63,0,5822.88,5055.63,0.298382,0.0342802,0.178067,0.251213,0.151879,0.13209,207.152
-5820.71,0.997282,0.0789153,6,63,0,5821.52,5001.31,0.316882,0.0577991,0.189563,0.241352,0.126064,0.0959532,196.922
-5818.8,0.998569,0.0789153,5,63,0,5822.45,5006.87,0.30874,0.0447042,0.177172,0.257246,0.163981,0.0996537,198.527
-5822.03,0.936962,0.0789153,5,31,0,5823.04,5028.1,0.305258,0.0464876,0.205217,0.228766,0.111893,0.126755,210.563
-5824.52,0.981518,0.0789153,5,31,0,5830.49,5046.67,0.295999,0.0195767,0.179229,0.256969,0.163535,0.145358,207.359
-5824.93,0.998393,0.0789153,5,63,0,5825.93,5056.84,0.296049,0.0182547,0.180288,0.260464,0.163118,0.146542,206.227
-5819.3,0.924407,0.0789153,5,31,0,5829.91,5052.1,0.300927,0.0385017,0.185444,0.244486,0.161002,0.0826026,205.419
-5823.01,0.782881,0.0789153,6,63,0,5826.9,5005.53,0.298576,0.0535898,0.190636,0.260733,0.153699,0.083669,213.303
-5819.23,0.994925,0.0789153,6,63,0,5825.32,5050.36,0.303288,0.0435854,0.179277,0.23111,0.136848,0.155621,199.934
-5819.98,0.995289,0.0789153,6,63,0,5822.56,4998.04,0.31366,0.0524093,0.179375,0.258535,0.156644,0.0717889,206.714
-5819.64,0.97801,0.0789153,5,63,0,5821.87,5030.37,0.304402,0.0552611,0.188089,0.249112,0.141152,0.0741513,209.107
-5821.45,0.836818,0.0789153,5,31,0,5823.66,5012.93,0.302495,0.0621254,0.193675,0.248649,0.149144,0.0801513,210.52
-5820.56,0.999677,0.0789153,6,63,0,5825.98,5037.2,0.311648,0.029899,0.17889,0.243678,0.130455,0.159198,199.034
-5819.57,0.997925,0.0789153,6,63,0,5822.65,5028.15,0.303912,0.0582238,0.193477,0.24524,0.143809,0.0690864,203.995
-5820.13,0.923058,0.0789153,6,63,0,5821.94,5020.53,0.30519,0.0339322,0.183807,0.252385,0.146375,0.156682,201.479
