# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\lk0zdsfu.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120900_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0766681
# Diagonal elements of inverse mass matrix:
# 15679.2, 0.000169607, 0.000607152, 0.000606381, 0.00186963, 0.00180368, 0.00413506, 0.00235563
-1173.74,0.930011,0.0766681,5,31,0,1178.48,4795.41,0.318761,0.000581023,0.1899,0.29266,0.245126,0.265839,211.206
-1176.25,0.854994,0.0766681,6,63,0,1181.72,4760.81,0.326906,0.0889848,0.165418,0.299709,0.205637,0.174585,181.109
-1176.25,0.999739,0.0766681,6,63,0,1179.6,5059.71,0.321515,-0.0174818,0.162657,0.250239,0.14456,0.19693,239.325
-1174.32,0.987508,0.0766681,6,63,0,1178.4,5011.56,0.330843,0.0154947,0.143889,0.250703,0.140094,0.251842,236.314
-1173.57,0.993801,0.0766681,5,31,0,1175.38,4967.88,0.33568,0.0204068,0.141538,0.251467,0.171573,0.236594,233.531
-1172.18,0.997906,0.0766681,6,63,0,1177.65,4916.9,0.309171,0.0474237,0.184084,0.258749,0.14526,0.259806,188.463
-1169.94,0.985712,0.0766681,4,31,0,1173.39,4949.71,0.311856,0.0418975,0.176518,0.267837,0.146549,0.222699,198.024
-1173.05,0.998027,0.0766681,5,31,0,1174.34,5042.15,0.300904,0.0617702,0.184267,0.25661,0.10395,0.116358,216.429
-1170.59,0.881383,0.0766681,6,63,0,1176.2,5128.21,0.321344,0.0326214,0.140705,0.227843,0.119122,0.162263,194.636
-1174.05,0.780538,0.0766681,6,63,0,1175.63,4815.36,0.327805,0.0750341,0.144473,0.339115,0.194698,0.185652,216.639
-1173.06,0.894319,0.0766681,6,63,0,1178.4,4791.82,0.339146,0.0285436,0.17599,0.269164,0.215289,0.216673,206.324
-1171.37,0.993924,0.0766681,6,63,0,1174.63,4972.69,0.332402,0.0326505,0.156561,0.276217,0.136728,0.203783,203.885
-1174.71,0.839243,0.0766681,4,31,0,1177.54,4975.38,0.306112,0.0485369,0.137295,0.304703,0.201808,0.201038,202.33
-1176.82,0.993312,0.0766681,5,31,0,1181.96,4917.4,0.290238,0.0603931,0.201644,0.297264,0.226864,0.0922491,201.461
-1171.24,0.995479,0.0766681,5,63,0,1179.4,5013.83,0.342208,0.0325801,0.119186,0.268881,0.14167,0.169116,207.875
-1173.03,0.9869,0.0766681,5,63,0,1178.67,5088.26,0.321876,0.0351968,0.108313,0.220087,0.152073,0.284792,201.282
-1172.94,0.894144,0.0766681,6,63,0,1176.51,4900.56,0.320793,0.059643,0.202726,0.271931,0.184229,0.077597,212.584
-1174.25,0.983157,0.0766681,6,63,0,1177.31,5144.61,0.314216,0.0146183,0.117978,0.231606,0.146848,0.248251,185.684
-1172.37,0.833574,0.0766681,5,31,0,1181.2,5127.99,0.318761,0.0202087,0.128705,0.250929,0.109164,0.188074,185.39
-1170.62,0.931902,0.0766681,5,31,0,1173.89,5111.01,0.318555,0.0331071,0.134805,0.223027,0.165668,0.172177,197.2
-1173,0.969462,0.0766681,5,31,0,1173.94,5110.65,0.313303,0.00210158,0.135516,0.250618,0.216506,0.139598,197.851
-1173.02,0.998404,0.0766681,6,63,0,1178.26,5070.65,0.327729,0.0496469,0.155613,0.23327,0.064777,0.187551,220.029
-1170.56,0.989875,0.0766681,6,63,0,1175.24,4930.86,0.323248,0.0465554,0.184662,0.241238,0.133369,0.231258,209.538
-1169.64,0.978527,0.0766681,5,63,0,1171.45,5048.36,0.320261,0.0178479,0.149544,0.243683,0.152558,0.191716,208.304
-1170.49,0.995179,0.0766681,4,31,0,1172,5059.64,0.326042,0.016177,0.153665,0.228301,0.131381,0.201846,212.55
-1173.41,0.90684,0.0766681,5,31,0,1174.25,5075.43,0.31391,0.0130326,0.16948,0.217337,0.126576,0.200644,225.377
-1172.39,0.994532,0.0766681,5,63,0,1176.43,4962.91,0.323425,0.028035,0.114523,0.287216,0.178231,0.240566,206.276
-1171.81,0.976772,0.0766681,5,31,0,1173.71,4942.26,0.33733,0.0313576,0.154193,0.247329,0.145568,0.204939,202.204
-1172.06,0.997772,0.0766681,6,63,0,1173.92,5041.26,0.313624,0.0637296,0.129293,0.237798,0.144743,0.192284,212.048
-1172.5,0.951541,0.0766681,6,63,0,1173.89,5074.59,0.30811,0.0604631,0.130603,0.253232,0.145453,0.197502,217.409
-1171.23,0.978485,0.0766681,6,63,0,1176.17,4899.18,0.323,0.0132806,0.174637,0.309613,0.199466,0.139754,195.363
-1171.24,0.998623,0.0766681,6,63,0,1175.33,5005.66,0.31619,0.0650729,0.146505,0.229191,0.161884,0.204699,218.555
-1171.76,0.963528,0.0766681,5,63,0,1174.27,4982.51,0.315099,0.0234379,0.126847,0.302655,0.201593,0.208185,197.601
-1173.48,0.995886,0.0766681,5,63,0,1178.31,5086.8,0.325329,0.00193405,0.0992319,0.254692,0.184767,0.243246,199.761
-1172.99,0.995991,0.0766681,5,63,0,1177.1,5007.3,0.319264,0.027785,0.111842,0.250803,0.230069,0.238057,196.575
-1175.36,0.997583,0.0766681,5,31,0,1177.82,4975.32,0.322136,0.0150065,0.137103,0.222682,0.230515,0.288528,185.094
-1171.18,0.96702,0.0766681,5,31,0,1177.67,4912.11,0.308212,0.0441624,0.188084,0.295688,0.139608,0.206897,215.077
-1170.94,0.997677,0.0766681,5,63,0,1175.93,4906.32,0.303511,0.0514837,0.185715,0.297893,0.14668,0.187222,207.356
-1171.4,0.942718,0.0766681,6,63,0,1174.31,4924.93,0.317828,0.0236073,0.191122,0.292599,0.149633,0.185716,195.525
-1171.65,0.993133,0.0766681,6,63,0,1173.68,5006.35,0.320611,0.0494624,0.123315,0.265265,0.201038,0.183329,215.494
-1176.37,0.963712,0.0766681,5,31,0,1179.55,4987.39,0.315425,0.0714237,0.0924534,0.32444,0.179666,0.112205,209.539
-1175.73,0.995775,0.0766681,6,63,0,1179.97,4987.54,0.333951,0.0852626,0.0913079,0.261933,0.160673,0.171528,211.037
-1174.86,0.932598,0.0766681,6,63,0,1179.98,5043.31,0.310812,-0.0181681,0.214815,0.242915,0.139812,0.171223,202.718
-1173.35,0.926633,0.0766681,6,63,0,1179.15,4834.84,0.33449,0.0669712,0.121232,0.299355,0.2505,0.151438,210.949
-1169.77,0.965052,0.0766681,5,63,0,1175.61,4915.1,0.32613,0.0346828,0.146245,0.291367,0.189959,0.172811,204.302
-1176.04,0.965758,0.0766681,5,31,0,1177.76,4637.96,0.320902,0.0447055,0.179681,0.34653,0.250337,0.335486,206.998
-1178.08,0.939505,0.0766681,5,31,0,1179.96,4597.96,0.320992,0.0499057,0.17119,0.352194,0.246242,0.356043,204.235
-1173.7,0.975765,0.0766681,6,63,0,1182.17,4916.99,0.303921,0.0345444,0.215381,0.230647,0.19907,0.21431,222.413
-1172.87,0.999417,0.0766681,6,63,0,1177.09,5072.36,0.33188,0.0367079,0.108112,0.284679,0.131495,0.124508,190.86
-1172.37,0.999988,0.0766681,5,31,0,1174.69,5043.78,0.330683,0.0357629,0.116566,0.280214,0.102565,0.208613,191.426
-1170.78,0.983039,0.0766681,5,63,0,1174.43,4807.42,0.324326,0.033194,0.182551,0.279356,0.220271,0.226866,208.076
-1174.29,0.990246,0.0766681,5,63,0,1178.57,5097.44,0.314041,0.00343375,0.155035,0.203654,0.109333,0.331556,197.966
-1171.68,0.995493,0.0766681,5,31,0,1176.04,5092.25,0.315334,0.0361108,0.142858,0.198161,0.136628,0.271968,204.721
-1172.25,0.842539,0.0766681,5,31,0,1175.87,5074.27,0.314472,0.0362517,0.143969,0.198923,0.134773,0.263889,203.904
-1171.79,0.947349,0.0766681,6,63,0,1173.98,4886.88,0.319784,0.0336865,0.184978,0.316083,0.196438,0.109419,206.121
-1170.27,0.962105,0.0766681,5,63,0,1175.28,4877.98,0.331573,0.0444458,0.157942,0.293848,0.180001,0.164165,216.241
-1170.86,0.900381,0.0766681,5,31,0,1173.89,4886.95,0.33648,0.0495365,0.148104,0.295754,0.175993,0.156971,218.682
-1170.9,0.999535,0.0766681,5,63,0,1174.6,5107.27,0.312377,0.0409983,0.151484,0.250086,0.140559,0.085389,212.336
-1174.11,0.996016,0.0766681,5,31,0,1175.33,5060.6,0.337238,0.0556791,0.164881,0.241497,0.0904506,0.0548338,204.085
-1171.24,0.961012,0.0766681,6,63,0,1178.34,4902.24,0.326036,0.00864397,0.156033,0.284154,0.241892,0.184391,202.826
-1175.25,0.984296,0.0766681,5,63,0,1177.94,4791.27,0.307406,0.0368801,0.241138,0.271278,0.192281,0.204276,221.348
-1173.73,0.929505,0.0766681,5,63,0,1181.47,4785.08,0.312892,0.102912,0.172483,0.284451,0.204833,0.179759,203.312
-1173.65,0.906899,0.0766681,6,63,0,1176.91,4807.26,0.321427,0.00960106,0.194492,0.314908,0.199861,0.191219,220.321
-1175.87,0.892358,0.0766681,5,31,0,1181.17,4703.85,0.309297,0.0733301,0.196966,0.289166,0.213684,0.329972,226.183
-1173.36,0.913151,0.0766681,6,63,0,1179.03,4845.3,0.346253,0.0388982,0.15164,0.341231,0.178287,0.0841963,202.283
-1170.44,0.99969,0.0766681,5,31,0,1175.48,4980.33,0.324108,0.0164042,0.144251,0.314992,0.158221,0.142338,207.516
-1173.65,0.998173,0.0766681,6,63,0,1175.11,4972.81,0.315859,0.0642492,0.161535,0.175471,0.243231,0.214676,206.344
-1170.24,0.953375,0.0766681,5,31,0,1176.79,4934.35,0.328277,0.0349772,0.153265,0.263949,0.169993,0.218886,218.495
-1172.95,0.997738,0.0766681,6,63,0,1173.94,5087.8,0.304419,0.00754085,0.167521,0.227916,0.190553,0.162481,185.656
-1173.79,0.905757,0.0766681,6,63,0,1176.87,5005.93,0.335998,0.0396246,0.129733,0.261729,0.112004,0.204099,230.099
-1171.27,0.977218,0.0766681,6,63,0,1176.36,4897.49,0.321095,0.0759012,0.161171,0.270518,0.178431,0.13215,199.941
-1170.74,0.985689,0.0766681,6,63,0,1172.67,5014.3,0.319927,0.000462,0.156167,0.261435,0.142539,0.238475,203.797
-1170.6,0.972064,0.0766681,6,63,0,1173.43,5088.18,0.315562,0.0437658,0.144148,0.220832,0.160211,0.131501,203.167
-1174.22,0.887063,0.0766681,5,31,0,1176.8,5007.83,0.312845,0.0473405,0.156485,0.341001,0.0717935,0.132367,200.052
-1171.63,0.956769,0.0766681,5,63,0,1175.78,5043.48,0.326489,0.0335693,0.140649,0.276815,0.0990945,0.142445,208.215
-1171.74,0.99369,0.0766681,5,63,0,1178.78,5128.41,0.315052,0.0604879,0.144193,0.194848,0.118585,0.175283,203.79
-1170.96,0.831643,0.0766681,6,63,0,1175.03,4833.53,0.333858,0.0414274,0.171714,0.299704,0.187154,0.201839,213.825
-1171.29,0.967534,0.0766681,5,63,0,1173.68,4871.18,0.339862,0.0483985,0.161507,0.291677,0.154465,0.199516,211.534
-1171.42,0.93146,0.0766681,6,63,0,1174.21,4866.43,0.319209,0.020832,0.201325,0.278632,0.179352,0.228946,208.455
-1176.54,0.990815,0.0766681,5,31,0,1180.08,4993.39,0.29239,-0.00198118,0.170283,0.33134,0.14802,0.22183,189.764
