# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\lk0zdsfu.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120900_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0778735
# Diagonal elements of inverse mass matrix:
# 13443.1, 0.000173362, 0.000588765, 0.000680256, 0.00161821, 0.00220218, 0.00391861, 0.00260604
-1172.38,0.972776,0.0778735,6,63,0,1176.27,5050.93,0.342853,0.0055861,0.155828,0.257812,0.107647,0.154878,209.752
-1173.43,0.994605,0.0778735,6,63,0,1177.79,5151.81,0.308055,0.0140779,0.153227,0.184845,0.228564,0.130855,203.129
-1172.11,0.95777,0.0778735,6,63,0,1176.91,5079.66,0.319867,0.01064,0.147239,0.220364,0.23441,0.1269,202.061
-1170.36,1,0.0778735,5,31,0,1172.49,4988.01,0.326429,0.047892,0.147311,0.286371,0.109466,0.190786,205.456
-1171.87,0.994732,0.0778735,5,63,0,1173.88,4971,0.313451,0.0136607,0.183677,0.252512,0.119282,0.285346,210.803
-1171.8,0.983385,0.0778735,6,63,0,1175.22,4992.16,0.325739,0.0522144,0.127426,0.277817,0.217218,0.0750082,200.913
-1171.58,0.88415,0.0778735,6,63,0,1174.74,4996.94,0.308395,0.0330697,0.197656,0.236755,0.122494,0.227605,201.404
-1172.35,0.944496,0.0778735,6,63,0,1175.12,4875.94,0.328227,0.059232,0.137821,0.308904,0.246844,0.10421,209.179
-1171.18,0.985419,0.0778735,6,63,0,1173.81,4869.28,0.332517,0.07553,0.135872,0.29855,0.190405,0.152998,201.725
-1171.78,0.960535,0.0778735,5,63,0,1176.57,4879.63,0.332266,0.0848157,0.134806,0.290975,0.17602,0.147112,206.754
