# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\s4emuc2i.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120907_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0629366
# Diagonal elements of inverse mass matrix:
# 10017.6, 0.000136417, 0.00049829, 0.00039833, 0.00144763, 0.00157225, 0.00303166, 0.00182021
-1761.43,0.97438,0.0629366,6,63,0,1764.67,5071.14,0.289966,0.0368987,0.154621,0.25135,0.234614,0.0891053,226.507
-1760.12,0.999527,0.0629366,6,63,0,1764,5040.58,0.289617,0.0261197,0.16958,0.296879,0.234716,0.0118061,214.486
-1761.06,0.982749,0.0629366,6,63,0,1762.7,5048.77,0.297243,0.0313426,0.174039,0.254629,0.217175,0.0439737,225.834
-1761.73,0.994441,0.0629366,6,63,0,1764.28,5212.38,0.298332,0.00417997,0.160186,0.213529,0.180054,0.0355538,201.683
-1762.75,0.99997,0.0629366,6,63,0,1765.66,4969.31,0.272947,0.0498789,0.191675,0.286721,0.245227,0.100571,210.143
-1759.54,0.997569,0.0629366,5,31,0,1763.76,5058.45,0.291321,0.0330557,0.1851,0.247507,0.218436,0.0621376,213.76
-1761.51,0.976198,0.0629366,6,63,0,1762.94,5024.79,0.309728,0.0135429,0.160504,0.262284,0.183846,0.143633,209.803
-1760.67,0.998743,0.0629366,6,63,0,1763.15,5028.72,0.299139,0.0124478,0.150459,0.265643,0.231296,0.151518,206.105
-1761.63,0.992955,0.0629366,6,63,0,1763.83,4953.37,0.291017,0.00786505,0.153209,0.337579,0.240317,0.137151,213.055
-1763.31,0.836174,0.0629366,6,63,0,1766.73,5014.11,0.302702,0.0220601,0.202588,0.245227,0.204379,0.0133744,212.568
-1763.96,0.998688,0.0629366,6,63,0,1767.24,4846.88,0.290174,0.0388123,0.214368,0.292982,0.231156,0.131346,203.999
-1763.01,0.97806,0.0629366,6,63,0,1768.54,4964.54,0.303252,0.0113768,0.159969,0.272374,0.308362,0.0808387,217.354
-1763.58,0.999284,0.0629366,5,63,0,1765.32,5004.17,0.311195,0.00590725,0.158952,0.259576,0.294037,0.0451354,215.736
-1765.41,0.944737,0.0629366,6,63,0,1768.72,4919.17,0.294839,0.0542556,0.221527,0.30195,0.139286,0.0937612,209.447
-1763.99,1,0.0629366,6,63,0,1767.69,5066.56,0.294782,-0.00660328,0.136681,0.268884,0.299125,0.09329,213.723
-1765.62,0.995716,0.0629366,6,63,0,1769.56,5230.86,0.281559,0.0278972,0.192522,0.241399,0.0886494,0.0243964,208.947
