# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\s4emuc2i.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120907_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0878232
# Diagonal elements of inverse mass matrix:
# 8682.77, 0.000107932, 0.000399031, 0.000406958, 0.00121917, 0.00146533, 0.00319078, 0.00144352
-1759.49,0.9975,0.0878232,5,31,0,1762.42,5086.25,0.294841,-0.00235935,0.165358,0.298761,0.194003,0.0624006,211.169
-1761.39,0.956132,0.0878232,5,31,0,1763.41,5029.68,0.311642,0.0238571,0.157425,0.275282,0.215713,0.0351052,204.071
-1761.84,0.885622,0.0878232,5,63,0,1764.86,5111.51,0.283511,0.0398697,0.178707,0.248951,0.17901,0.0254118,214.652
-1764.52,0.942344,0.0878232,5,31,0,1768.59,5007.41,0.314035,0.0512464,0.161657,0.255945,0.210544,0.0637055,193.692
-1760.64,0.955172,0.0878232,5,31,0,1769,5072.15,0.289574,0.0250865,0.205248,0.22327,0.19378,0.0722031,207.403
-1761.35,0.999996,0.0878232,6,63,0,1763.11,4948.95,0.298119,0.0193961,0.147756,0.336966,0.242292,0.106764,212.62
-1760.94,0.940336,0.0878232,6,63,0,1766.58,5143.49,0.284556,0.0104588,0.197689,0.222771,0.175146,0.0607436,208.96
-1762.11,0.999865,0.0878232,6,63,0,1764.38,5144.59,0.285916,0.0259586,0.162996,0.198639,0.203857,0.141803,213.124
-1759.65,0.904279,0.0878232,5,31,0,1766.36,5149.24,0.289475,0.021348,0.170156,0.23662,0.177146,0.0726155,215.751
-1764.07,0.852034,0.0878232,5,31,0,1765.36,5284.42,0.287945,0.0139178,0.152,0.21455,0.136988,0.018446,216.259
-1766.33,0.985049,0.0878232,5,63,0,1770.94,5105.76,0.289093,-0.00700715,0.173519,0.228176,0.23494,0.103443,186.45
-1761.1,0.985917,0.0878232,5,31,0,1769.61,5086.66,0.28596,-0.00860263,0.168039,0.326495,0.185213,0.0730033,205.682
